col_1,col_2,col_3,col_4,col_5,division
,District Attorney,,Judge Of The Superior Court,,All
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,All
R Seth Williams,27,0,314,17,All
Daniel A Alvarez,,31,34,82,All
Jack Mcvay Jr,,,6,0,All
Vic Stabile,,,,7,All
Total,358,147,354,106,All
,Judge Of The Superior Court,,District Attorney,,1
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,1
Jack Mcvay Jr,0,0,15,5,1
Vic Stabile,,1,1,8,1
R Seth Williams,,,0,0,1
Daniel A Alvarez,,,,2,1
Total,20,10,16,15,1
,District Attorney,,Judge Of The Superior Court,,2
,Daniel A Alvarez,R Seth Williams,Jack Mcvay Jr,Vic Stabile,2
Daniel A Alvarez,4,0,2,9,2
R Seth Williams,,1,12,1,2
Jack Mcvay Jr,,,0,0,2
Vic Stabile,,,,0,2
Total,15,14,14,10,2
,District Attorney,,Judge Of The Superior Court,,3
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,3
R Seth Williams,3,0,16,2,3
Daniel A Alvarez,,4,2,7,3
Jack Mcvay Jr,,,0,0,3
Vic Stabile,,,,1,3
Total,21,13,18,10,3
,Judge Of The Superior Court,,District Attorney,,4
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,4
Jack Mcvay Jr,0,0,13,4,4
Vic Stabile,,0,1,5,4
R Seth Williams,,,1,0,4
Daniel A Alvarez,,,,2,4
Total,17,6,15,11,4
,Judge Of The Superior Court,,District Attorney,,5
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,5
Jack Mcvay Jr,1,0,16,2,5
Vic Stabile,,1,0,7,5
R Seth Williams,,,1,0,5
Daniel A Alvarez,,,,3,5
Total,19,8,17,12,5
,Judge Of The Superior Court,,District Attorney,,6
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,6
Jack Mcvay Jr,0,0,8,2,6
Vic Stabile,,1,1,2,6
R Seth Williams,,,0,0,6
Daniel A Alvarez,,,,0,6
Total,10,4,9,4,6
,District Attorney,,Judge Of The Superior Court,,7
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,7
R Seth Williams,2,0,21,2,7
Daniel A Alvarez,,2,3,3,7
Jack Mcvay Jr,,,0,0,7
Vic Stabile,,,,0,7
Total,25,8,24,5,7
,District Attorney,,Judge Of The Superior Court,,8
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,8
R Seth Williams,4,0,19,0,8
Daniel A Alvarez,,1,3,4,8
Jack Mcvay Jr,,,0,0,8
Vic Stabile,,,,0,8
Total,23,8,22,4,8
,District Attorney,,Judge Of The Superior Court,,9
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,9
R Seth Williams,1,0,23,1,9
Daniel A Alvarez,,0,1,2,9
Jack Mcvay Jr,,,0,0,9
Vic Stabile,,,,1,9
Total,25,3,24,4,9
,Judge Of The Superior Court,,District Attorney,,10
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,10
Jack Mcvay Jr,0,0,12,3,10
Vic Stabile,,0,0,8,10
R Seth Williams,,,3,0,10
Daniel A Alvarez,,,,1,10
Total,15,8,15,12,10
,District Attorney,,Judge Of The Superior Court,,11
,Daniel A Alvarez,R Seth Williams,Jack Mcvay Jr,Vic Stabile,11
Daniel A Alvarez,3,0,1,6,11
R Seth Williams,,2,6,0,11
Jack Mcvay Jr,,,1,0,11
Vic Stabile,,,,0,11
Total,10,8,8,6,11
,Judge Of The Superior Court,,District Attorney,,12
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,12
Jack Mcvay Jr,0,0,21,0,12
Vic Stabile,,0,0,3,12
R Seth Williams,,,0,0,12
Daniel A Alvarez,,,,2,12
Total,21,3,21,5,12
,District Attorney,,Judge Of The Superior Court,,13
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,13
R Seth Williams,2,0,12,2,13
Daniel A Alvarez,,1,0,3,13
Jack Mcvay Jr,,,1,0,13
Vic Stabile,,,,0,13
Total,16,4,13,5,13
,Judge Of The Superior Court,,District Attorney,,14
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,14
Jack Mcvay Jr,0,0,16,1,14
Vic Stabile,,0,0,4,14
R Seth Williams,,,0,0,14
Daniel A Alvarez,,,,0,14
Total,17,4,16,5,14
,District Attorney,,Judge Of The Superior Court,,15
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,15
R Seth Williams,0,0,14,1,15
Daniel A Alvarez,,0,0,4,15
Jack Mcvay Jr,,,0,0,15
Vic Stabile,,,,1,15
Total,15,4,14,6,15
,Judge Of The Superior Court,,District Attorney,,16
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,16
Jack Mcvay Jr,0,0,5,0,16
Vic Stabile,,0,0,0,16
R Seth Williams,,,0,0,16
Daniel A Alvarez,,,,0,16
Total,5,0,5,0,16
,Judge Of The Superior Court,,District Attorney,,17
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,17
Jack Mcvay Jr,0,0,9,0,17
Vic Stabile,,0,0,1,17
R Seth Williams,,,0,0,17
Daniel A Alvarez,,,,1,17
Total,9,1,9,2,17
,District Attorney,,Judge Of The Superior Court,,18
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,18
R Seth Williams,2,0,12,0,18
Daniel A Alvarez,,0,1,1,18
Jack Mcvay Jr,,,0,0,18
Vic Stabile,,,,0,18
Total,14,2,13,1,18
,District Attorney,,Judge Of The Superior Court,,19
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,19
R Seth Williams,3,0,15,1,19
Daniel A Alvarez,,0,0,0,19
Jack Mcvay Jr,,,0,0,19
Vic Stabile,,,,0,19
Total,19,0,15,1,19
,Judge Of The Superior Court,,District Attorney,,20
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,20
Jack Mcvay Jr,0,0,6,1,20
Vic Stabile,,0,1,0,20
R Seth Williams,,,0,0,20
Daniel A Alvarez,,,,0,20
Total,7,1,7,1,20
,Judge Of The Superior Court,,District Attorney,,21
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,21
Jack Mcvay Jr,1,0,10,1,21
Vic Stabile,,0,0,0,21
R Seth Williams,,,1,0,21
Daniel A Alvarez,,,,0,21
Total,12,0,11,1,21
,Judge Of The Superior Court,,District Attorney,,22
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,22
Jack Mcvay Jr,1,0,17,1,22
Vic Stabile,,0,0,0,22
R Seth Williams,,,0,0,22
Daniel A Alvarez,,,,1,22
Total,19,0,17,2,22
,District Attorney,,Judge Of The Superior Court,,23
,R Seth Williams,Daniel A Alvarez,Jack Mcvay Jr,Vic Stabile,23
R Seth Williams,1,0,8,3,23
Daniel A Alvarez,,2,1,4,23
Jack Mcvay Jr,,,1,0,23
Vic Stabile,,,,0,23
Total,12,7,10,7,23
,Judge Of The Superior Court,,District Attorney,,24
,Jack Mcvay Jr,Vic Stabile,R Seth Williams,Daniel A Alvarez,24
Jack Mcvay Jr,0,0,8,0,24
Vic Stabile,,1,0,1,24
R Seth Williams,,,0,0,24
Daniel A Alvarez,,,,2,24
Total,8,2,8,3,24
