col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Municipal Court,,,All
,Sierra Thomas Street,Timika Lane,Anne Marie Coyle,Giovanni Campbell,Daniel D Mccaffery,Joe Fernandes,J Scott O Keefe,Kenneth J Powell Jr,Stephen Miller Miller,Martin Coleman,Fran Shields,Henry Lewandowski,All
Sierra Thomas Street,7,337,321,326,317,320,317,6,11,323,323,318,All
Timika Lane,,1,320,328,317,322,318,6,12,325,319,317,All
Anne Marie Coyle,,,5,320,319,316,314,12,10,319,316,315,All
Giovanni Campbell,,,,2,320,323,317,7,9,321,320,318,All
Daniel D Mccaffery,,,,,0,315,312,6,8,314,314,315,All
Joe Fernandes,,,,,,1,314,5,11,314,317,317,All
J Scott O Keefe,,,,,,,0,3,9,310,315,314,All
Kenneth J Powell Jr,,,,,,,,2,3,7,6,6,All
Stephen Miller Miller,,,,,,,,,0,11,10,10,All
Martin Coleman,,,,,,,,,,0,316,316,All
Fran Shields,,,,,,,,,,,1,319,All
Henry Lewandowski,,,,,,,,,,,,0,All
Total,363,355,353,342,334,333,329,16,13,344,341,330,All
,Judge Of The Municipal Court,,,Judge Of The Court Of Common Pleas,,,,,,,,,1
,Fran Shields,Martin Coleman,Henry Lewandowski,Giovanni Campbell,Joe Fernandes,Sierra Thomas Street,Timika Lane,Anne Marie Coyle,Daniel D Mccaffery,J Scott O Keefe,Kenneth J Powell Jr,Stephen Miller Miller,1
Fran Shields,0,19,18,20,20,18,19,17,18,16,1,1,1
Martin Coleman,,0,18,19,19,18,19,17,18,16,1,1,1
Henry Lewandowski,,,0,18,18,17,18,16,18,16,1,1,1
Giovanni Campbell,,,,0,20,18,19,17,18,16,1,1,1
Joe Fernandes,,,,,0,18,19,17,18,16,1,1,1
Sierra Thomas Street,,,,,,1,19,16,17,15,1,1,1
Timika Lane,,,,,,,0,17,18,16,1,1,1
Anne Marie Coyle,,,,,,,,1,16,16,1,0,1
Daniel D Mccaffery,,,,,,,,,0,16,1,1,1
J Scott O Keefe,,,,,,,,,,0,0,0,1
Kenneth J Powell Jr,,,,,,,,,,,1,1,1
Stephen Miller Miller,,,,,,,,,,,,0,1
Total,20,19,18,20,20,20,20,19,18,16,3,1,1
,Judge Of The Municipal Court,,,Judge Of The Court Of Common Pleas,,,,,,,,,2
,Martin Coleman,Fran Shields,Henry Lewandowski,Timika Lane,Anne Marie Coyle,Sierra Thomas Street,Daniel D Mccaffery,Giovanni Campbell,J Scott O Keefe,Joe Fernandes,Kenneth J Powell Jr,Stephen Miller Miller,2
Martin Coleman,0,21,20,25,22,21,21,21,21,20,0,0,2
Fran Shields,,0,20,21,21,20,21,21,20,21,0,0,2
Henry Lewandowski,,,0,20,21,20,20,20,20,20,0,0,2
Timika Lane,,,,0,22,21,21,21,21,20,0,0,2
Anne Marie Coyle,,,,,0,21,21,21,21,20,1,0,2
Sierra Thomas Street,,,,,,1,20,20,21,20,0,0,2
Daniel D Mccaffery,,,,,,,0,21,20,20,0,0,2
Giovanni Campbell,,,,,,,,0,20,20,0,0,2
J Scott O Keefe,,,,,,,,,0,20,0,0,2
Joe Fernandes,,,,,,,,,,0,0,0,2
Kenneth J Powell Jr,,,,,,,,,,,0,0,2
Stephen Miller Miller,,,,,,,,,,,,0,2
Total,25,22,21,25,24,22,21,21,21,21,1,0,2
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Municipal Court,,,3
,Sierra Thomas Street,Giovanni Campbell,Timika Lane,Anne Marie Coyle,Daniel D Mccaffery,J Scott O Keefe,Joe Fernandes,Kenneth J Powell Jr,Stephen Miller Miller,Fran Shields,Martin Coleman,Henry Lewandowski,3
Sierra Thomas Street,2,54,56,50,51,51,53,1,2,54,51,51,3
Giovanni Campbell,,1,53,51,53,53,53,2,2,51,51,51,3
Timika Lane,,,0,49,51,51,53,1,1,52,48,50,3
Anne Marie Coyle,,,,0,51,50,51,2,2,49,50,48,3
Daniel D Mccaffery,,,,,0,54,53,0,1,51,50,51,3
J Scott O Keefe,,,,,,0,53,0,1,52,49,51,3
Joe Fernandes,,,,,,,0,1,2,52,49,51,3
Kenneth J Powell Jr,,,,,,,,0,1,1,2,1,3
Stephen Miller Miller,,,,,,,,,0,2,2,2,3
Fran Shields,,,,,,,,,,0,49,52,3
Martin Coleman,,,,,,,,,,,0,50,3
Henry Lewandowski,,,,,,,,,,,,0,3
Total,63,58,58,56,56,55,55,2,2,57,56,53,3
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Municipal Court,,,6
,Sierra Thomas Street,Timika Lane,Anne Marie Coyle,Giovanni Campbell,J Scott O Keefe,Joe Fernandes,Daniel D Mccaffery,Kenneth J Powell Jr,Stephen Miller Miller,Fran Shields,Martin Coleman,Henry Lewandowski,6
Sierra Thomas Street,3,132,125,128,126,126,124,3,2,126,124,123,6
Timika Lane,,1,123,127,125,124,122,2,2,123,124,122,6
Anne Marie Coyle,,,3,125,123,122,123,3,1,123,122,121,6
Giovanni Campbell,,,,1,126,126,126,3,1,125,122,124,6
J Scott O Keefe,,,,,0,124,122,2,2,125,121,123,6
Joe Fernandes,,,,,,0,122,3,2,122,120,122,6
Daniel D Mccaffery,,,,,,,0,3,0,123,121,122,6
Kenneth J Powell Jr,,,,,,,,0,0,3,3,3,6
Stephen Miller Miller,,,,,,,,,0,1,2,1,6
Fran Shields,,,,,,,,,,0,123,125,6
Martin Coleman,,,,,,,,,,,0,122,6
Henry Lewandowski,,,,,,,,,,,,0,6
Total,140,137,134,133,130,128,127,4,2,131,130,126,6
