col_1,col_2,col_3,col_4,col_5,col_6,division
,District Attorney,,Judge Of The Municipal Court,,,All
,R Seth Williams,Daniel A Alvarez,Martin Coleman,Fran Shields,Henry Lewandowski,All
R Seth Williams,51,0,394,381,372,All
Daniel A Alvarez,,78,33,36,34,All
Martin Coleman,,,3,392,374,All
Fran Shields,,,,3,377,All
Henry Lewandowski,,,,,5,All
Total,485,129,435,426,416,All
,Judge Of The Municipal Court,,,District Attorney,,1
,Martin Coleman,Fran Shields,Henry Lewandowski,R Seth Williams,Daniel A Alvarez,1
Martin Coleman,0,27,26,27,5,1
Fran Shields,,1,26,24,6,1
Henry Lewandowski,,,0,24,4,1
R Seth Williams,,,,1,0,1
Daniel A Alvarez,,,,,3,1
Total,32,31,28,30,11,1
,Judge Of The Municipal Court,,,District Attorney,,2
,Fran Shields,Henry Lewandowski,Martin Coleman,R Seth Williams,Daniel A Alvarez,2
Fran Shields,1,30,29,28,1,2
Henry Lewandowski,,1,29,28,1,2
Martin Coleman,,,0,29,1,2
R Seth Williams,,,,1,0,2
Daniel A Alvarez,,,,,3,2
Total,31,31,31,31,4,2
,District Attorney,,Judge Of The Municipal Court,,,3
,R Seth Williams,Daniel A Alvarez,Henry Lewandowski,Fran Shields,Martin Coleman,3
R Seth Williams,1,0,10,9,9,3
Daniel A Alvarez,,2,0,0,0,3
Henry Lewandowski,,,0,9,9,3
Fran Shields,,,,0,9,3
Martin Coleman,,,,,0,3
Total,11,2,10,9,9,3
,District Attorney,,Judge Of The Municipal Court,,,4
,R Seth Williams,Daniel A Alvarez,Fran Shields,Henry Lewandowski,Martin Coleman,4
R Seth Williams,5,0,12,11,12,4
Daniel A Alvarez,,1,0,0,0,4
Fran Shields,,,0,12,12,4
Henry Lewandowski,,,,0,11,4
Martin Coleman,,,,,0,4
Total,17,1,13,12,12,4
,District Attorney,,Judge Of The Municipal Court,,,5
,R Seth Williams,Daniel A Alvarez,Martin Coleman,Henry Lewandowski,Fran Shields,5
R Seth Williams,3,0,12,11,10,5
Daniel A Alvarez,,2,1,1,1,5
Martin Coleman,,,0,13,12,5
Henry Lewandowski,,,,0,12,5
Fran Shields,,,,,0,5
Total,15,3,14,13,12,5
,District Attorney,,Judge Of The Municipal Court,,,6
,R Seth Williams,Daniel A Alvarez,Martin Coleman,Fran Shields,Henry Lewandowski,6
R Seth Williams,1,0,24,20,19,6
Daniel A Alvarez,,4,1,1,2,6
Martin Coleman,,,0,20,20,6
Fran Shields,,,,0,20,6
Henry Lewandowski,,,,,0,6
Total,26,6,25,21,21,6
,District Attorney,,Judge Of The Municipal Court,,,7
,R Seth Williams,Daniel A Alvarez,Martin Coleman,Fran Shields,Henry Lewandowski,7
R Seth Williams,1,0,29,28,28,7
Daniel A Alvarez,,3,1,1,0,7
