col_1,col_2,col_3,col_4,col_5,col_6,division
,Controller,,Judge Of The Municipal Court,,,All
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Fran Shields,Martin Coleman,All
Alan Butkovitz,91,0,560,496,496,All
Terrence J Tracy Jr,,328,86,67,56,All
Henry Lewandowski,,,23,519,509,All
Fran Shields,,,,4,508,All
Martin Coleman,,,,,3,All
Total,710,434,677,574,561,All
,Controller,,Judge Of The Municipal Court,,,14
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Fran Shields,Martin Coleman,14
Alan Butkovitz,3,0,31,26,26,14
Terrence J Tracy Jr,,18,3,1,0,14
Henry Lewandowski,,,0,27,25,14
Fran Shields,,,,0,25,14
Martin Coleman,,,,,0,14
Total,36,21,35,28,26,14
,Controller,,Judge Of The Municipal Court,,,19
,Terrence J Tracy Jr,Alan Butkovitz,Henry Lewandowski,Fran Shields,Martin Coleman,19
Terrence J Tracy Jr,40,0,2,2,2,19
Alan Butkovitz,,5,13,13,12,19
Henry Lewandowski,,,1,13,13,19
Fran Shields,,,,0,12,19
Martin Coleman,,,,,0,19
Total,42,21,16,15,14,19
,Controller,,Judge Of The Municipal Court,,,20
,Alan Butkovitz,Terrence J Tracy Jr,Fran Shields,Henry Lewandowski,Martin Coleman,20
Alan Butkovitz,0,0,5,5,5,20
Terrence J Tracy Jr,,0,0,0,0,20
Fran Shields,,,0,5,5,20
Henry Lewandowski,,,,0,5,20
Martin Coleman,,,,,0,20
Total,5,0,5,5,5,20
,Controller,,Judge Of The Municipal Court,,,21
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Martin Coleman,Fran Shields,21
Alan Butkovitz,1,0,25,24,22,21
Terrence J Tracy Jr,,7,3,3,2,21
Henry Lewandowski,,,1,23,22,21
Martin Coleman,,,,1,23,21
Fran Shields,,,,,0,21
Total,30,11,29,28,24,21
,Controller,,Judge Of The Municipal Court,,,22
,Alan Butkovitz,Terrence J Tracy Jr,Fran Shields,Henry Lewandowski,Martin Coleman,22
Alan Butkovitz,3,0,23,21,18,22
Terrence J Tracy Jr,,6,1,2,1,22
Fran Shields,,,1,20,19,22
Henry Lewandowski,,,,0,19,22
Martin Coleman,,,,,0,22
Total,28,8,25,23,19,22
,Controller,,Judge Of The Municipal Court,,,23
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Fran Shields,Martin Coleman,23
Alan Butkovitz,8,0,50,46,47,23
Terrence J Tracy Jr,,16,3,4,2,23
Henry Lewandowski,,,1,46,46,23
Fran Shields,,,,1,48,23
Martin Coleman,,,,,0,23
Total,63,21,55,52,50,23
,Controller,,Judge Of The Municipal Court,,,24
,Alan Butkovitz,Terrence J Tracy Jr,Fran Shields,Henry Lewandowski,Martin Coleman,24
Alan Butkovitz,0,0,3,3,3,24
Terrence J Tracy Jr,,1,0,0,0,24
Fran Shields,,,0,3,3,24
Henry Lewandowski,,,,0,3,24
Martin Coleman,,,,,0,24
Total,3,1,3,3,3,24
,Controller,,Judge Of The Municipal Court,,,1
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Fran Shields,Martin Coleman,1
Alan Butkovitz,8,0,21,17,11,1
Terrence J Tracy Jr,,12,6,7,6,1
Henry Lewandowski,,,0,22,16,1
Fran Shields,,,,0,17,1
Martin Coleman,,,,,0,1
Total,30,19,27,24,17,1
,Controller,,Judge Of The Municipal Court,,,2
,Terrence J Tracy Jr,Alan Butkovitz,Henry Lewandowski,Fran Shields,Martin Coleman,2
Terrence J Tracy Jr,20,0,6,6,2,2
Alan Butkovitz,,7,20,17,14,2
Henry Lewandowski,,,1,18,15,2
Fran Shields,,,,0,17,2
Martin Coleman,,,,,0,2
Total,30,29,28,25,17,2
,Controller,,Judge Of The Municipal Court,,,3
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Fran Shields,Martin Coleman,3
Alan Butkovitz,7,0,11,8,9,3
Terrence J Tracy Jr,,9,2,4,3,3
Henry Lewandowski,,,2,9,9,3
Fran Shields,,,,1,10,3
Martin Coleman,,,,,0,3
Total,20,13,15,13,12,3
,Controller,,Judge Of The Municipal Court,,,4
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Fran Shields,Martin Coleman,4
Alan Butkovitz,3,0,16,18,16,4
Terrence J Tracy Jr,,14,4,2,0,4
Henry Lewandowski,,,2,16,14,4
Fran Shields,,,,1,16,4
Martin Coleman,,,,,0,4
Total,23,18,22,21,16,4
,Judge Of The Municipal Court,,,Controller,,5
,Henry Lewandowski,Fran Shields,Martin Coleman,Alan Butkovitz,Terrence J Tracy Jr,5
Henry Lewandowski,5,20,19,18,3,5
Fran Shields,,0,19,17,3,5
Martin Coleman,,,0,17,2,5
Alan Butkovitz,,,,4,0,5
Terrence J Tracy Jr,,,,,8,5
Total,27,21,19,22,12,5
,Judge Of The Municipal Court,,,Controller,,6
,Henry Lewandowski,Martin Coleman,Fran Shields,Alan Butkovitz,Terrence J Tracy Jr,6
Henry Lewandowski,2,32,31,41,4,6
Martin Coleman,,0,30,31,4,6
Fran Shields,,,0,30,3,6
Alan Butkovitz,,,,3,0,6
Terrence J Tracy Jr,,,,,17,6
Total,48,36,33,47,24,6
,Judge Of The Municipal Court,,,Controller,,7
,Henry Lewandowski,Martin Coleman,Fran Shields,Alan Butkovitz,Terrence J Tracy Jr,7
Henry Lewandowski,2,22,23,23,6,7
Martin Coleman,,1,22,21,4,7
Fran Shields,,,0,19,4,7
Alan Butkovitz,,,,2,0,7
Terrence J Tracy Jr,,,,,12,7
Total,31,26,23,28,18,7
,Judge Of The Municipal Court,,,Controller,,8
,Henry Lewandowski,Fran Shields,Martin Coleman,Alan Butkovitz,Terrence J Tracy Jr,8
Henry Lewandowski,2,43,45,41,11,8
Fran Shields,,0,42,37,8,8
Martin Coleman,,,0,39,6,8
Alan Butkovitz,,,,6,0,8
Terrence J Tracy Jr,,,,,18,8
Total,54,45,45,48,30,8
,Controller,,Judge Of The Municipal Court,,,9
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Martin Coleman,Fran Shields,9
Alan Butkovitz,5,0,30,28,26,9
Terrence J Tracy Jr,,24,3,2,2,9
Henry Lewandowski,,,1,27,26,9
Martin Coleman,,,,0,27,9
Fran Shields,,,,,0,9
Total,38,27,34,30,28,9
,Controller,,Judge Of The Municipal Court,,,10
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Martin Coleman,Fran Shields,10
Alan Butkovitz,3,0,18,17,14,10
Terrence J Tracy Jr,,12,2,1,1,10
Henry Lewandowski,,,0,16,14,10
Martin Coleman,,,,0,14,10
Fran Shields,,,,,0,10
Total,23,14,20,18,15,10
,Controller,,Judge Of The Municipal Court,,,11
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Martin Coleman,Fran Shields,11
Alan Butkovitz,3,0,34,32,29,11
Terrence J Tracy Jr,,7,5,3,2,11
Henry Lewandowski,,,1,29,30,11
Martin Coleman,,,,0,29,11
Fran Shields,,,,,0,11
Total,43,13,40,35,31,11
,Controller,,Judge Of The Municipal Court,,,12
,Terrence J Tracy Jr,Alan Butkovitz,Henry Lewandowski,Fran Shields,Martin Coleman,12
Terrence J Tracy Jr,20,0,6,4,3,12
Alan Butkovitz,,1,17,17,18,12
Henry Lewandowski,,,0,19,17,12
Fran Shields,,,,0,18,12
Martin Coleman,,,,,0,12
Total,27,22,23,21,21,12
,Controller,,Judge Of The Municipal Court,,,13
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Martin Coleman,Fran Shields,13
Alan Butkovitz,1,0,32,31,31,13
Terrence J Tracy Jr,,12,3,3,2,13
Henry Lewandowski,,,0,31,29,13
Martin Coleman,,,,0,31,13
Fran Shields,,,,,0,13
Total,38,16,36,35,34,13
,Controller,,Judge Of The Municipal Court,,,15
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Fran Shields,Martin Coleman,15
Alan Butkovitz,6,0,22,21,21,15
Terrence J Tracy Jr,,20,3,3,3,15
Henry Lewandowski,,,2,24,24,15
Fran Shields,,,,0,24,15
Martin Coleman,,,,,0,15
Total,28,23,27,24,24,15
,Controller,,Judge Of The Municipal Court,,,16
,Alan Butkovitz,Terrence J Tracy Jr,Henry Lewandowski,Fran Shields,Martin Coleman,16
Alan Butkovitz,4,0,19,14,15,16
Terrence J Tracy Jr,,9,2,2,1,16
Henry Lewandowski,,,0,14,14,16
Fran Shields,,,,0,13,16
Martin Coleman,,,,,0,16
Total,27,11,21,16,16,16
,Controller,,Judge Of The Municipal Court,,,17
