col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Court Of Common Pleas,,,,,,,,,District Attorney,,All
,Giovanni Campbell,J Scott O Keefe,Anne Marie Coyle,Daniel D Mccaffery,Joe Fernandes,Sierra Thomas Street,Timika Lane,Kenneth J Powell Jr,Stephen Miller Miller,R Seth Williams,Daniel A Alvarez,All
Giovanni Campbell,0,20,19,19,19,19,19,1,1,18,1,All
J Scott O Keefe,,0,19,19,19,19,19,1,1,18,1,All
Anne Marie Coyle,,,0,18,19,18,19,1,1,18,1,All
Daniel D Mccaffery,,,,0,18,19,18,0,0,18,0,All
Joe Fernandes,,,,,0,18,19,1,1,18,1,All
Sierra Thomas Street,,,,,,0,18,0,0,18,0,All
Timika Lane,,,,,,,0,1,1,18,1,All
Kenneth J Powell Jr,,,,,,,,0,1,0,1,All
Stephen Miller Miller,,,,,,,,,0,0,1,All
R Seth Williams,,,,,,,,,,1,0,All
Daniel A Alvarez,,,,,,,,,,,0,All
Total,20,20,19,19,19,19,19,1,1,19,1,All
,Judge Of The Court Of Common Pleas,,,,,,,,,District Attorney,,10
,Giovanni Campbell,J Scott O Keefe,Anne Marie Coyle,Daniel D Mccaffery,Joe Fernandes,Sierra Thomas Street,Timika Lane,Kenneth J Powell Jr,Stephen Miller Miller,R Seth Williams,Daniel A Alvarez,10
Giovanni Campbell,0,20,19,19,19,19,19,1,1,18,1,10
J Scott O Keefe,,0,19,19,19,19,19,1,1,18,1,10
Anne Marie Coyle,,,0,18,19,18,19,1,1,18,1,10
Daniel D Mccaffery,,,,0,18,19,18,0,0,18,0,10
Joe Fernandes,,,,,0,18,19,1,1,18,1,10
Sierra Thomas Street,,,,,,0,18,0,0,18,0,10
Timika Lane,,,,,,,0,1,1,18,1,10
Kenneth J Powell Jr,,,,,,,,0,1,0,1,10
Stephen Miller Miller,,,,,,,,,0,0,1,10
R Seth Williams,,,,,,,,,,1,0,10
Daniel A Alvarez,,,,,,,,,,,0,10
Total,20,20,19,19,19,19,19,1,1,19,1,10
