col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,All
,Jack Mcvay Jr,Vic Stabile,Sierra Thomas Street,Anne Marie Coyle,Timika Lane,Giovanni Campbell,Daniel D Mccaffery,Joe Fernandes,J Scott O Keefe,Kenneth J Powell Jr,Stephen Miller Miller,All
Jack Mcvay Jr,5,0,711,700,699,691,683,683,683,17,29,All
Vic Stabile,,4,4,28,4,5,4,6,3,25,3,All
Sierra Thomas Street,,,12,698,695,692,684,677,680,12,21,All
Anne Marie Coyle,,,,4,686,690,688,681,682,33,26,All
Timika Lane,,,,,5,690,683,671,678,11,22,All
Giovanni Campbell,,,,,,5,680,676,681,14,21,All
Daniel D Mccaffery,,,,,,,3,669,681,11,20,All
Joe Fernandes,,,,,,,,7,666,14,18,All
J Scott O Keefe,,,,,,,,,1,11,19,All
Kenneth J Powell Jr,,,,,,,,,,2,13,All
Stephen Miller Miller,,,,,,,,,,,2,All
Total,796,39,766,761,739,728,715,713,708,48,39,All
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,1
,Jack Mcvay Jr,Vic Stabile,Giovanni Campbell,Timika Lane,Anne Marie Coyle,J Scott O Keefe,Sierra Thomas Street,Daniel D Mccaffery,Joe Fernandes,Kenneth J Powell Jr,Stephen Miller Miller,1
Jack Mcvay Jr,0,0,33,34,33,33,33,32,31,1,1,1
Vic Stabile,,0,0,0,0,0,0,0,0,0,0,1
Giovanni Campbell,,,1,32,32,32,33,31,31,1,1,1
Timika Lane,,,,0,32,33,32,32,30,1,1,1
Anne Marie Coyle,,,,,0,32,32,31,31,1,1,1
J Scott O Keefe,,,,,,0,32,32,30,1,1,1
Sierra Thomas Street,,,,,,,0,31,31,1,1,1
Daniel D Mccaffery,,,,,,,,0,29,1,0,1
Joe Fernandes,,,,,,,,,0,0,1,1
Kenneth J Powell Jr,,,,,,,,,,0,0,1
Stephen Miller Miller,,,,,,,,,,,0,1
Total,35,0,34,34,33,33,33,32,31,1,1,1
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,2
,Jack Mcvay Jr,Vic Stabile,Anne Marie Coyle,Giovanni Campbell,Joe Fernandes,Timika Lane,Daniel D Mccaffery,Sierra Thomas Street,J Scott O Keefe,Kenneth J Powell Jr,Stephen Miller Miller,2
Jack Mcvay Jr,0,0,36,35,37,36,34,33,33,1,1,2
Vic Stabile,,0,1,0,0,0,0,0,0,2,0,2
Anne Marie Coyle,,,0,37,35,33,35,35,34,2,1,2
Giovanni Campbell,,,,0,36,35,34,35,34,1,1,2
Joe Fernandes,,,,,0,34,33,33,33,1,1,2
Timika Lane,,,,,,0,32,33,32,1,1,2
Daniel D Mccaffery,,,,,,,0,35,32,0,0,2
Sierra Thomas Street,,,,,,,,0,32,0,0,2
J Scott O Keefe,,,,,,,,,0,1,1,2
Kenneth J Powell Jr,,,,,,,,,,0,1,2
Stephen Miller Miller,,,,,,,,,,,0,2
Total,42,2,40,39,38,38,36,36,34,3,1,2
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,3
,Jack Mcvay Jr,Vic Stabile,J Scott O Keefe,Sierra Thomas Street,Giovanni Campbell,Joe Fernandes,Anne Marie Coyle,Daniel D Mccaffery,Timika Lane,Kenneth J Powell Jr,Stephen Miller Miller,3
Jack Mcvay Jr,2,0,21,19,19,17,18,19,17,2,2,3
Vic Stabile,,0,0,0,0,1,1,0,0,2,0,3
J Scott O Keefe,,,0,17,19,17,17,19,17,0,1,3
Sierra Thomas Street,,,,1,17,18,18,17,17,1,1,3
Giovanni Campbell,,,,,1,17,17,19,17,0,1,3
Joe Fernandes,,,,,,1,17,17,17,1,0,3
Anne Marie Coyle,,,,,,,0,17,17,1,1,3
Daniel D Mccaffery,,,,,,,,0,17,0,1,3
Timika Lane,,,,,,,,,0,0,0,3
Kenneth J Powell Jr,,,,,,,,,,0,0,3
Stephen Miller Miller,,,,,,,,,,,1,3
Total,26,2,21,21,20,20,19,19,17,4,3,3
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,4
,Sierra Thomas Street,Daniel D Mccaffery,Giovanni Campbell,Joe Fernandes,J Scott O Keefe,Timika Lane,Anne Marie Coyle,Stephen Miller Miller,Kenneth J Powell Jr,Jack Mcvay Jr,Vic Stabile,4
Sierra Thomas Street,1,28,29,28,30,28,27,2,0,29,0,4
Daniel D Mccaffery,,0,29,29,28,29,29,4,1,30,1,4
Giovanni Campbell,,,0,30,29,29,28,3,1,28,1,4
Joe Fernandes,,,,1,28,29,28,3,1,28,1,4
J Scott O Keefe,,,,,0,27,27,2,0,28,0,4
Timika Lane,,,,,,0,28,3,1,27,1,4
Anne Marie Coyle,,,,,,,0,3,1,27,1,4
Stephen Miller Miller,,,,,,,,0,1,3,1,4
Kenneth J Powell Jr,,,,,,,,,0,0,1,4
Jack Mcvay Jr,,,,,,,,,,0,0,4
Vic Stabile,,,,,,,,,,,0,4
Total,33,32,31,31,30,30,29,4,1,32,1,4
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,5
,Jack Mcvay Jr,Vic Stabile,Timika Lane,Anne Marie Coyle,Giovanni Campbell,Daniel D Mccaffery,J Scott O Keefe,Joe Fernandes,Sierra Thomas Street,Stephen Miller Miller,Kenneth J Powell Jr,5
Jack Mcvay Jr,0,0,16,14,14,12,13,14,13,2,0,5
Vic Stabile,,0,0,0,1,0,0,0,0,0,0,5
Timika Lane,,,0,15,15,13,14,14,14,2,0,5
Anne Marie Coyle,,,,0,15,14,15,14,14,3,1,5
Giovanni Campbell,,,,,0,13,14,14,14,2,0,5
Daniel D Mccaffery,,,,,,1,14,13,13,1,1,5
J Scott O Keefe,,,,,,,0,14,14,2,1,5
Joe Fernandes,,,,,,,,0,14,1,0,5
Sierra Thomas Street,,,,,,,,,0,1,0,5
Stephen Miller Miller,,,,,,,,,,0,1,5
Kenneth J Powell Jr,,,,,,,,,,,0,5
Total,17,1,17,16,16,15,15,15,14,3,1,5
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,6
,Jack Mcvay Jr,Vic Stabile,Daniel D Mccaffery,Joe Fernandes,Sierra Thomas Street,Anne Marie Coyle,Giovanni Campbell,J Scott O Keefe,Timika Lane,Kenneth J Powell Jr,Stephen Miller Miller,6
Jack Mcvay Jr,0,0,15,14,15,14,14,14,14,1,0,6
Vic Stabile,,0,0,0,0,0,0,0,0,0,0,6
Daniel D Mccaffery,,,0,14,14,14,14,14,14,1,0,6
Joe Fernandes,,,,1,14,13,13,13,13,1,0,6
Sierra Thomas Street,,,,,0,13,13,13,13,1,0,6
Anne Marie Coyle,,,,,,0,13,13,13,0,0,6
Giovanni Campbell,,,,,,,0,13,14,1,0,6
J Scott O Keefe,,,,,,,,0,13,1,0,6
Timika Lane,,,,,,,,,0,1,0,6
Kenneth J Powell Jr,,,,,,,,,,0,0,6
Stephen Miller Miller,,,,,,,,,,,0,6
Total,16,0,15,15,15,14,14,14,14,1,0,6
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,7
,Jack Mcvay Jr,Vic Stabile,Giovanni Campbell,Timika Lane,Anne Marie Coyle,Daniel D Mccaffery,J Scott O Keefe,Joe Fernandes,Sierra Thomas Street,Kenneth J Powell Jr,Stephen Miller Miller,7
Jack Mcvay Jr,0,0,24,25,24,24,24,24,24,1,1,7
Vic Stabile,,1,0,0,0,0,0,0,0,0,0,7
Giovanni Campbell,,,1,24,23,24,24,24,23,1,1,7
Timika Lane,,,,0,23,24,24,24,23,1,1,7
Anne Marie Coyle,,,,,0,23,23,23,23,0,0,7
Daniel D Mccaffery,,,,,,0,24,24,23,1,1,7
J Scott O Keefe,,,,,,,0,24,23,1,1,7
Joe Fernandes,,,,,,,,0,23,1,1,7
Sierra Thomas Street,,,,,,,,,0,0,0,7
Kenneth J Powell Jr,,,,,,,,,,0,1,7
Stephen Miller Miller,,,,,,,,,,,0,7
Total,27,1,25,25,24,24,24,24,24,1,1,7
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,8
,Anne Marie Coyle,Giovanni Campbell,Daniel D Mccaffery,Sierra Thomas Street,J Scott O Keefe,Timika Lane,Joe Fernandes,Kenneth J Powell Jr,Stephen Miller Miller,Jack Mcvay Jr,Vic Stabile,8
Anne Marie Coyle,0,18,17,17,17,17,16,1,1,19,1,8
Giovanni Campbell,,1,18,18,18,18,17,0,1,18,0,8
Daniel D Mccaffery,,,1,17,17,17,16,0,1,17,0,8
Sierra Thomas Street,,,,1,17,17,16,0,1,17,0,8
J Scott O Keefe,,,,,0,18,17,0,1,17,0,8
Timika Lane,,,,,,0,17,0,1,17,0,8
Joe Fernandes,,,,,,,0,0,0,16,0,8
Kenneth J Powell Jr,,,,,,,,0,0,0,1,8
Stephen Miller Miller,,,,,,,,,0,1,0,8
Jack Mcvay Jr,,,,,,,,,,1,0,8
Vic Stabile,,,,,,,,,,,0,8
Total,20,20,19,19,18,18,17,1,1,20,1,8
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,9
,Jack Mcvay Jr,Vic Stabile,Sierra Thomas Street,Timika Lane,Anne Marie Coyle,Daniel D Mccaffery,J Scott O Keefe,Joe Fernandes,Giovanni Campbell,Stephen Miller Miller,Kenneth J Powell Jr,9
Jack Mcvay Jr,0,0,34,33,31,31,29,31,29,2,1,9
Vic Stabile,,0,0,0,0,0,0,0,0,0,0,9
Sierra Thomas Street,,,0,34,32,32,30,30,30,3,1,9
Timika Lane,,,,0,33,32,30,31,30,3,1,9
Anne Marie Coyle,,,,,0,32,30,30,29,3,1,9
Daniel D Mccaffery,,,,,,0,30,29,29,3,1,9
J Scott O Keefe,,,,,,,0,27,29,2,0,9
Joe Fernandes,,,,,,,,0,28,1,1,9
Giovanni Campbell,,,,,,,,,0,2,0,9
Stephen Miller Miller,,,,,,,,,,0,1,9
Kenneth J Powell Jr,,,,,,,,,,,0,9
Total,36,0,36,35,33,33,31,31,30,3,1,9
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,10
,Jack Mcvay Jr,Vic Stabile,Sierra Thomas Street,Anne Marie Coyle,Giovanni Campbell,Joe Fernandes,Timika Lane,J Scott O Keefe,Daniel D Mccaffery,Kenneth J Powell Jr,Stephen Miller Miller,10
Jack Mcvay Jr,1,0,33,31,33,32,33,32,30,1,0,10
Vic Stabile,,0,1,1,1,1,0,1,1,1,0,10
Sierra Thomas Street,,,1,32,32,34,33,31,30,1,0,10
Anne Marie Coyle,,,,2,31,32,31,30,30,1,0,10
Giovanni Campbell,,,,,0,32,32,33,31,1,0,10
Joe Fernandes,,,,,,0,33,31,30,1,0,10
Timika Lane,,,,,,,0,31,30,0,0,10
J Scott O Keefe,,,,,,,,0,31,1,0,10
Daniel D Mccaffery,,,,,,,,,0,1,0,10
Kenneth J Powell Jr,,,,,,,,,,0,0,10
Stephen Miller Miller,,,,,,,,,,,0,10
Total,37,1,36,34,34,34,34,33,31,2,0,10
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,11
,Anne Marie Coyle,Joe Fernandes,Daniel D Mccaffery,J Scott O Keefe,Sierra Thomas Street,Timika Lane,Giovanni Campbell,Kenneth J Powell Jr,Stephen Miller Miller,Jack Mcvay Jr,Vic Stabile,11
Anne Marie Coyle,0,16,15,15,15,14,14,2,0,15,1,11
Joe Fernandes,,1,15,15,15,14,14,1,0,15,0,11
Daniel D Mccaffery,,,0,15,15,14,14,0,0,14,0,11
J Scott O Keefe,,,,0,15,14,14,0,0,14,0,11
Sierra Thomas Street,,,,,0,14,14,0,0,14,0,11
Timika Lane,,,,,,0,14,1,1,15,0,11
Giovanni Campbell,,,,,,,0,0,0,14,0,11
Kenneth J Powell Jr,,,,,,,,0,1,2,2,11
Stephen Miller Miller,,,,,,,,,0,1,0,11
Jack Mcvay Jr,,,,,,,,,,0,0,11
Vic Stabile,,,,,,,,,,,0,11
Total,17,17,15,15,15,15,14,4,1,16,2,11
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,12
,Anne Marie Coyle,Giovanni Campbell,Daniel D Mccaffery,Sierra Thomas Street,Timika Lane,Joe Fernandes,J Scott O Keefe,Kenneth J Powell Jr,Stephen Miller Miller,Jack Mcvay Jr,Vic Stabile,12
Anne Marie Coyle,0,25,25,24,24,23,22,3,2,24,5,12
Giovanni Campbell,,0,24,23,23,23,22,1,2,24,1,12
Daniel D Mccaffery,,,0,23,24,22,21,0,1,22,1,12
Sierra Thomas Street,,,,0,23,22,21,1,2,23,0,12
Timika Lane,,,,,0,21,20,0,1,23,0,12
Joe Fernandes,,,,,,1,22,1,2,22,1,12
J Scott O Keefe,,,,,,,0,1,1,22,1,12
Kenneth J Powell Jr,,,,,,,,0,1,1,2,12
Stephen Miller Miller,,,,,,,,,0,2,0,12
Jack Mcvay Jr,,,,,,,,,,0,0,12
Vic Stabile,,,,,,,,,,,1,12
Total,31,26,25,25,25,24,23,3,2,28,6,12
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,13
,Anne Marie Coyle,Giovanni Campbell,J Scott O Keefe,Joe Fernandes,Sierra Thomas Street,Timika Lane,Daniel D Mccaffery,Kenneth J Powell Jr,Stephen Miller Miller,Jack Mcvay Jr,Vic Stabile,13
Anne Marie Coyle,0,33,34,34,32,33,33,1,1,33,3,13
Giovanni Campbell,,0,33,33,33,33,33,0,0,31,0,13
J Scott O Keefe,,,0,33,32,33,33,0,0,32,0,13
Joe Fernandes,,,,0,32,32,33,0,0,31,1,13
Sierra Thomas Street,,,,,0,33,32,0,0,31,0,13
Timika Lane,,,,,,0,32,0,0,31,0,13
Daniel D Mccaffery,,,,,,,0,0,0,31,0,13
Kenneth J Powell Jr,,,,,,,,1,0,0,1,13
Stephen Miller Miller,,,,,,,,,0,1,0,13
Jack Mcvay Jr,,,,,,,,,,0,0,13
Vic Stabile,,,,,,,,,,,0,13
Total,38,34,34,34,34,34,33,2,1,34,3,13
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,14
,Jack Mcvay Jr,Vic Stabile,Anne Marie Coyle,Sierra Thomas Street,J Scott O Keefe,Timika Lane,Joe Fernandes,Daniel D Mccaffery,Giovanni Campbell,Kenneth J Powell Jr,Stephen Miller Miller,14
Jack Mcvay Jr,0,0,27,28,28,27,26,25,25,0,0,14
Vic Stabile,,1,1,0,0,0,0,0,0,1,0,14
Anne Marie Coyle,,,1,26,28,26,27,26,26,1,0,14
Sierra Thomas Street,,,,1,27,27,26,26,26,0,0,14
J Scott O Keefe,,,,,0,27,27,26,26,0,0,14
Timika Lane,,,,,,0,26,26,26,0,0,14
Joe Fernandes,,,,,,,0,26,26,0,0,14
Daniel D Mccaffery,,,,,,,,0,26,0,0,14
Giovanni Campbell,,,,,,,,,0,0,0,14
Kenneth J Powell Jr,,,,,,,,,,0,0,14
Stephen Miller Miller,,,,,,,,,,,0,14
Total,31,2,30,30,29,28,27,26,26,1,0,14
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,15
,Sierra Thomas Street,Daniel D Mccaffery,J Scott O Keefe,Timika Lane,Anne Marie Coyle,Giovanni Campbell,Joe Fernandes,Kenneth J Powell Jr,Stephen Miller Miller,Jack Mcvay Jr,Vic Stabile,15
Sierra Thomas Street,0,27,27,27,26,25,25,0,0,27,0,15
Daniel D Mccaffery,,0,27,27,26,25,25,0,0,26,0,15
J Scott O Keefe,,,0,27,26,25,25,0,0,26,0,15
Timika Lane,,,,0,26,25,25,0,0,26,0,15
Anne Marie Coyle,,,,,0,24,24,0,0,25,0,15
Giovanni Campbell,,,,,,0,25,0,0,25,0,15
Joe Fernandes,,,,,,,0,0,0,25,0,15
Kenneth J Powell Jr,,,,,,,,0,0,0,0,15
Stephen Miller Miller,,,,,,,,,0,0,0,15
Jack Mcvay Jr,,,,,,,,,,0,0,15
Vic Stabile,,,,,,,,,,,0,15
Total,28,27,27,27,26,25,25,0,0,27,0,15
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,16
,Sierra Thomas Street,Timika Lane,Anne Marie Coyle,Giovanni Campbell,Daniel D Mccaffery,J Scott O Keefe,Joe Fernandes,Stephen Miller Miller,Kenneth J Powell Jr,Jack Mcvay Jr,Vic Stabile,16
Sierra Thomas Street,2,34,33,34,31,31,30,2,0,33,0,16
Timika Lane,,1,34,36,32,31,30,3,2,33,1,16
Anne Marie Coyle,,,0,33,31,31,30,2,2,32,1,16
Giovanni Campbell,,,,0,32,31,30,3,1,33,0,16
Daniel D Mccaffery,,,,,1,30,30,1,1,30,0,16
J Scott O Keefe,,,,,,0,28,0,0,30,0,16
Joe Fernandes,,,,,,,0,1,1,28,0,16
Stephen Miller Miller,,,,,,,,0,1,1,0,16
Kenneth J Powell Jr,,,,,,,,,0,0,1,16
Jack Mcvay Jr,,,,,,,,,,0,0,16
Vic Stabile,,,,,,,,,,,0,16
Total,38,38,36,36,33,31,31,3,2,35,1,16
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,17
,Anne Marie Coyle,Daniel D Mccaffery,Giovanni Campbell,Joe Fernandes,Timika Lane,J Scott O Keefe,Sierra Thomas Street,Kenneth J Powell Jr,Stephen Miller Miller,Jack Mcvay Jr,Vic Stabile,17
Anne Marie Coyle,0,13,13,13,12,13,13,3,1,12,4,17
Daniel D Mccaffery,,0,13,13,13,13,13,0,0,13,1,17
Giovanni Campbell,,,0,13,13,13,13,1,0,12,1,17
Joe Fernandes,,,,1,12,13,13,0,0,12,1,17
Timika Lane,,,,,0,12,12,1,0,12,1,17
J Scott O Keefe,,,,,,0,13,0,0,12,1,17
Sierra Thomas Street,,,,,,,0,0,0,12,1,17
Kenneth J Powell Jr,,,,,,,,0,1,0,4,17
Stephen Miller Miller,,,,,,,,,0,0,1,17
Jack Mcvay Jr,,,,,,,,,,0,0,17
Vic Stabile,,,,,,,,,,,1,17
Total,16,14,14,14,14,13,13,5,1,13,6,17
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,18
,Jack Mcvay Jr,Vic Stabile,Joe Fernandes,Daniel D Mccaffery,Giovanni Campbell,Sierra Thomas Street,Anne Marie Coyle,J Scott O Keefe,Timika Lane,Kenneth J Powell Jr,Stephen Miller Miller,18
Jack Mcvay Jr,0,0,22,21,21,20,20,19,20,2,1,18
Vic Stabile,,0,0,0,0,0,0,0,0,0,0,18
Joe Fernandes,,,1,18,19,19,19,18,17,1,0,18
Daniel D Mccaffery,,,,0,19,19,19,19,18,2,1,18
Giovanni Campbell,,,,,0,20,20,19,17,2,1,18
Sierra Thomas Street,,,,,,1,20,19,17,2,1,18
Anne Marie Coyle,,,,,,,0,19,17,2,1,18
J Scott O Keefe,,,,,,,,1,17,2,1,18
Timika Lane,,,,,,,,,0,0,0,18
Kenneth J Powell Jr,,,,,,,,,,0,1,18
Stephen Miller Miller,,,,,,,,,,,0,18
Total,28,0,23,21,21,21,20,20,20,2,1,18
,Judge Of The Superior Court,,Judge Of The Court Of Common Pleas,,,,,,,,,19
,Jack Mcvay Jr,Vic Stabile,Anne Marie Coyle,Joe Fernandes,Sierra Thomas Street,Daniel D Mccaffery,Giovanni Campbell,Timika Lane,J Scott O Keefe,Stephen Miller Miller,Kenneth J Powell Jr,19
Jack Mcvay Jr,0,0,31,29,29,29,26,27,26,2,1,19
Vic Stabile,,0,0,0,0,0,0,0,0,0,0,19
Anne Marie Coyle,,,0,29,27,27,26,25,24,2,1,19
Joe Fernandes,,,,0,26,27,26,26,25,2,1,19
Sierra Thomas Street,,,,,0,25,26,25,24,1,1,19
Daniel D Mccaffery,,,,,,0,24,26,25,2,0,19
Giovanni Campbell,,,,,,,0,24,23,1,1,19
Timika Lane,,,,,,,,0,25,2,0,19
J Scott O Keefe,,,,,,,,,0,2,0,19
Stephen Miller Miller,,,,,,,,,,0,0,19
Kenneth J Powell Jr,,,,,,,,,,,0,19
Total,36,0,33,31,30,29,27,27,26,2,1,19
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,20
,Anne Marie Coyle,Sierra Thomas Street,Giovanni Campbell,Timika Lane,Daniel D Mccaffery,J Scott O Keefe,Joe Fernandes,Kenneth J Powell Jr,Stephen Miller Miller,Jack Mcvay Jr,Vic Stabile,20
Anne Marie Coyle,1,14,16,12,13,13,12,0,0,14,1,20
Sierra Thomas Street,,0,14,14,12,12,12,0,0,14,0,20
Giovanni Campbell,,,0,12,13,13,12,0,0,14,0,20
Timika Lane,,,,1,12,12,11,0,0,11,0,20
Daniel D Mccaffery,,,,,0,13,11,0,0,12,0,20
J Scott O Keefe,,,,,,0,11,0,0,12,0,20
Joe Fernandes,,,,,,,0,0,0,12,0,20
Kenneth J Powell Jr,,,,,,,,0,0,0,0,20
Stephen Miller Miller,,,,,,,,,0,0,0,20
Jack Mcvay Jr,,,,,,,,,,0,0,20
Vic Stabile,,,,,,,,,,,0,20
Total,18,18,16,15,13,13,12,0,0,16,1,20
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,21
,Sierra Thomas Street,Anne Marie Coyle,Timika Lane,J Scott O Keefe,Daniel D Mccaffery,Giovanni Campbell,Joe Fernandes,Kenneth J Powell Jr,Stephen Miller Miller,Jack Mcvay Jr,Vic Stabile,21
Sierra Thomas Street,1,44,43,42,41,41,40,1,1,45,1,21
Anne Marie Coyle,,0,41,42,41,40,40,2,0,42,2,21
Timika Lane,,,0,41,40,40,40,0,0,41,0,21
J Scott O Keefe,,,,0,41,40,40,0,0,41,0,21
Daniel D Mccaffery,,,,,0,40,40,0,0,40,0,21
Giovanni Campbell,,,,,,0,40,0,0,40,0,21
Joe Fernandes,,,,,,,0,0,0,40,0,21
Kenneth J Powell Jr,,,,,,,,0,0,0,2,21
Stephen Miller Miller,,,,,,,,,0,1,0,21
Jack Mcvay Jr,,,,,,,,,,0,0,21
Vic Stabile,,,,,,,,,,,0,21
