col_1,col_2,col_3,division
,Controller,,All
,Alan Butkovitz,Terrence J Tracy Jr,All
Alan Butkovitz,410,0,All
Terrence J Tracy Jr,,38,All
Total,410,38,All
,Controller,,1
,Alan Butkovitz,Terrence J Tracy Jr,1
Alan Butkovitz,26,0,1
Terrence J Tracy Jr,,5,1
Total,26,5,1
,Controller,,2
,Alan Butkovitz,Terrence J Tracy Jr,2
Alan Butkovitz,39,0,2
Terrence J Tracy Jr,,6,2
Total,39,6,2
,Controller,,3
,Alan Butkovitz,Terrence J Tracy Jr,3
Alan Butkovitz,20,0,3
Terrence J Tracy Jr,,5,3
Total,20,5,3
,Controller,,4
,Alan Butkovitz,Terrence J Tracy Jr,4
Alan Butkovitz,26,0,4
Terrence J Tracy Jr,,2,4
Total,26,2,4
,Controller,,5
,Alan Butkovitz,Terrence J Tracy Jr,5
Alan Butkovitz,12,0,5
Terrence J Tracy Jr,,1,5
Total,12,1,5
,Controller,,6
,Alan Butkovitz,Terrence J Tracy Jr,6
Alan Butkovitz,31,0,6
Terrence J Tracy Jr,,4,6
Total,31,4,6
,Controller,,7
,Alan Butkovitz,Terrence J Tracy Jr,7
Alan Butkovitz,35,0,7
Terrence J Tracy Jr,,1,7
Total,35,1,7
,Controller,,8
,Alan Butkovitz,Terrence J Tracy Jr,8
Alan Butkovitz,45,0,8
Terrence J Tracy Jr,,3,8
Total,45,3,8
,Controller,,9
,Alan Butkovitz,Terrence J Tracy Jr,9
Alan Butkovitz,18,0,9
Terrence J Tracy Jr,,2,9
Total,18,2,9
,Controller,,10
,Alan Butkovitz,Terrence J Tracy Jr,10
Alan Butkovitz,20,0,10
Terrence J Tracy Jr,,2,10
Total,20,2,10
,Controller,,11
,Alan Butkovitz,Terrence J Tracy Jr,11
Alan Butkovitz,44,0,11
Terrence J Tracy Jr,,5,11
Total,44,5,11
,Controller,,12
,Alan Butkovitz,Terrence J Tracy Jr,12
Alan Butkovitz,12,0,12
Terrence J Tracy Jr,,1,12
Total,12,1,12
,Controller,,13
,Alan Butkovitz,Terrence J Tracy Jr,13
Alan Butkovitz,64,0,13
Terrence J Tracy Jr,,1,13
Total,64,1,13
,Controller,,14
,Alan Butkovitz,Terrence J Tracy Jr,14
Alan Butkovitz,18,0,14
Terrence J Tracy Jr,,0,14
Total,18,0,14
