col_1,col_2,division
,Senator In The General Assembly 7th District,All
,Vincent J Hughes,All
Vincent J Hughes,"7,631",All
Total,"7,631",All
,Senator In The General Assembly 7th District,1
,Vincent J Hughes,1
Vincent J Hughes,329,1
Total,329,1
,Senator In The General Assembly 7th District,2
,Vincent J Hughes,2
Vincent J Hughes,685,2
Total,685,2
,Senator In The General Assembly 7th District,3
,Vincent J Hughes,3
Vincent J Hughes,547,3
Total,547,3
,Senator In The General Assembly 7th District,4
,Vincent J Hughes,4
Vincent J Hughes,425,4
Total,425,4
,Senator In The General Assembly 7th District,5
,Vincent J Hughes,5
Vincent J Hughes,394,5
Total,394,5
,Senator In The General Assembly 7th District,6
,Vincent J Hughes,6
Vincent J Hughes,478,6
Total,478,6
,Senator In The General Assembly 7th District,7
,Vincent J Hughes,7
Vincent J Hughes,481,7
Total,481,7
,Senator In The General Assembly 7th District,8
,Vincent J Hughes,8
Vincent J Hughes,339,8
Total,339,8
,Senator In The General Assembly 7th District,10
,Vincent J Hughes,10
Vincent J Hughes,393,10
Total,393,10
,Senator In The General Assembly 7th District,11
,Vincent J Hughes,11
Vincent J Hughes,278,11
Total,278,11
,Senator In The General Assembly 7th District,12
,Vincent J Hughes,12
Vincent J Hughes,333,12
Total,333,12
,Senator In The General Assembly 7th District,13
,Vincent J Hughes,13
Vincent J Hughes,340,13
Total,340,13
,Senator In The General Assembly 7th District,14
,Vincent J Hughes,14
Vincent J Hughes,326,14
Total,326,14
,Senator In The General Assembly 7th District,15
,Vincent J Hughes,15
Vincent J Hughes,322,15
Total,322,15
,Senator In The General Assembly 7th District,16
,Vincent J Hughes,16
Vincent J Hughes,308,16
Total,308,16
,Senator In The General Assembly 7th District,17
,Vincent J Hughes,17
Vincent J Hughes,406,17
Total,406,17
,Senator In The General Assembly 7th District,18
,Vincent J Hughes,18
Vincent J Hughes,332,18
Total,332,18
,Senator In The General Assembly 7th District,19
,Vincent J Hughes,19
Vincent J Hughes,222,19
Total,222,19
,Senator In The General Assembly 7th District,20
,Vincent J Hughes,20
Vincent J Hughes,236,20
Total,236,20
,Senator In The General Assembly 7th District,21
,Vincent J Hughes,21
Vincent J Hughes,457,21
Total,457,21
