col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
Kathleen G Kane,6,0,0,326,0,1,14
David J Freed,,0,0,3,10,0,14
Marakay J Rogers,,,0,1,0,0,14
Eugene A Depasquale,,,,0,0,0,14
John Maher,,,,,0,0,14
Betsy Elizabeth Summers,,,,,,0,14
Total,333,13,1,330,10,1,14
,Attorney General,,,Auditor General,,,15
,Kathleen G Kane,David J Freed,Marakay J Rogers,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,15
Kathleen G Kane,12,0,0,334,1,0,15
David J Freed,,0,0,3,4,0,15
Marakay J Rogers,,,0,0,0,0,15
Eugene A Depasquale,,,,6,0,0,15
John Maher,,,,,0,0,15
Betsy Elizabeth Summers,,,,,,0,15
Total,347,7,0,343,5,0,15
,Attorney General,,,Auditor General,,,16
,Kathleen G Kane,David J Freed,Marakay J Rogers,Eugene A Depasquale,Betsy Elizabeth Summers,John Maher,16
Kathleen G Kane,4,0,0,236,3,1,16
David J Freed,,0,0,1,0,1,16
Marakay J Rogers,,,0,0,1,0,16
Eugene A Depasquale,,,,1,0,0,16
Betsy Elizabeth Summers,,,,,0,0,16
John Maher,,,,,,0,16
Total,244,2,1,238,4,2,16
,Attorney General,,,Auditor General,,,17
,Kathleen G Kane,David J Freed,Marakay J Rogers,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,17
Kathleen G Kane,5,0,0,318,2,0,17
David J Freed,,1,0,2,0,0,17
Marakay J Rogers,,,0,0,0,1,17
Eugene A Depasquale,,,,1,0,0,17
John Maher,,,,,0,0,17
Betsy Elizabeth Summers,,,,,,0,17
Total,325,3,1,321,2,1,17
,Attorney General,,,Auditor General,,,18
,Kathleen G Kane,David J Freed,Marakay J Rogers,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,18
Kathleen G Kane,4,0,0,266,1,0,18
David J Freed,,0,0,0,4,0,18
Marakay J Rogers,,,0,0,0,1,18
Eugene A Depasquale,,,,0,0,0,18
John Maher,,,,,0,0,18
Betsy Elizabeth Summers,,,,,,0,18
Total,271,4,1,266,5,1,18
,Attorney General,,,Auditor General,,,19
,Kathleen G Kane,David J Freed,Marakay J Rogers,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,19
Kathleen G Kane,6,0,0,344,2,0,19
David J Freed,,0,0,2,6,0,19
Marakay J Rogers,,,0,0,0,0,19
Eugene A Depasquale,,,,4,0,0,19
John Maher,,,,,0,0,19
Betsy Elizabeth Summers,,,,,,0,19
Total,352,8,0,350,8,0,19
