col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
Rayburn Douglas Smith,,,0,0,1,0,13
Robert M Mccord,,,,3,0,0,13
Diana Irey Vaughan,,,,,1,0,13
Patricia M Fryman,,,,,,0,13
Total,305,27,1,295,30,1,13
,United States Senator,,,State Treasurer,,,14
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,14
Bob Casey Jr,10,0,0,236,3,3,14
Tom Smith,,2,0,4,60,0,14
Rayburn Douglas Smith,,,0,0,0,0,14
Robert M Mccord,,,,0,0,0,14
Diana Irey Vaughan,,,,,2,0,14
Patricia M Fryman,,,,,,0,14
Total,252,66,0,240,65,3,14
,United States Senator,,,State Treasurer,,,15
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,15
Bob Casey Jr,11,0,0,257,18,1,15
Tom Smith,,0,0,11,75,0,15
Rayburn Douglas Smith,,,0,1,0,2,15
Robert M Mccord,,,,3,0,0,15
Diana Irey Vaughan,,,,,1,0,15
Patricia M Fryman,,,,,,0,15
Total,287,86,3,272,94,3,15
,United States Senator,,,State Treasurer,,,16
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,16
Bob Casey Jr,10,0,0,211,12,0,16
Tom Smith,,7,0,9,66,1,16
Rayburn Douglas Smith,,,0,0,1,1,16
Robert M Mccord,,,,2,0,0,16
Diana Irey Vaughan,,,,,1,0,16
Patricia M Fryman,,,,,,0,16
Total,233,83,2,222,80,2,16
,United States Senator,,,State Treasurer,,,17
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,17
Bob Casey Jr,22,0,0,195,10,0,17
Tom Smith,,2,0,5,57,0,17
Rayburn Douglas Smith,,,0,0,0,4,17
Robert M Mccord,,,,5,0,0,17
Diana Irey Vaughan,,,,,3,0,17
Patricia M Fryman,,,,,,0,17
Total,227,64,4,205,70,4,17
,United States Senator,,,State Treasurer,,,18
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,18
Bob Casey Jr,9,0,0,240,11,3,18
Tom Smith,,5,0,11,74,2,18
Rayburn Douglas Smith,,,0,0,0,2,18
Robert M Mccord,,,,5,0,0,18
Diana Irey Vaughan,,,,,1,0,18
Patricia M Fryman,,,,,,0,18
Total,263,92,2,256,86,7,18
,United States Senator,,,State Treasurer,,,19
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,19
Bob Casey Jr,9,0,0,287,11,2,19
Tom Smith,,3,0,10,55,0,19
Rayburn Douglas Smith,,,0,0,0,1,19
Robert M Mccord,,,,3,0,0,19
Diana Irey Vaughan,,,,,0,0,19
Patricia M Fryman,,,,,,0,19
Total,309,68,1,300,66,3,19
,United States Senator,,,State Treasurer,,,20
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,20
Bob Casey Jr,12,0,0,251,13,0,20
Tom Smith,,4,0,8,111,0,20
Rayburn Douglas Smith,,,0,0,0,1,20
Robert M Mccord,,,,2,0,0,20
Diana Irey Vaughan,,,,,3,0,20
Patricia M Fryman,,,,,,0,20
Total,276,123,1,261,127,1,20
,United States Senator,,,State Treasurer,,,21
