col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,State Treasurer,,,Representative In Congress 2nd District,,,All
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,All
Robert M Mccord,"7,036",0,0,"3,428",36,13,All
Diana Irey Vaughan,,373,0,44,199,3,All
Patricia M Fryman,,,25,17,1,8,All
Chaka Fattah,,,,120,0,0,All
Robert Allen Mansfield Jr,,,,,8,0,All
James Foster,,,,,,3,All
Total,"10,513",619,51,"3,609",244,27,All
,Representative In Congress 2nd District,,,State Treasurer,,,24
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,24
Chaka Fattah,9,0,0,253,1,2,24
Robert Allen Mansfield Jr,,1,0,1,17,0,24
James Foster,,,1,0,1,1,24
Robert M Mccord,,,,3,0,0,24
Diana Irey Vaughan,,,,,0,0,24
Patricia M Fryman,,,,,,0,24
Total,265,19,3,257,19,3,24
,State Treasurer,,,Representative In Congress 2nd District,,,12
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,12
Robert M Mccord,407,0,0,0,0,0,12
Diana Irey Vaughan,,15,0,0,0,0,12
Patricia M Fryman,,,0,0,0,0,12
Chaka Fattah,,,,0,0,0,12
James Foster,,,,,0,0,12
Robert Allen Mansfield Jr,,,,,,0,12
Total,407,15,0,0,0,0,12
,State Treasurer,,,Representative In Congress 2nd District,,,13
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,13
Robert M Mccord,209,0,0,0,0,0,13
Diana Irey Vaughan,,4,0,0,0,0,13
Patricia M Fryman,,,0,0,0,0,13
Chaka Fattah,,,,0,0,0,13
James Foster,,,,,0,0,13
Robert Allen Mansfield Jr,,,,,,0,13
Total,209,4,0,0,0,0,13
,State Treasurer,,,Representative In Congress 2nd District,,,14
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,14
Robert M Mccord,375,0,0,0,0,0,14
Diana Irey Vaughan,,16,0,0,0,0,14
Patricia M Fryman,,,0,0,0,0,14
Chaka Fattah,,,,0,0,0,14
James Foster,,,,,0,0,14
Robert Allen Mansfield Jr,,,,,,0,14
Total,375,16,0,0,0,0,14
,State Treasurer,,,Representative In Congress 2nd District,,,15
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,15
Robert M Mccord,324,0,0,0,0,0,15
Diana Irey Vaughan,,25,0,0,0,0,15
Patricia M Fryman,,,3,0,0,0,15
Chaka Fattah,,,,0,0,0,15
James Foster,,,,,0,0,15
Robert Allen Mansfield Jr,,,,,,0,15
Total,324,25,3,0,0,0,15
,State Treasurer,,,Representative In Congress 2nd District,,,16
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,16
Robert M Mccord,365,0,0,0,0,0,16
Diana Irey Vaughan,,25,0,0,0,0,16
Patricia M Fryman,,,0,0,0,0,16
Chaka Fattah,,,,0,0,0,16
James Foster,,,,,0,0,16
Robert Allen Mansfield Jr,,,,,,0,16
Total,365,25,0,0,0,0,16
,Representative In Congress 2nd District,,,State Treasurer,,,17
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,17
Chaka Fattah,11,0,0,302,10,4,17
Robert Allen Mansfield Jr,,2,0,5,46,0,17
James Foster,,,0,2,1,1,17
Robert M Mccord,,,,3,0,0,17
Diana Irey Vaughan,,,,,1,0,17
Patricia M Fryman,,,,,,0,17
Total,327,53,4,312,58,5,17
,State Treasurer,,,Representative In Congress 2nd District,,,18
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,18
Robert M Mccord,417,0,0,0,0,0,18
Diana Irey Vaughan,,32,0,0,0,0,18
Patricia M Fryman,,,0,0,0,0,18
Chaka Fattah,,,,0,0,0,18
James Foster,,,,,0,0,18
Robert Allen Mansfield Jr,,,,,,0,18
Total,417,32,0,0,0,0,18
,State Treasurer,,,Representative In Congress 2nd District,,,19
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,19
Robert M Mccord,334,0,0,0,0,0,19
Diana Irey Vaughan,,28,0,0,0,0,19
Patricia M Fryman,,,4,0,0,0,19
Chaka Fattah,,,,0,0,0,19
James Foster,,,,,0,0,19
Robert Allen Mansfield Jr,,,,,,0,19
Total,334,28,4,0,0,0,19
,State Treasurer,,,Representative In Congress 2nd District,,,20
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,20
Robert M Mccord,381,0,0,0,0,0,20
