col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,12
Barack Obama,40,0,0,0,485,7,0,12
Mitt Romney,,0,0,0,1,4,1,12
Gary Johnson,,,0,0,0,0,0,12
Jill Stein,,,,0,0,0,0,12
Eugene A Depasquale,,,,,5,0,0,12
John Maher,,,,,,2,0,12
Betsy Elizabeth Summers,,,,,,,0,12
Total,532,6,0,0,491,13,1,12
,President And Vice President Of The United States,,,,Auditor General,,,13
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,13
Barack Obama,22,0,0,0,276,4,1,13
Mitt Romney,,2,0,0,0,6,0,13
Gary Johnson,,,0,0,0,0,0,13
Jill Stein,,,,0,0,0,0,13
Eugene A Depasquale,,,,,0,0,0,13
John Maher,,,,,,0,0,13
Betsy Elizabeth Summers,,,,,,,0,13
Total,303,8,0,0,276,10,1,13
,President And Vice President Of The United States,,,,Auditor General,,,14
,Barack Obama,Jill Stein,Mitt Romney,Gary Johnson,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,14
Barack Obama,42,0,0,0,378,3,0,14
Jill Stein,,1,0,0,0,0,0,14
Mitt Romney,,,0,0,0,1,0,14
Gary Johnson,,,,0,0,0,0,14
Eugene A Depasquale,,,,,4,0,0,14
John Maher,,,,,,0,0,14
Betsy Elizabeth Summers,,,,,,,0,14
Total,423,1,1,0,382,4,0,14
,President And Vice President Of The United States,,,,Auditor General,,,15
,Barack Obama,Mitt Romney,Jill Stein,Gary Johnson,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,15
Barack Obama,29,0,0,0,410,1,1,15
Mitt Romney,,0,0,0,1,3,0,15
Jill Stein,,,1,0,0,0,0,15
Gary Johnson,,,,0,0,0,0,15
Eugene A Depasquale,,,,,8,0,0,15
John Maher,,,,,,0,0,15
Betsy Elizabeth Summers,,,,,,,0,15
Total,441,4,1,0,419,4,1,15
,President And Vice President Of The United States,,,,Auditor General,,,16
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,16
Barack Obama,22,0,0,0,442,3,2,16
Mitt Romney,,0,0,0,2,6,0,16
Gary Johnson,,,1,0,0,0,1,16
Jill Stein,,,,0,0,0,0,16
Eugene A Depasquale,,,,,2,0,0,16
John Maher,,,,,,1,0,16
Betsy Elizabeth Summers,,,,,,,0,16
Total,469,8,2,0,446,10,3,16
,President And Vice President Of The United States,,,,Auditor General,,,17
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,17
Barack Obama,15,0,0,0,531,2,1,17
Mitt Romney,,1,0,0,0,3,0,17
Gary Johnson,,,0,0,0,0,1,17
Jill Stein,,,,0,0,0,0,17
Eugene A Depasquale,,,,,3,0,0,17
John Maher,,,,,,0,0,17
Betsy Elizabeth Summers,,,,,,,0,17
Total,549,4,1,0,534,5,2,17
,President And Vice President Of The United States,,,,Auditor General,,,18
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,18
Barack Obama,32,0,0,0,430,3,7,18
Mitt Romney,,0,0,0,2,13,0,18
Gary Johnson,,,0,0,0,0,1,18
Jill Stein,,,,0,0,0,1,18
Eugene A Depasquale,,,,,4,0,0,18
John Maher,,,,,,0,0,18
Betsy Elizabeth Summers,,,,,,,0,18
Total,472,15,1,1,436,16,9,18
,President And Vice President Of The United States,,,,Auditor General,,,20
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,20
Barack Obama,31,0,0,0,501,3,5,20
Mitt Romney,,0,0,0,1,4,0,20
Gary Johnson,,,0,0,0,0,0,20
Jill Stein,,,,0,0,0,0,20
Eugene A Depasquale,,,,,1,0,0,20
John Maher,,,,,,0,0,20
Betsy Elizabeth Summers,,,,,,,0,20
Total,540,5,0,0,503,7,5,20
,President And Vice President Of The United States,,,,Auditor General,,,21
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,21
Barack Obama,38,0,0,0,561,7,3,21
Mitt Romney,,1,0,0,3,16,0,21
Gary Johnson,,,0,0,0,0,0,21
Jill Stein,,,,0,0,0,0,21
Eugene A Depasquale,,,,,6,0,0,21
John Maher,,,,,,0,0,21
Betsy Elizabeth Summers,,,,,,,0,21
Total,609,20,0,0,570,23,3,21
,President And Vice President Of The United States,,,,Auditor General,,,22
,Barack Obama,Mitt Romney,Jill Stein,Gary Johnson,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,22
Barack Obama,48,0,0,0,628,8,0,22
Mitt Romney,,1,0,0,2,5,0,22
Jill Stein,,,1,0,1,0,1,22
Gary Johnson,,,,0,0,1,0,22
Eugene A Depasquale,,,,,4,0,0,22
John Maher,,,,,,1,0,22
Betsy Elizabeth Summers,,,,,,,0,22
Total,684,8,3,1,635,15,1,22
,President And Vice President Of The United States,,,,Auditor General,,,19
,Barack Obama,Gary Johnson,Jill Stein,Mitt Romney,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,19
Barack Obama,32,0,0,0,478,2,1,19
Gary Johnson,,0,0,0,0,0,0,19
Jill Stein,,,0,0,0,0,0,19
Mitt Romney,,,,0,0,0,0,19
Eugene A Depasquale,,,,,3,0,0,19
John Maher,,,,,,0,0,19
Betsy Elizabeth Summers,,,,,,,0,19
Total,513,0,0,0,481,2,1,19
