col_1,col_2,col_3,col_4,col_5,division
,United States Senator,,,Representative In The General Assembly 185th District,All
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Maria P Donatucci,All
Bob Casey Jr,398,0,0,"9,333",All
Tom Smith,,379,0,224,All
Rayburn Douglas Smith,,,5,18,All
Maria P Donatucci,,,,128,All
Total,"9,731",603,23,"9,703",All
,United States Senator,,,Representative In The General Assembly 185th District,1
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Maria P Donatucci,1
Bob Casey Jr,14,0,0,183,1
Tom Smith,,20,0,10,1
Rayburn Douglas Smith,,,0,1,1
Maria P Donatucci,,,,2,1
Total,197,30,1,196,1
,United States Senator,,,Representative In The General Assembly 185th District,6
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Maria P Donatucci,6
Bob Casey Jr,25,0,0,265,6
Tom Smith,,6,0,4,6
Rayburn Douglas Smith,,,0,0,6
Maria P Donatucci,,,,5,6
Total,290,10,0,274,6
,United States Senator,,,Representative In The General Assembly 185th District,12
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Maria P Donatucci,12
Bob Casey Jr,18,0,0,285,12
Tom Smith,,8,0,5,12
Rayburn Douglas Smith,,,0,0,12
Maria P Donatucci,,,,7,12
Total,303,13,0,297,12
,United States Senator,,,Representative In The General Assembly 185th District,14
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Maria P Donatucci,14
Bob Casey Jr,12,0,0,400,14
Tom Smith,,9,0,4,14
Rayburn Douglas Smith,,,0,1,14
Maria P Donatucci,,,,7,14
Total,412,13,1,412,14
,United States Senator,,,Representative In The General Assembly 185th District,15
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Maria P Donatucci,15
Bob Casey Jr,13,0,0,191,15
Tom Smith,,5,0,5,15
Rayburn Douglas Smith,,,0,4,15
Maria P Donatucci,,,,3,15
Total,204,10,4,203,15
,United States Senator,,,Representative In The General Assembly 185th District,16
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Maria P Donatucci,16
Bob Casey Jr,8,0,0,113,16
Tom Smith,,3,0,2,16
Rayburn Douglas Smith,,,0,0,16
Maria P Donatucci,,,,0,16
Total,121,5,0,115,16
,United States Senator,,,Representative In The General Assembly 185th District,17
