col_1,col_2,col_3,col_4,col_5,col_6,division
,Senator In The General Assembly 1st District,,Auditor General,,,All
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,All
Lawrence M Farnese Jr,202,0,"11,733",758,253,All
Alfonso Gambone Jr,,24,196,"2,429",110,All
Eugene A Depasquale,,,73,0,0,All
John Maher,,,,42,0,All
Betsy Elizabeth Summers,,,,,49,All
Total,"12,946","2,759","12,002","3,229",412,All
,Senator In The General Assembly 1st District,,Auditor General,,,1
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,1
Lawrence M Farnese Jr,8,0,565,41,11,1
Alfonso Gambone Jr,,0,11,154,4,1
Eugene A Depasquale,,,3,0,0,1
John Maher,,,,2,0,1
Betsy Elizabeth Summers,,,,,2,1
Total,625,169,579,197,17,1
,Senator In The General Assembly 1st District,,Auditor General,,,2
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,2
Lawrence M Farnese Jr,13,0,302,41,5,2
Alfonso Gambone Jr,,2,10,113,3,2
Eugene A Depasquale,,,1,0,0,2
John Maher,,,,4,0,2
Betsy Elizabeth Summers,,,,,2,2
Total,361,128,313,158,10,2
,Senator In The General Assembly 1st District,,Auditor General,,,3
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,3
Lawrence M Farnese Jr,8,0,321,32,4,3
Alfonso Gambone Jr,,1,3,87,0,3
Eugene A Depasquale,,,3,0,0,3
John Maher,,,,1,0,3
Betsy Elizabeth Summers,,,,,0,3
Total,365,91,327,120,4,3
,Senator In The General Assembly 1st District,,Auditor General,,,4
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,4
Lawrence M Farnese Jr,9,0,475,28,11,4
Alfonso Gambone Jr,,0,9,103,3,4
Eugene A Depasquale,,,6,0,0,4
John Maher,,,,1,0,4
Betsy Elizabeth Summers,,,,,4,4
Total,523,115,490,132,18,4
,Senator In The General Assembly 1st District,,Auditor General,,,5
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,5
Lawrence M Farnese Jr,7,0,419,19,10,5
Alfonso Gambone Jr,,3,7,86,2,5
Eugene A Depasquale,,,2,0,0,5
John Maher,,,,1,0,5
Betsy Elizabeth Summers,,,,,0,5
Total,455,98,428,106,12,5
,Senator In The General Assembly 1st District,,Auditor General,,,6
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,6
Lawrence M Farnese Jr,8,0,479,30,8,6
Alfonso Gambone Jr,,0,9,89,3,6
Eugene A Depasquale,,,2,0,0,6
John Maher,,,,2,0,6
Betsy Elizabeth Summers,,,,,2,6
Total,525,101,490,121,13,6
,Senator In The General Assembly 1st District,,Auditor General,,,7
