col_1,col_2,col_3,col_4,col_5,division
,Attorney General,,,Representative In The General Assembly 202nd District,All
,Kathleen G Kane,David J Freed,Marakay J Rogers,Mark B Cohen,All
Kathleen G Kane,132,0,0,"3,936",All
David J Freed,,30,0,28,All
Marakay J Rogers,,,0,10,All
Mark B Cohen,,,,70,All
Total,"4,068",58,10,"4,044",All
,Representative In The General Assembly 202nd District,Attorney General,,,4
,Mark B Cohen,Kathleen G Kane,David J Freed,Marakay J Rogers,4
Mark B Cohen,15,396,4,0,4
Kathleen G Kane,,15,0,0,4
David J Freed,,,8,0,4
Marakay J Rogers,,,,0,4
Total,415,411,12,0,4
,Attorney General,,,Representative In The General Assembly 202nd District,11
,Kathleen G Kane,David J Freed,Marakay J Rogers,Mark B Cohen,11
Kathleen G Kane,12,0,0,331,11
David J Freed,,3,0,0,11
Marakay J Rogers,,,0,0,11
Mark B Cohen,,,,6,11
Total,343,3,0,337,11
,Attorney General,,,Representative In The General Assembly 202nd District,12
,Kathleen G Kane,David J Freed,Marakay J Rogers,Mark B Cohen,12
Kathleen G Kane,13,0,0,412,12
David J Freed,,0,0,2,12
Marakay J Rogers,,,0,0,12
Mark B Cohen,,,,3,12
Total,425,2,0,417,12
,Attorney General,,,Representative In The General Assembly 202nd District,13
,Kathleen G Kane,David J Freed,Marakay J Rogers,Mark B Cohen,13
Kathleen G Kane,18,0,0,386,13
David J Freed,,4,0,3,13
Marakay J Rogers,,,0,0,13
Mark B Cohen,,,,8,13
Total,404,7,0,397,13
,Representative In The General Assembly 202nd District,Attorney General,,,14
,Mark B Cohen,Kathleen G Kane,David J Freed,Marakay J Rogers,14
Mark B Cohen,4,445,3,3,14
Kathleen G Kane,,7,0,0,14
David J Freed,,,0,0,14
Marakay J Rogers,,,,0,14
Total,455,452,3,3,14
,Attorney General,,,Representative In The General Assembly 202nd District,18
,Kathleen G Kane,David J Freed,Marakay J Rogers,Mark B Cohen,18
Kathleen G Kane,16,0,0,315,18
David J Freed,,1,0,3,18
Marakay J Rogers,,,0,1,18
Mark B Cohen,,,,8,18
Total,331,4,1,327,18
,Attorney General,,,Representative In The General Assembly 202nd District,19
,Kathleen G Kane,David J Freed,Marakay J Rogers,Mark B Cohen,19
Kathleen G Kane,12,0,0,335,19
David J Freed,,0,0,2,19
Marakay J Rogers,,,0,1,19
Mark B Cohen,,,,6,19
Total,347,2,1,344,19
,Attorney General,,,Representative In The General Assembly 202nd District,20
,Kathleen G Kane,David J Freed,Marakay J Rogers,Mark B Cohen,20
Kathleen G Kane,9,0,0,388,20
David J Freed,,2,0,1,20
Marakay J Rogers,,,0,3,20
Mark B Cohen,,,,5,20
Total,397,3,3,397,20
,Attorney General,,,Representative In The General Assembly 202nd District,21
,Kathleen G Kane,David J Freed,Marakay J Rogers,Mark B Cohen,21
Kathleen G Kane,18,0,0,468,21
David J Freed,,10,0,6,21
Marakay J Rogers,,,0,2,21
Mark B Cohen,,,,8,21
Total,486,16,2,484,21
,Attorney General,,,Representative In The General Assembly 202nd District,26
,Kathleen G Kane,David J Freed,Marakay J Rogers,Mark B Cohen,26
Kathleen G Kane,4,0,0,169,26
David J Freed,,1,0,0,26
Marakay J Rogers,,,0,0,26
Mark B Cohen,,,,1,26
Total,173,1,0,170,26
,Representative In The General Assembly 202nd District,Attorney General,,,27
,Mark B Cohen,Kathleen G Kane,David J Freed,Marakay J Rogers,27
Mark B Cohen,6,291,4,0,27
Kathleen G Kane,,8,0,0,27
David J Freed,,,1,0,27
Marakay J Rogers,,,,0,27
Total,301,299,5,0,27
