col_1,col_2,col_3,col_4,division
,United States Senator,,,All
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,All
Bob Casey Jr,"8,530",0,0,All
Tom Smith,,238,0,All
Rayburn Douglas Smith,,,35,All
Total,"8,530",238,35,All
,United States Senator,,,1
,Bob Casey Jr,Rayburn Douglas Smith,Tom Smith,1
Bob Casey Jr,193,0,0,1
Rayburn Douglas Smith,,1,0,1
Tom Smith,,,1,1
Total,193,1,1,1
,United States Senator,,,2
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,2
Bob Casey Jr,330,0,0,2
Tom Smith,,2,0,2
Rayburn Douglas Smith,,,0,2
Total,330,2,0,2
,United States Senator,,,3
,Bob Casey Jr,Rayburn Douglas Smith,Tom Smith,3
Bob Casey Jr,273,0,0,3
Rayburn Douglas Smith,,0,0,3
Tom Smith,,,0,3
Total,273,0,0,3
,United States Senator,,,4
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,4
Bob Casey Jr,273,0,0,4
Tom Smith,,4,0,4
Rayburn Douglas Smith,,,0,4
Total,273,4,0,4
,United States Senator,,,5
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,5
Bob Casey Jr,110,0,0,5
Tom Smith,,19,0,5
Rayburn Douglas Smith,,,4,5
Total,110,19,4,5
,United States Senator,,,6
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,6
Bob Casey Jr,233,0,0,6
Tom Smith,,25,0,6
Rayburn Douglas Smith,,,1,6
Total,233,25,1,6
,United States Senator,,,7
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,7
Bob Casey Jr,385,0,0,7
Tom Smith,,65,0,7
Rayburn Douglas Smith,,,8,7
Total,385,65,8,7
,United States Senator,,,8
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,8
Bob Casey Jr,250,0,0,8
Tom Smith,,33,0,8
Rayburn Douglas Smith,,,6,8
Total,250,33,6,8
,United States Senator,,,9
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,9
Bob Casey Jr,350,0,0,9
Tom Smith,,16,0,9
Rayburn Douglas Smith,,,3,9
Total,350,16,3,9
,United States Senator,,,10
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,10
Bob Casey Jr,295,0,0,10
Tom Smith,,2,0,10
Rayburn Douglas Smith,,,0,10
Total,295,2,0,10
,United States Senator,,,11
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,11
Bob Casey Jr,317,0,0,11
Tom Smith,,13,0,11
Rayburn Douglas Smith,,,1,11
Total,317,13,1,11
,United States Senator,,,12
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,12
Bob Casey Jr,351,0,0,12
Tom Smith,,12,0,12
Rayburn Douglas Smith,,,3,12
Total,351,12,3,12
,United States Senator,,,13
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,13
Bob Casey Jr,195,0,0,13
Tom Smith,,2,0,13
Rayburn Douglas Smith,,,0,13
Total,195,2,0,13
,United States Senator,,,14
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,14
Bob Casey Jr,146,0,0,14
Tom Smith,,3,0,14
Rayburn Douglas Smith,,,1,14
Total,146,3,1,14
,United States Senator,,,15
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,15
Bob Casey Jr,253,0,0,15
Tom Smith,,3,0,15
Rayburn Douglas Smith,,,2,15
Total,253,3,2,15
,United States Senator,,,16
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,16
Bob Casey Jr,314,0,0,16
Tom Smith,,3,0,16
Rayburn Douglas Smith,,,0,16
Total,314,3,0,16
,United States Senator,,,17
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,17
Bob Casey Jr,244,0,0,17
Tom Smith,,3,0,17
Rayburn Douglas Smith,,,0,17
Total,244,3,0,17
,United States Senator,,,18
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,18
Bob Casey Jr,294,0,0,18
Tom Smith,,2,0,18
Rayburn Douglas Smith,,,0,18
Total,294,2,0,18
,United States Senator,,,19
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,19
Bob Casey Jr,309,0,0,19
Tom Smith,,2,0,19
Rayburn Douglas Smith,,,0,19
Total,309,2,0,19
,United States Senator,,,20
,Bob Casey Jr,Rayburn Douglas Smith,Tom Smith,20
Bob Casey Jr,252,0,0,20
Rayburn Douglas Smith,,2,0,20
Tom Smith,,,2,20
Total,252,2,2,20
,United States Senator,,,21
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,21
Bob Casey Jr,315,0,0,21
Tom Smith,,4,0,21
Rayburn Douglas Smith,,,0,21
Total,315,4,0,21
,United States Senator,,,22
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,22
Bob Casey Jr,275,0,0,22
Tom Smith,,2,0,22
Rayburn Douglas Smith,,,0,22
Total,275,2,0,22
,United States Senator,,,23
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,23
Bob Casey Jr,288,0,0,23
Tom Smith,,5,0,23
Rayburn Douglas Smith,,,0,23
Total,288,5,0,23
,United States Senator,,,24
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,24
Bob Casey Jr,201,0,0,24
Tom Smith,,5,0,24
Rayburn Douglas Smith,,,0,24
Total,201,5,0,24
,United States Senator,,,25
,Bob Casey Jr,Rayburn Douglas Smith,Tom Smith,25
Bob Casey Jr,294,0,0,25
Rayburn Douglas Smith,,1,0,25
Tom Smith,,,0,25
Total,294,1,0,25
,United States Senator,,,26
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,26
Bob Casey Jr,282,0,0,26
Tom Smith,,3,0,26
Rayburn Douglas Smith,,,1,26
Total,282,3,1,26
,United States Senator,,,27
,Bob Casey Jr,Rayburn Douglas Smith,Tom Smith,27
Bob Casey Jr,193,0,0,27
Rayburn Douglas Smith,,1,0,27
Tom Smith,,,0,27
Total,193,1,0,27
,United States Senator,,,28
,Bob Casey Jr,Rayburn Douglas Smith,Tom Smith,28
Bob Casey Jr,435,0,0,28
Rayburn Douglas Smith,,0,0,28
Tom Smith,,,0,28
Total,435,0,0,28
,United States Senator,,,29
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,29
