col_1,col_2,col_3,col_4,col_5,col_6,division
Lawrence M Farnese Jr,,,,5,0,15
Alfonso Gambone Jr,,,,,0,15
Total,310,3,1,305,3,15
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,16
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,16
Chaka Fattah,14,0,0,297,3,16
Robert Allen Mansfield Jr,,0,0,2,1,16
James Foster,,,0,0,0,16
Lawrence M Farnese Jr,,,,0,0,16
Alfonso Gambone Jr,,,,,0,16
Total,314,3,0,299,4,16
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,17
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,17
Chaka Fattah,8,0,0,243,1,17
Robert Allen Mansfield Jr,,0,0,0,3,17
James Foster,,,0,1,0,17
Lawrence M Farnese Jr,,,,0,0,17
Alfonso Gambone Jr,,,,,0,17
Total,252,3,1,244,4,17
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,18
,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,Lawrence M Farnese Jr,Alfonso Gambone Jr,18
Chaka Fattah,6,0,0,298,0,18
James Foster,,0,0,2,0,18
Robert Allen Mansfield Jr,,,0,0,2,18
Lawrence M Farnese Jr,,,,1,0,18
Alfonso Gambone Jr,,,,,0,18
Total,304,2,2,301,2,18
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,19
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,19
Chaka Fattah,17,0,0,380,1,19
Robert Allen Mansfield Jr,,0,0,1,0,19
James Foster,,,0,0,0,19
Lawrence M Farnese Jr,,,,3,0,19
Alfonso Gambone Jr,,,,,0,19
Total,398,1,0,384,1,19
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,20
,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,Lawrence M Farnese Jr,Alfonso Gambone Jr,20
