col_1,col_2,col_3,col_4,col_5,division
,Representative In The General Assembly 202nd District,Auditor General,,,All
,Mark B Cohen,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,All
Mark B Cohen,77,"2,626",42,9,All
Eugene A Depasquale,,43,0,0,All
John Maher,,,36,0,All
Betsy Elizabeth Summers,,,,1,All
Total,"2,754","2,669",78,10,All
,Representative In The General Assembly 202nd District,Auditor General,,,2
,Mark B Cohen,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,2
Mark B Cohen,38,479,5,1,2
Eugene A Depasquale,,4,0,0,2
John Maher,,,15,0,2
Betsy Elizabeth Summers,,,,1,2
Total,523,483,20,2,2
,Representative In The General Assembly 202nd District,Auditor General,,,7
,Mark B Cohen,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,7
Mark B Cohen,12,523,8,1,7
Eugene A Depasquale,,12,0,0,7
John Maher,,,2,0,7
Betsy Elizabeth Summers,,,,0,7
Total,544,535,10,1,7
,Representative In The General Assembly 202nd District,Auditor General,,,16
,Mark B Cohen,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,16
Mark B Cohen,6,436,3,3,16
Eugene A Depasquale,,10,0,0,16
John Maher,,,7,0,16
Betsy Elizabeth Summers,,,,0,16
Total,448,446,10,3,16
,Representative In The General Assembly 202nd District,Auditor General,,,21
,Mark B Cohen,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,21
Mark B Cohen,12,563,14,3,21
Eugene A Depasquale,,7,0,0,21
John Maher,,,9,0,21
Betsy Elizabeth Summers,,,,0,21
Total,592,570,23,3,21
,Representative In The General Assembly 202nd District,Auditor General,,,22
,Mark B Cohen,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,22
Mark B Cohen,9,625,12,1,22
Eugene A Depasquale,,10,0,0,22
John Maher,,,3,0,22
Betsy Elizabeth Summers,,,,0,22
Total,647,635,15,1,22
