col_1,col_2,col_3,col_4,col_5,col_6,division
,Representative In Congress 1st District,,Auditor General,,,All
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,All
Robert A Brady,168,0,"3,835",367,109,All
John Featherman,,19,57,823,33,All
Eugene A Depasquale,,,32,0,0,All
John Maher,,,,29,0,All
Betsy Elizabeth Summers,,,,,17,All
Total,"4,479",932,"3,924","1,219",159,All
,Representative In Congress 1st District,,Auditor General,,,1
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,1
Robert A Brady,4,0,251,11,12,1
John Featherman,,2,0,19,0,1
Eugene A Depasquale,,,1,0,0,1
John Maher,,,,2,0,1
Betsy Elizabeth Summers,,,,,0,1
Total,278,21,252,32,12,1
,Representative In Congress 1st District,,Auditor General,,,2
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,2
Robert A Brady,1,0,162,14,2,2
John Featherman,,0,1,18,0,2
Eugene A Depasquale,,,2,0,0,2
John Maher,,,,1,0,2
Betsy Elizabeth Summers,,,,,1,2
Total,179,19,165,33,3,2
,Representative In Congress 1st District,,Auditor General,,,3
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,3
Robert A Brady,9,0,176,15,8,3
John Featherman,,0,1,18,2,3
Eugene A Depasquale,,,1,0,0,3
John Maher,,,,0,0,3
Betsy Elizabeth Summers,,,,,2,3
Total,208,21,178,33,12,3
,Representative In Congress 1st District,,Auditor General,,,4
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,4
Robert A Brady,5,0,247,39,7,4
John Featherman,,4,2,87,3,4
Eugene A Depasquale,,,2,0,0,4
John Maher,,,,0,0,4
Betsy Elizabeth Summers,,,,,3,4
Total,298,96,251,126,13,4
,Representative In Congress 1st District,,Auditor General,,,5
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,5
Robert A Brady,11,0,211,21,2,5
John Featherman,,0,4,51,1,5
Eugene A Depasquale,,,3,0,0,5
John Maher,,,,2,0,5
Betsy Elizabeth Summers,,,,,0,5
Total,245,56,218,74,3,5
,Representative In Congress 1st District,,Auditor General,,,6
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,6
Robert A Brady,13,0,154,22,6,6
John Featherman,,0,8,40,1,6
Eugene A Depasquale,,,0,0,0,6
John Maher,,,,2,0,6
Betsy Elizabeth Summers,,,,,1,6
Total,195,49,162,64,8,6
,Representative In Congress 1st District,,Auditor General,,,7
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,7
Robert A Brady,9,0,310,23,8,7
John Featherman,,2,3,86,2,7
Eugene A Depasquale,,,3,0,0,7
John Maher,,,,3,0,7
Betsy Elizabeth Summers,,,,,1,7
Total,350,93,316,112,11,7
,Representative In Congress 1st District,,Auditor General,,,8
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,8
Robert A Brady,10,0,206,5,10,8
John Featherman,,1,2,47,4,8
Eugene A Depasquale,,,1,0,0,8
John Maher,,,,0,0,8
Betsy Elizabeth Summers,,,,,1,8
Total,231,54,209,52,15,8
,Representative In Congress 1st District,,Auditor General,,,9
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,9
Robert A Brady,3,0,225,3,7,9
John Featherman,,1,1,22,0,9
Eugene A Depasquale,,,2,0,0,9
John Maher,,,,0,0,9
Betsy Elizabeth Summers,,,,,0,9
Total,238,24,228,25,7,9
,Representative In Congress 1st District,,Auditor General,,,10
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,10
Robert A Brady,4,0,125,6,6,10
John Featherman,,1,1,22,1,10
Eugene A Depasquale,,,0,0,0,10
John Maher,,,,1,0,10
Betsy Elizabeth Summers,,,,,0,10
Total,141,25,126,29,7,10
,Representative In Congress 1st District,,Auditor General,,,11
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,11
Robert A Brady,3,0,266,18,6,11
John Featherman,,1,2,26,2,11
Eugene A Depasquale,,,1,0,0,11
John Maher,,,,1,0,11
Betsy Elizabeth Summers,,,,,0,11
Total,293,31,269,45,8,11
,Representative In Congress 1st District,,Auditor General,,,12
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,12
Robert A Brady,4,0,184,10,5,12
John Featherman,,2,2,17,0,12
Eugene A Depasquale,,,0,0,0,12
John Maher,,,,0,0,12
Betsy Elizabeth Summers,,,,,0,12
Total,203,21,186,27,5,12
,Representative In Congress 1st District,,Auditor General,,,13
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,13
Robert A Brady,10,0,207,21,6,13
John Featherman,,1,2,50,3,13
Eugene A Depasquale,,,2,0,0,13
John Maher,,,,3,0,13
Betsy Elizabeth Summers,,,,,0,13
Total,244,56,211,74,9,13
,Representative In Congress 1st District,,Auditor General,,,14
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,14
Robert A Brady,10,0,200,32,3,14
John Featherman,,0,3,50,5,14
Eugene A Depasquale,,,1,0,0,14
John Maher,,,,4,0,14
Betsy Elizabeth Summers,,,,,0,14
Total,245,58,204,86,8,14
,Representative In Congress 1st District,,Auditor General,,,15
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,15
Robert A Brady,17,0,213,28,6,15
John Featherman,,1,6,63,2,15
Eugene A Depasquale,,,3,0,0,15
John Maher,,,,1,0,15
Betsy Elizabeth Summers,,,,,3,15
Total,264,72,222,92,11,15
,Representative In Congress 1st District,,Auditor General,,,16
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,16
Robert A Brady,22,0,240,33,5,16
John Featherman,,0,7,65,1,16
Eugene A Depasquale,,,4,0,0,16
John Maher,,,,1,0,16
Betsy Elizabeth Summers,,,,,3,16
Total,300,73,251,99,9,16
,Representative In Congress 1st District,,Auditor General,,,17
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,17
Robert A Brady,10,0,146,23,5,17
John Featherman,,0,3,58,2,17
Eugene A Depasquale,,,2,0,0,17
John Maher,,,,2,0,17
Betsy Elizabeth Summers,,,,,1,17
Total,184,63,151,83,8,17
,Representative In Congress 1st District,,Auditor General,,,18
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,18
Robert A Brady,12,0,127,27,2,18
John Featherman,,1,4,38,4,18
Eugene A Depasquale,,,1,0,0,18
John Maher,,,,2,0,18
Betsy Elizabeth Summers,,,,,1,18
Total,168,47,132,67,7,18
,Representative In Congress 1st District,,Auditor General,,,19
,Robert A Brady,John Featherman,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,19
Robert A Brady,11,0,185,16,3,19
John Featherman,,2,5,46,0,19
Eugene A Depasquale,,,3,0,0,19
John Maher,,,,4,0,19
Betsy Elizabeth Summers,,,,,0,19
Total,215,53,193,66,3,19
