col_1,col_2,col_3,col_4,division
,Auditor General,,,All
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,All
Eugene A Depasquale,"5,886",0,0,All
John Maher,,281,0,All
Betsy Elizabeth Summers,,,19,All
Total,"5,886",281,19,All
,Auditor General,,,1
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,1
Eugene A Depasquale,267,0,0,1
John Maher,,9,0,1
Betsy Elizabeth Summers,,,1,1
Total,267,9,1,1
,Auditor General,,,2
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,2
Eugene A Depasquale,224,0,0,2
John Maher,,7,0,2
Betsy Elizabeth Summers,,,0,2
Total,224,7,0,2
,Auditor General,,,3
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,3
Eugene A Depasquale,171,0,0,3
John Maher,,5,0,3
Betsy Elizabeth Summers,,,2,3
Total,171,5,2,3
,Auditor General,,,4
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,4
Eugene A Depasquale,349,0,0,4
John Maher,,18,0,4
Betsy Elizabeth Summers,,,0,4
Total,349,18,0,4
,Auditor General,,,5
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,5
Eugene A Depasquale,423,0,0,5
John Maher,,24,0,5
Betsy Elizabeth Summers,,,1,5
Total,423,24,1,5
,Auditor General,,,6
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,6
Eugene A Depasquale,276,0,0,6
John Maher,,13,0,6
Betsy Elizabeth Summers,,,1,6
Total,276,13,1,6
,Auditor General,,,7
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,7
Eugene A Depasquale,255,0,0,7
John Maher,,11,0,7
Betsy Elizabeth Summers,,,0,7
Total,255,11,0,7
,Auditor General,,,8
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,8
Eugene A Depasquale,313,0,0,8
John Maher,,13,0,8
Betsy Elizabeth Summers,,,1,8
Total,313,13,1,8
,Auditor General,,,9
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,9
Eugene A Depasquale,200,0,0,9
John Maher,,7,0,9
Betsy Elizabeth Summers,,,0,9
Total,200,7,0,9
,Auditor General,,,10
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,10
Eugene A Depasquale,243,0,0,10
John Maher,,18,0,10
Betsy Elizabeth Summers,,,1,10
Total,243,18,1,10
,Auditor General,,,11
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,11
Eugene A Depasquale,284,0,0,11
John Maher,,9,0,11
Betsy Elizabeth Summers,,,0,11
Total,284,9,0,11
,Auditor General,,,12
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,12
Eugene A Depasquale,341,0,0,12
John Maher,,20,0,12
Betsy Elizabeth Summers,,,1,12
Total,341,20,1,12
,Auditor General,,,13
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,13
Eugene A Depasquale,210,0,0,13
John Maher,,7,0,13
Betsy Elizabeth Summers,,,2,13
Total,210,7,2,13
,Auditor General,,,14
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,14
Eugene A Depasquale,296,0,0,14
John Maher,,15,0,14
Betsy Elizabeth Summers,,,2,14
Total,296,15,2,14
,Auditor General,,,15
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,15
Eugene A Depasquale,177,0,0,15
John Maher,,9,0,15
Betsy Elizabeth Summers,,,0,15
Total,177,9,0,15
,Auditor General,,,16
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,16
Eugene A Depasquale,231,0,0,16
John Maher,,9,0,16
Betsy Elizabeth Summers,,,0,16
Total,231,9,0,16
,Auditor General,,,17
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,17
Eugene A Depasquale,258,0,0,17
John Maher,,15,0,17
Betsy Elizabeth Summers,,,0,17
Total,258,15,0,17
,Auditor General,,,18
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,18
Eugene A Depasquale,256,0,0,18
John Maher,,15,0,18
Betsy Elizabeth Summers,,,0,18
Total,256,15,0,18
,Auditor General,,,19
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,19
Eugene A Depasquale,215,0,0,19
John Maher,,16,0,19
Betsy Elizabeth Summers,,,0,19
Total,215,16,0,19
,Auditor General,,,20
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,20
Eugene A Depasquale,203,0,0,20
John Maher,,16,0,20
Betsy Elizabeth Summers,,,1,20
Total,203,16,1,20
,Auditor General,,,21
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,21
Eugene A Depasquale,291,0,0,21
John Maher,,9,0,21
Betsy Elizabeth Summers,,,2,21
Total,291,9,2,21
,Auditor General,,,22
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,22
Eugene A Depasquale,240,0,0,22
John Maher,,10,0,22
Betsy Elizabeth Summers,,,2,22
Total,240,10,2,22
,Auditor General,,,23
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,23
Eugene A Depasquale,163,0,0,23
John Maher,,6,0,23
Betsy Elizabeth Summers,,,2,23
Total,163,6,2,23
