col_1,col_2,col_3,col_4,col_5,col_6,division
,President And Vice President Of The United States,,,,Representative In The General Assembly 202nd District,All
,Barack Obama,Mitt Romney,Jill Stein,Gary Johnson,Mark B Cohen,All
Barack Obama,32,0,0,0,373,All
Mitt Romney,,23,0,0,9,All
Jill Stein,,,1,0,1,All
Gary Johnson,,,,0,0,All
Mark B Cohen,,,,,3,All
Total,405,32,2,0,386,All
,President And Vice President Of The United States,,,,Representative In The General Assembly 202nd District,18
,Barack Obama,Mitt Romney,Jill Stein,Gary Johnson,Mark B Cohen,18
Barack Obama,32,0,0,0,373,18
Mitt Romney,,23,0,0,9,18
Jill Stein,,,1,0,1,18
Gary Johnson,,,,0,0,18
Mark B Cohen,,,,,3,18
Total,405,32,2,0,386,18
