col_1,col_2,col_3,col_4,col_5,division
,Representative In The General Assembly 180th District,Auditor General,,,All
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,All
Angel L Cruz,72,"2,369",64,8,All
Eugene A Depasquale,,84,0,0,All
John Maher,,,110,0,All
Betsy Elizabeth Summers,,,,6,All
Total,"2,513","2,453",174,14,All
,Representative In The General Assembly 180th District,Auditor General,,,14
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,14
Angel L Cruz,18,233,11,2,14
Eugene A Depasquale,,12,0,0,14
John Maher,,,20,0,14
Betsy Elizabeth Summers,,,,0,14
Total,264,245,31,2,14
,Representative In The General Assembly 180th District,Auditor General,,,15
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,15
Angel L Cruz,5,236,6,0,15
Eugene A Depasquale,,5,0,0,15
John Maher,,,10,0,15
Betsy Elizabeth Summers,,,,1,15
Total,247,241,16,1,15
,Representative In The General Assembly 180th District,Auditor General,,,16
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,16
Angel L Cruz,12,191,10,2,16
Eugene A Depasquale,,5,0,0,16
John Maher,,,18,0,16
Betsy Elizabeth Summers,,,,0,16
Total,215,196,28,2,16
,Auditor General,,,Representative In The General Assembly 180th District,17
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,Angel L Cruz,17
Eugene A Depasquale,9,0,0,124,17
John Maher,,6,0,1,17
Betsy Elizabeth Summers,,,1,0,17
Angel L Cruz,,,,4,17
Total,133,7,1,129,17
,Representative In The General Assembly 180th District,Auditor General,,,18
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,18
Angel L Cruz,3,177,5,0,18
Eugene A Depasquale,,5,0,0,18
John Maher,,,5,0,18
Betsy Elizabeth Summers,,,,0,18
Total,185,182,10,0,18
,Representative In The General Assembly 180th District,Auditor General,,,19
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,19
Angel L Cruz,4,255,5,1,19
Eugene A Depasquale,,10,0,0,19
John Maher,,,12,0,19
Betsy Elizabeth Summers,,,,1,19
Total,265,265,17,2,19
,Auditor General,,,Representative In The General Assembly 180th District,20
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,Angel L Cruz,20
Eugene A Depasquale,13,0,0,197,20
John Maher,,5,0,4,20
Betsy Elizabeth Summers,,,0,2,20
Angel L Cruz,,,,5,20
Total,210,9,2,208,20
,Representative In The General Assembly 180th District,Auditor General,,,21
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,21
Angel L Cruz,6,155,4,1,21
Eugene A Depasquale,,8,0,0,21
John Maher,,,3,0,21
Betsy Elizabeth Summers,,,,0,21
Total,166,163,7,1,21
,Representative In The General Assembly 180th District,Auditor General,,,22
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,22
Angel L Cruz,6,356,6,0,22
Eugene A Depasquale,,7,0,0,22
John Maher,,,6,0,22
Betsy Elizabeth Summers,,,,1,22
Total,368,363,12,1,22
,Representative In The General Assembly 180th District,Auditor General,,,23
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,23
Angel L Cruz,7,199,7,0,23
Eugene A Depasquale,,6,0,0,23
John Maher,,,11,0,23
Betsy Elizabeth Summers,,,,0,23
Total,213,205,18,0,23
,Representative In The General Assembly 180th District,Auditor General,,,24
,Angel L Cruz,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,24
Angel L Cruz,2,246,5,0,24
Eugene A Depasquale,,4,0,0,24
John Maher,,,14,0,24
Betsy Elizabeth Summers,,,,2,24
Total,253,250,19,2,24
