col_1,col_2,col_3,col_4,col_5,col_6,division
,Representative In The General Assembly 172nd District,,United States Senator,,,All
,Kevin J Boyle,Al Taubenberger,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,All
Kevin J Boyle,143,0,"3,128",729,22,All
Al Taubenberger,,69,357,"2,011",10,All
Bob Casey Jr,,,59,0,0,All
Tom Smith,,,,61,0,All
Rayburn Douglas Smith,,,,,5,All
Total,"4,022","2,447","3,544","2,801",37,All
,Representative In The General Assembly 172nd District,,United States Senator,,,1
,Kevin J Boyle,Al Taubenberger,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,1
Kevin J Boyle,12,0,183,58,2,1
Al Taubenberger,,7,32,129,1,1
Bob Casey Jr,,,1,0,0,1
Tom Smith,,,,4,0,1
Rayburn Douglas Smith,,,,,0,1
Total,255,169,216,191,3,1
,Representative In The General Assembly 172nd District,,United States Senator,,,3
,Kevin J Boyle,Al Taubenberger,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,3
Kevin J Boyle,10,0,270,86,2,3
Al Taubenberger,,2,19,172,1,3
Bob Casey Jr,,,5,0,0,3
Tom Smith,,,,4,0,3
Rayburn Douglas Smith,,,,,1,3
Total,368,194,294,262,4,3
,Representative In The General Assembly 172nd District,,United States Senator,,,4
,Kevin J Boyle,Al Taubenberger,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,4
Kevin J Boyle,19,0,224,49,2,4
Al Taubenberger,,8,32,134,1,4
Bob Casey Jr,,,3,0,0,4
Tom Smith,,,,5,0,4
Rayburn Douglas Smith,,,,,0,4
Total,294,175,259,188,3,4
,Representative In The General Assembly 172nd District,,United States Senator,,,5
,Kevin J Boyle,Al Taubenberger,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,5
Kevin J Boyle,11,0,204,42,2,5
Al Taubenberger,,4,21,92,0,5
Bob Casey Jr,,,4,0,0,5
Tom Smith,,,,6,0,5
Rayburn Douglas Smith,,,,,0,5
Total,259,117,229,140,2,5
,Representative In The General Assembly 172nd District,,United States Senator,,,9
,Kevin J Boyle,Al Taubenberger,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,9
Kevin J Boyle,11,0,197,46,0,9
Al Taubenberger,,10,23,114,1,9
Bob Casey Jr,,,4,0,0,9
Tom Smith,,,,3,0,9
Rayburn Douglas Smith,,,,,0,9
Total,254,148,224,163,1,9
,Representative In The General Assembly 172nd District,,United States Senator,,,10
,Kevin J Boyle,Al Taubenberger,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,10
Kevin J Boyle,6,0,232,49,3,10
Al Taubenberger,,4,23,165,0,10
Bob Casey Jr,,,2,0,0,10
Tom Smith,,,,6,0,10
