col_1,col_2,col_3,col_4,division
,Attorney General,,,All
,Kathleen G Kane,David J Freed,Marakay J Rogers,All
Kathleen G Kane,"5,261",0,0,All
David J Freed,,758,0,All
Marakay J Rogers,,,110,All
Total,"5,261",758,110,All
,Attorney General,,,1
,Kathleen G Kane,David J Freed,Marakay J Rogers,1
Kathleen G Kane,472,0,0,1
David J Freed,,62,0,1
Marakay J Rogers,,,9,1
Total,472,62,9,1
,Attorney General,,,2
,Kathleen G Kane,David J Freed,Marakay J Rogers,2
Kathleen G Kane,458,0,0,2
David J Freed,,71,0,2
Marakay J Rogers,,,23,2
Total,458,71,23,2
,Attorney General,,,3
,Kathleen G Kane,David J Freed,Marakay J Rogers,3
Kathleen G Kane,197,0,0,3
David J Freed,,11,0,3
Marakay J Rogers,,,0,3
Total,197,11,0,3
,Attorney General,,,4
,Kathleen G Kane,David J Freed,Marakay J Rogers,4
Kathleen G Kane,290,0,0,4
David J Freed,,53,0,4
Marakay J Rogers,,,1,4
Total,290,53,1,4
,Attorney General,,,5
,Kathleen G Kane,David J Freed,Marakay J Rogers,5
Kathleen G Kane,292,0,0,5
David J Freed,,75,0,5
Marakay J Rogers,,,7,5
Total,292,75,7,5
,Attorney General,,,6
,Kathleen G Kane,David J Freed,Marakay J Rogers,6
Kathleen G Kane,283,0,0,6
David J Freed,,58,0,6
Marakay J Rogers,,,6,6
Total,283,58,6,6
,Attorney General,,,7
,Kathleen G Kane,David J Freed,Marakay J Rogers,7
Kathleen G Kane,289,0,0,7
David J Freed,,72,0,7
Marakay J Rogers,,,13,7
Total,289,72,13,7
,Attorney General,,,8
,Kathleen G Kane,David J Freed,Marakay J Rogers,8
Kathleen G Kane,174,0,0,8
David J Freed,,10,0,8
Marakay J Rogers,,,1,8
Total,174,10,1,8
,Attorney General,,,9
,Kathleen G Kane,David J Freed,Marakay J Rogers,9
Kathleen G Kane,401,0,0,9
David J Freed,,30,0,9
Marakay J Rogers,,,9,9
Total,401,30,9,9
,Attorney General,,,10
,Kathleen G Kane,David J Freed,Marakay J Rogers,10
Kathleen G Kane,176,0,0,10
David J Freed,,36,0,10
Marakay J Rogers,,,4,10
Total,176,36,4,10
,Attorney General,,,11
,Kathleen G Kane,David J Freed,Marakay J Rogers,11
Kathleen G Kane,323,0,0,11
David J Freed,,100,0,11
Marakay J Rogers,,,4,11
Total,323,100,4,11
,Attorney General,,,12
,Kathleen G Kane,David J Freed,Marakay J Rogers,12
Kathleen G Kane,324,0,0,12
David J Freed,,76,0,12
Marakay J Rogers,,,10,12
Total,324,76,10,12
,Attorney General,,,13
,Kathleen G Kane,David J Freed,Marakay J Rogers,13
Kathleen G Kane,227,0,0,13
David J Freed,,11,0,13
Marakay J Rogers,,,2,13
Total,227,11,2,13
,Attorney General,,,14
,Kathleen G Kane,David J Freed,Marakay J Rogers,14
Kathleen G Kane,322,0,0,14
David J Freed,,21,0,14
Marakay J Rogers,,,3,14
Total,322,21,3,14
,Attorney General,,,15
,Kathleen G Kane,David J Freed,Marakay J Rogers,15
Kathleen G Kane,270,0,0,15
David J Freed,,6,0,15
Marakay J Rogers,,,3,15
Total,270,6,3,15
,Attorney General,,,16
,Kathleen G Kane,David J Freed,Marakay J Rogers,16
Kathleen G Kane,315,0,0,16
David J Freed,,41,0,16
Marakay J Rogers,,,8,16
Total,315,41,8,16
,Attorney General,,,17
,Kathleen G Kane,David J Freed,Marakay J Rogers,17
Kathleen G Kane,448,0,0,17
David J Freed,,25,0,17
Marakay J Rogers,,,7,17
Total,448,25,7,17
