col_1,col_2,col_3,col_4,col_5,division
,Representative In Congress 1st District,,Senator In The General Assembly 1st District,,All
,Robert A Brady,John Featherman,Lawrence M Farnese Jr,Alfonso Gambone Jr,All
Robert A Brady,28,0,"1,447",10,All
John Featherman,,1,6,35,All
Lawrence M Farnese Jr,,,5,0,All
Alfonso Gambone Jr,,,,0,All
Total,"1,485",42,"1,458",45,All
,Representative In Congress 1st District,,Senator In The General Assembly 1st District,,30
,Robert A Brady,John Featherman,Lawrence M Farnese Jr,Alfonso Gambone Jr,30
Robert A Brady,5,0,399,4,30
John Featherman,,0,4,7,30
Lawrence M Farnese Jr,,,1,0,30
Alfonso Gambone Jr,,,,0,30
Total,408,11,404,11,30
,Representative In Congress 1st District,,Senator In The General Assembly 1st District,,38
,Robert A Brady,John Featherman,Lawrence M Farnese Jr,Alfonso Gambone Jr,38
Robert A Brady,16,0,528,4,38
John Featherman,,1,1,9,38
Lawrence M Farnese Jr,,,0,0,38
Alfonso Gambone Jr,,,,0,38
Total,548,11,529,13,38
,Representative In Congress 1st District,,Senator In The General Assembly 1st District,,40
,Robert A Brady,John Featherman,Lawrence M Farnese Jr,Alfonso Gambone Jr,40
Robert A Brady,7,0,520,2,40
John Featherman,,0,1,19,40
Lawrence M Farnese Jr,,,4,0,40
Alfonso Gambone Jr,,,,0,40
Total,529,20,525,21,40
