col_1,col_2,col_3,division
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,All
,Al Taubenberger,Diana Irey Vaughan,All
Al Taubenberger,131,407,All
Diana Irey Vaughan,,30,All
Total,538,437,All
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,6
,Al Taubenberger,Diana Irey Vaughan,6
Al Taubenberger,8,25,6
Diana Irey Vaughan,,1,6
Total,33,26,6
,State Treasurer - Republican,Representative In The General Assembly 172nd District - Republican,7
,Diana Irey Vaughan,Al Taubenberger,7
Diana Irey Vaughan,3,21,7
Al Taubenberger,,2,7
Total,24,23,7
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,8
,Al Taubenberger,Diana Irey Vaughan,8
Al Taubenberger,8,18,8
Diana Irey Vaughan,,1,8
Total,26,19,8
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,9
,Al Taubenberger,Diana Irey Vaughan,9
Al Taubenberger,5,14,9
Diana Irey Vaughan,,1,9
Total,19,15,9
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,11
,Al Taubenberger,Diana Irey Vaughan,11
Al Taubenberger,6,26,11
Diana Irey Vaughan,,2,11
Total,32,28,11
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,12
,Al Taubenberger,Diana Irey Vaughan,12
Al Taubenberger,10,31,12
Diana Irey Vaughan,,2,12
Total,41,33,12
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,13
,Al Taubenberger,Diana Irey Vaughan,13
Al Taubenberger,5,16,13
Diana Irey Vaughan,,0,13
Total,21,16,13
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,14
,Al Taubenberger,Diana Irey Vaughan,14
Al Taubenberger,7,10,14
Diana Irey Vaughan,,1,14
Total,17,11,14
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,15
,Al Taubenberger,Diana Irey Vaughan,15
Al Taubenberger,4,21,15
Diana Irey Vaughan,,0,15
Total,25,21,15
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,16
,Al Taubenberger,Diana Irey Vaughan,16
Al Taubenberger,5,14,16
Diana Irey Vaughan,,1,16
Total,19,15,16
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,17
,Al Taubenberger,Diana Irey Vaughan,17
Al Taubenberger,5,19,17
Diana Irey Vaughan,,1,17
Total,24,20,17
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,18
,Al Taubenberger,Diana Irey Vaughan,18
Al Taubenberger,10,11,18
Diana Irey Vaughan,,0,18
Total,21,11,18
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,19
,Al Taubenberger,Diana Irey Vaughan,19
Al Taubenberger,6,30,19
Diana Irey Vaughan,,4,19
Total,36,34,19
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,20
,Al Taubenberger,Diana Irey Vaughan,20
Al Taubenberger,5,30,20
Diana Irey Vaughan,,1,20
Total,35,31,20
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,21
,Al Taubenberger,Diana Irey Vaughan,21
Al Taubenberger,6,14,21
Diana Irey Vaughan,,0,21
Total,20,14,21
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,22
,Al Taubenberger,Diana Irey Vaughan,22
Al Taubenberger,5,16,22
Diana Irey Vaughan,,2,22
Total,21,18,22
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,23
,Al Taubenberger,Diana Irey Vaughan,23
Al Taubenberger,4,7,23
Diana Irey Vaughan,,1,23
Total,11,8,23
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,24
,Al Taubenberger,Diana Irey Vaughan,24
Al Taubenberger,13,26,24
Diana Irey Vaughan,,0,24
Total,39,26,24
,State Treasurer - Republican,Representative In The General Assembly 172nd District - Republican,25
,Diana Irey Vaughan,Al Taubenberger,25
Diana Irey Vaughan,2,15,25
Al Taubenberger,,1,25
Total,17,16,25
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,26
,Al Taubenberger,Diana Irey Vaughan,26
Al Taubenberger,6,16,26
Diana Irey Vaughan,,1,26
Total,22,17,26
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,27
,Al Taubenberger,Diana Irey Vaughan,27
Al Taubenberger,6,13,27
Diana Irey Vaughan,,4,27
Total,19,17,27
,Representative In The General Assembly 172nd District - Republican,State Treasurer - Republican,29
,Al Taubenberger,Diana Irey Vaughan,29
Al Taubenberger,4,14,29
Diana Irey Vaughan,,2,29
Total,18,16,29
