col_1,col_2,division
,State Treasurer - Democrat,All
,Robert M Mccord,All
Robert M Mccord,"2,260",All
Total,"2,260",All
,State Treasurer - Democrat,1
,Robert M Mccord,1
Robert M Mccord,40,1
Total,40,1
,State Treasurer - Democrat,2
,Robert M Mccord,2
Robert M Mccord,80,2
Total,80,2
,State Treasurer - Democrat,3
,Robert M Mccord,3
Robert M Mccord,79,3
Total,79,3
,State Treasurer - Democrat,4
,Robert M Mccord,4
Robert M Mccord,127,4
Total,127,4
,State Treasurer - Democrat,5
,Robert M Mccord,5
Robert M Mccord,123,5
Total,123,5
,State Treasurer - Democrat,6
,Robert M Mccord,6
Robert M Mccord,94,6
Total,94,6
,State Treasurer - Democrat,7
,Robert M Mccord,7
Robert M Mccord,55,7
Total,55,7
,State Treasurer - Democrat,8
,Robert M Mccord,8
Robert M Mccord,90,8
Total,90,8
,State Treasurer - Democrat,9
,Robert M Mccord,9
Robert M Mccord,102,9
Total,102,9
,State Treasurer - Democrat,10
,Robert M Mccord,10
Robert M Mccord,99,10
Total,99,10
,State Treasurer - Democrat,11
,Robert M Mccord,11
Robert M Mccord,64,11
Total,64,11
,State Treasurer - Democrat,12
,Robert M Mccord,12
Robert M Mccord,53,12
Total,53,12
,State Treasurer - Democrat,13
,Robert M Mccord,13
Robert M Mccord,102,13
Total,102,13
,State Treasurer - Democrat,14
,Robert M Mccord,14
Robert M Mccord,143,14
Total,143,14
,State Treasurer - Democrat,15
,Robert M Mccord,15
Robert M Mccord,78,15
Total,78,15
,State Treasurer - Democrat,16
,Robert M Mccord,16
Robert M Mccord,91,16
Total,91,16
,State Treasurer - Democrat,17
,Robert M Mccord,17
Robert M Mccord,106,17
Total,106,17
,State Treasurer - Democrat,18
,Robert M Mccord,18
Robert M Mccord,150,18
Total,150,18
,State Treasurer - Democrat,20
,Robert M Mccord,20
Robert M Mccord,99,20
Total,99,20
,State Treasurer - Democrat,21
,Robert M Mccord,21
Robert M Mccord,89,21
Total,89,21
,State Treasurer - Democrat,22
,Robert M Mccord,22
Robert M Mccord,128,22
Total,128,22
,State Treasurer - Democrat,23
,Robert M Mccord,23
Robert M Mccord,61,23
Total,61,23
,State Treasurer - Democrat,24
,Robert M Mccord,24
Robert M Mccord,46,24
Total,46,24
,State Treasurer - Democrat,25
,Robert M Mccord,25
Robert M Mccord,61,25
Total,61,25
,State Treasurer - Democrat,19
,Robert M Mccord,19
Robert M Mccord,100,19
Total,100,19
