col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 197th District - Democrat,,,,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Joseph C Meade,Stephen A Cozen,Andrew P Toy,Michelle W Singer,Jerry T Jordan,Raye E Johnson,William S Leopold,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,All
Kenyatta J Johnson,5,333,343,324,316,218,209,213,206,204,199,197,197,189,187,188,186,229,94,76,14,0,All
Blondell Reynolds Brown,,1,314,306,299,209,202,203,198,197,188,191,189,187,180,184,180,187,82,60,14,0,All
Cindy Bass,,,0,318,307,202,197,200,198,195,190,187,192,186,183,185,181,197,75,61,11,0,All
Jacquelyn Manns Smalley,,,,0,301,195,190,194,193,192,184,185,186,182,180,180,178,183,72,55,10,0,All
Mark Alan Aronchick,,,,,0,183,180,186,191,185,177,179,180,176,174,177,171,191,62,57,9,0,All
Vincent J Hughes,,,,,,0,202,205,200,198,186,191,188,185,179,182,176,104,75,34,14,0,All
Jerome W Mondesire,,,,,,,0,202,195,191,182,186,185,181,177,181,176,97,70,33,14,0,All
Joseph C Meade,,,,,,,,0,203,198,186,190,191,187,184,187,184,99,68,35,13,0,All
Stephen A Cozen,,,,,,,,,0,199,182,185,188,185,179,183,180,99,65,34,12,0,All
Andrew P Toy,,,,,,,,,,0,183,183,186,182,182,183,176,97,66,32,11,0,All
Michelle W Singer,,,,,,,,,,,0,183,185,180,183,182,182,91,63,36,11,0,All
Jerry T Jordan,,,,,,,,,,,,0,188,187,182,184,177,97,58,31,11,0,All
Raye E Johnson,,,,,,,,,,,,,0,187,184,186,180,94,58,30,11,0,All
William S Leopold,,,,,,,,,,,,,,0,178,185,178,90,57,29,11,0,All
Eleanor M Dezzi,,,,,,,,,,,,,,,0,181,176,91,55,30,10,0,All
Heather Steinmiller,,,,,,,,,,,,,,,,0,180,90,56,28,10,0,All
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,84,60,29,11,0,All
J P Miranda,,,,,,,,,,,,,,,,,,129,0,0,0,0,All
Jewel Williams,,,,,,,,,,,,,,,,,,,46,0,0,0,All
Kenneth T Walker Jr,,,,,,,,,,,,,,,,,,,,44,0,0,All
Jamil M Ali,,,,,,,,,,,,,,,,,,,,,6,0,All
James K Johnson,,,,,,,,,,,,,,,,,,,,,,0,All
Total,430,356,356,330,327,234,223,222,218,213,208,205,201,194,193,191,191,378,157,130,21,0,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 197th District - Democrat,,,,,2
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Jerry T Jordan,Raye E Johnson,Vincent J Hughes,Andrew P Toy,Eleanor M Dezzi,Joseph C Meade,Michelle W Singer,Stephen A Cozen,Heather Steinmiller,William S Leopold,Jerome W Mondesire,Nancy Astor Fox,J P Miranda,Kenneth T Walker Jr,Jewel Williams,Jamil M Ali,James K Johnson,2
Kenyatta J Johnson,1,33,31,30,30,23,24,23,22,22,22,21,21,21,20,19,20,23,9,3,3,0,2
Blondell Reynolds Brown,,0,29,29,30,23,23,22,22,21,21,20,21,21,21,17,20,21,7,4,3,0,2
Cindy Bass,,,0,29,27,21,21,19,19,19,18,18,19,19,19,16,17,20,7,3,0,0,2
Jacquelyn Manns Smalley,,,,0,27,21,21,19,19,20,18,20,19,19,19,16,18,18,7,4,1,0,2
Mark Alan Aronchick,,,,,0,19,20,18,19,19,18,18,20,20,18,15,18,19,8,2,1,0,2
Jerry T Jordan,,,,,,0,23,21,21,21,20,19,20,20,21,17,19,16,3,3,2,0,2
Raye E Johnson,,,,,,,0,22,22,22,21,20,21,21,20,17,20,15,3,3,2,0,2
Vincent J Hughes,,,,,,,,0,21,20,22,20,20,19,19,16,19,15,3,3,3,0,2
Andrew P Toy,,,,,,,,,0,20,20,18,21,20,19,15,19,15,2,3,2,0,2
Eleanor M Dezzi,,,,,,,,,,0,20,20,20,20,18,16,19,14,3,3,2,0,2
Joseph C Meade,,,,,,,,,,,0,20,20,19,18,17,19,14,3,2,3,0,2
Michelle W Singer,,,,,,,,,,,,0,19,19,18,16,19,13,3,4,2,0,2
Stephen A Cozen,,,,,,,,,,,,,0,21,19,15,19,15,3,2,1,0,2
Heather Steinmiller,,,,,,,,,,,,,,0,19,15,19,14,3,2,1,0,2
