col_1,col_2,col_3,division
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,All
,Chaka Fattah,Eugene A Depasquale,All
Chaka Fattah,604,"2,007",All
Eugene A Depasquale,,191,All
Total,"2,611","2,198",All
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,1
,Eugene A Depasquale,Chaka Fattah,1
Eugene A Depasquale,4,28,1
Chaka Fattah,,1,1
Total,32,29,1
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,2
,Eugene A Depasquale,Chaka Fattah,2
Eugene A Depasquale,6,35,2
Chaka Fattah,,5,2
Total,41,40,2
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,3
,Chaka Fattah,Eugene A Depasquale,3
Chaka Fattah,13,65,3
Eugene A Depasquale,,0,3
Total,78,65,3
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,4
,Chaka Fattah,Eugene A Depasquale,4
Chaka Fattah,8,12,4
Eugene A Depasquale,,2,4
Total,20,14,4
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,5
,Chaka Fattah,Eugene A Depasquale,5
Chaka Fattah,26,60,5
Eugene A Depasquale,,5,5
Total,86,65,5
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,6
,Chaka Fattah,Eugene A Depasquale,6
Chaka Fattah,7,17,6
Eugene A Depasquale,,2,6
Total,24,19,6
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,7
,Chaka Fattah,Eugene A Depasquale,7
Chaka Fattah,9,19,7
Eugene A Depasquale,,1,7
Total,28,20,7
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,8
,Chaka Fattah,Eugene A Depasquale,8
Chaka Fattah,9,19,8
Eugene A Depasquale,,4,8
Total,28,23,8
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,9
,Chaka Fattah,Eugene A Depasquale,9
Chaka Fattah,8,32,9
Eugene A Depasquale,,6,9
Total,40,38,9
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,10
,Eugene A Depasquale,Chaka Fattah,10
Eugene A Depasquale,5,24,10
Chaka Fattah,,4,10
Total,29,28,10
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,11
,Chaka Fattah,Eugene A Depasquale,11
Chaka Fattah,14,40,11
Eugene A Depasquale,,5,11
Total,54,45,11
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,12
,Chaka Fattah,Eugene A Depasquale,12
Chaka Fattah,4,29,12
Eugene A Depasquale,,1,12
Total,33,30,12
,Representative In Congress 2nd District - Democrat,Auditor General - Democrat,13
,Chaka Fattah,Eugene A Depasquale,13
Chaka Fattah,9,26,13
