col_1,col_2,col_3,col_4,col_5,division
,President Of The United States - Republican,,,,All
,Mitt Romney,Rick Santorum,Ron Paul,Newt Gingrich,All
Mitt Romney,5,0,0,0,All
Rick Santorum,,5,0,0,All
Ron Paul,,,4,0,All
Newt Gingrich,,,,3,All
Total,5,5,4,3,All
,President Of The United States - Republican,,,,2
,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,2
Mitt Romney,1,0,0,0,2
Newt Gingrich,,1,0,0,2
Rick Santorum,,,0,0,2
Ron Paul,,,,0,2
Total,1,1,0,0,2
,President Of The United States - Republican,,,,3
,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,3
Mitt Romney,1,0,0,0,3
Newt Gingrich,,0,0,0,3
Rick Santorum,,,0,0,3
Ron Paul,,,,0,3
Total,1,0,0,0,3
,President Of The United States - Republican,,,,9
,Ron Paul,Mitt Romney,Newt Gingrich,Rick Santorum,9
Ron Paul,1,0,0,0,9
Mitt Romney,,0,0,0,9
Newt Gingrich,,,0,0,9
Rick Santorum,,,,0,9
Total,1,0,0,0,9
,President Of The United States - Republican,,,,12
,Mitt Romney,Newt Gingrich,Ron Paul,Rick Santorum,12
Mitt Romney,1,0,0,0,12
Newt Gingrich,,1,0,0,12
Ron Paul,,,1,0,12
Rick Santorum,,,,0,12
Total,1,1,1,0,12
,President Of The United States - Republican,,,,14
,Mitt Romney,Ron Paul,Newt Gingrich,Rick Santorum,14
Mitt Romney,1,0,0,0,14
Ron Paul,,1,0,0,14
Newt Gingrich,,,0,0,14
Rick Santorum,,,,0,14
Total,1,1,0,0,14
,President Of The United States - Republican,,,,16
,Rick Santorum,Mitt Romney,Newt Gingrich,Ron Paul,16
Rick Santorum,2,0,0,0,16
Mitt Romney,,1,0,0,16
Newt Gingrich,,,0,0,16
Ron Paul,,,,0,16
Total,2,1,0,0,16
,President Of The United States - Republican,,,,18
,Rick Santorum,Newt Gingrich,Ron Paul,Mitt Romney,18
Rick Santorum,3,0,0,0,18
Newt Gingrich,,1,0,0,18
Ron Paul,,,1,0,18
Mitt Romney,,,,0,18
Total,3,1,1,0,18
