col_1,col_2,division
,Senator In The General Assembly 5th District - Republican,All
,Michael J Tomlinson,All
Michael J Tomlinson,466,All
Total,466,All
,Senator In The General Assembly 5th District - Republican,1
,Michael J Tomlinson,1
Michael J Tomlinson,38,1
Total,38,1
,Senator In The General Assembly 5th District - Republican,2
,Michael J Tomlinson,2
Michael J Tomlinson,9,2
Total,9,2
,Senator In The General Assembly 5th District - Republican,3
,Michael J Tomlinson,3
Michael J Tomlinson,54,3
Total,54,3
,Senator In The General Assembly 5th District - Republican,4
,Michael J Tomlinson,4
Michael J Tomlinson,41,4
Total,41,4
,Senator In The General Assembly 5th District - Republican,5
,Michael J Tomlinson,5
Michael J Tomlinson,23,5
Total,23,5
,Senator In The General Assembly 5th District - Republican,6
,Michael J Tomlinson,6
Michael J Tomlinson,15,6
Total,15,6
,Senator In The General Assembly 5th District - Republican,7
,Michael J Tomlinson,7
Michael J Tomlinson,15,7
Total,15,7
,Senator In The General Assembly 5th District - Republican,8
,Michael J Tomlinson,8
Michael J Tomlinson,7,8
Total,7,8
,Senator In The General Assembly 5th District - Republican,9
,Michael J Tomlinson,9
Michael J Tomlinson,4,9
Total,4,9
,Senator In The General Assembly 5th District - Republican,10
,Michael J Tomlinson,10
Michael J Tomlinson,8,10
Total,8,10
,Senator In The General Assembly 5th District - Republican,11
,Michael J Tomlinson,11
Michael J Tomlinson,5,11
Total,5,11
,Senator In The General Assembly 5th District - Republican,12
,Michael J Tomlinson,12
Michael J Tomlinson,12,12
Total,12,12
,Senator In The General Assembly 5th District - Republican,13
,Michael J Tomlinson,13
Michael J Tomlinson,6,13
Total,6,13
,Senator In The General Assembly 5th District - Republican,14
,Michael J Tomlinson,14
Michael J Tomlinson,6,14
Total,6,14
,Senator In The General Assembly 5th District - Republican,15
,Michael J Tomlinson,15
Michael J Tomlinson,18,15
Total,18,15
,Senator In The General Assembly 5th District - Republican,16
,Michael J Tomlinson,16
Michael J Tomlinson,8,16
Total,8,16
,Senator In The General Assembly 5th District - Republican,17
,Michael J Tomlinson,17
Michael J Tomlinson,7,17
Total,7,17
,Senator In The General Assembly 5th District - Republican,18
,Michael J Tomlinson,18
Michael J Tomlinson,3,18
Total,3,18
,Senator In The General Assembly 5th District - Republican,19
,Michael J Tomlinson,19
Michael J Tomlinson,5,19
Total,5,19
,Senator In The General Assembly 5th District - Republican,20
,Michael J Tomlinson,20
Michael J Tomlinson,41,20
Total,41,20
,Senator In The General Assembly 5th District - Republican,21
,Michael J Tomlinson,21
Michael J Tomlinson,9,21
Total,9,21
,Senator In The General Assembly 5th District - Republican,22
,Michael J Tomlinson,22
Michael J Tomlinson,29,22
Total,29,22
,Senator In The General Assembly 5th District - Republican,23
,Michael J Tomlinson,23
Michael J Tomlinson,26,23
Total,26,23
,Senator In The General Assembly 5th District - Republican,24
,Michael J Tomlinson,24
Michael J Tomlinson,60,24
Total,60,24
,Senator In The General Assembly 5th District - Republican,25
,Michael J Tomlinson,25
Michael J Tomlinson,17,25
Total,17,25
