col_1,col_2,col_3,col_4,division
,Representative In Congress 2nd District - Democrat,Representative In The General Assembly 202nd District - Democrat,,All
,Chaka Fattah,Mark B Cohen,Numa F St Louis,All
Chaka Fattah,14,418,396,All
Mark B Cohen,,37,0,All
Numa F St Louis,,,53,All
Total,828,455,449,All
,Representative In Congress 2nd District - Democrat,Representative In The General Assembly 202nd District - Democrat,,2
,Chaka Fattah,Numa F St Louis,Mark B Cohen,2
Chaka Fattah,2,96,86,2
Numa F St Louis,,8,0,2
Mark B Cohen,,,8,2
Total,184,104,94,2
,Representative In Congress 2nd District - Democrat,Representative In The General Assembly 202nd District - Democrat,,7
,Chaka Fattah,Numa F St Louis,Mark B Cohen,7
Chaka Fattah,3,76,68,7
Numa F St Louis,,13,0,7
Mark B Cohen,,,6,7
Total,147,89,74,7
,Representative In Congress 2nd District - Democrat,Representative In The General Assembly 202nd District - Democrat,,16
,Chaka Fattah,Numa F St Louis,Mark B Cohen,16
Chaka Fattah,0,71,63,16
Numa F St Louis,,12,0,16
Mark B Cohen,,,8,16
Total,134,83,71,16
,Representative In Congress 2nd District - Democrat,Representative In The General Assembly 202nd District - Democrat,,21
,Chaka Fattah,Numa F St Louis,Mark B Cohen,21
Chaka Fattah,5,103,82,21
Numa F St Louis,,11,0,21
Mark B Cohen,,,7,21
Total,190,114,89,21
,Representative In Congress 2nd District - Democrat,Representative In The General Assembly 202nd District - Democrat,,22
,Chaka Fattah,Mark B Cohen,Numa F St Louis,22
Chaka Fattah,4,119,50,22
Mark B Cohen,,8,0,22
Numa F St Louis,,,9,22
Total,173,127,59,22
