col_1,col_2,division
,Representative In Congress 1st District - Democrat,All
,Robert A Brady,All
Robert A Brady,813,All
Total,813,All
,Representative In Congress 1st District - Democrat,1
,Robert A Brady,1
Robert A Brady,63,1
Total,63,1
,Representative In Congress 1st District - Democrat,2
,Robert A Brady,2
Robert A Brady,69,2
Total,69,2
,Representative In Congress 1st District - Democrat,3
,Robert A Brady,3
Robert A Brady,34,3
Total,34,3
,Representative In Congress 1st District - Democrat,4
,Robert A Brady,4
Robert A Brady,43,4
Total,43,4
,Representative In Congress 1st District - Democrat,5
,Robert A Brady,5
Robert A Brady,27,5
Total,27,5
,Representative In Congress 1st District - Democrat,6
,Robert A Brady,6
Robert A Brady,30,6
Total,30,6
,Representative In Congress 1st District - Democrat,7
,Robert A Brady,7
Robert A Brady,56,7
Total,56,7
,Representative In Congress 1st District - Democrat,8
,Robert A Brady,8
Robert A Brady,22,8
Total,22,8
,Representative In Congress 1st District - Democrat,9
,Robert A Brady,9
Robert A Brady,84,9
Total,84,9
,Representative In Congress 1st District - Democrat,10
,Robert A Brady,10
Robert A Brady,74,10
Total,74,10
,Representative In Congress 1st District - Democrat,11
,Robert A Brady,11
Robert A Brady,48,11
Total,48,11
,Representative In Congress 1st District - Democrat,12
,Robert A Brady,12
Robert A Brady,43,12
Total,43,12
,Representative In Congress 1st District - Democrat,13
,Robert A Brady,13
Robert A Brady,46,13
Total,46,13
,Representative In Congress 1st District - Democrat,14
,Robert A Brady,14
Robert A Brady,32,14
Total,32,14
,Representative In Congress 1st District - Democrat,15
,Robert A Brady,15
Robert A Brady,48,15
Total,48,15
,Representative In Congress 1st District - Democrat,16
,Robert A Brady,16
Robert A Brady,33,16
Total,33,16
,Representative In Congress 1st District - Democrat,17
,Robert A Brady,17
Robert A Brady,61,17
Total,61,17
