col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 1st District,,,,,,All
,Mitt Romney,Rick Santorum,Newt Gingrich,Ron Paul,Christopher M Vogler,Tom Boggia,Marion S Taxin,Michael W Untermeyer,Frederick W Anton,Dale Kerns,All
Mitt Romney,11,0,0,0,12,12,10,9,4,3,All
Rick Santorum,,4,0,0,1,1,0,0,1,1,All
Newt Gingrich,,,2,0,1,1,0,1,0,0,All
Ron Paul,,,,1,1,0,0,0,0,0,All
Christopher M Vogler,,,,,1,5,4,3,2,1,All
Tom Boggia,,,,,,0,5,2,2,1,All
Marion S Taxin,,,,,,,0,2,1,0,All
Michael W Untermeyer,,,,,,,,0,2,1,All
Frederick W Anton,,,,,,,,,0,1,All
Dale Kerns,,,,,,,,,,0,All
Total,39,8,5,2,16,14,10,10,5,4,All
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 1st District,,,,,,18
,Mitt Romney,Rick Santorum,Newt Gingrich,Ron Paul,Christopher M Vogler,Tom Boggia,Marion S Taxin,Michael W Untermeyer,Frederick W Anton,Dale Kerns,18
Mitt Romney,11,0,0,0,12,12,10,9,4,3,18
Rick Santorum,,4,0,0,1,1,0,0,1,1,18
Newt Gingrich,,,2,0,1,1,0,1,0,0,18
Ron Paul,,,,1,1,0,0,0,0,0,18
Christopher M Vogler,,,,,1,5,4,3,2,1,18
Tom Boggia,,,,,,0,5,2,2,1,18
Marion S Taxin,,,,,,,0,2,1,0,18
Michael W Untermeyer,,,,,,,,0,2,1,18
Frederick W Anton,,,,,,,,,0,1,18
Dale Kerns,,,,,,,,,,0,18
Total,39,8,5,2,16,14,10,10,5,4,18
