col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Representative In The General Assembly 184th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,William F Keller,Ted Kirsch,Anthony Hardy Williams,Mindy M Posoff,Ryan N Boyer,Elizabeth A Washo,Christine M Tartaglione,Kathryn Sylvia Huggins,Deborah E Landau,Sekela Coles,Thaddeus Kirkland,All
William F Keller,445,544,528,522,511,505,443,420,413,399,401,All
Ted Kirsch,,4,515,514,516,494,414,412,405,399,399,All
Anthony Hardy Williams,,,3,514,511,496,413,409,402,403,403,All
Mindy M Posoff,,,,2,510,516,416,426,418,410,402,All
Ryan N Boyer,,,,,0,495,403,415,411,405,399,All
Elizabeth A Washo,,,,,,1,410,414,411,398,390,All
Christine M Tartaglione,,,,,,,2,423,412,401,395,All
Kathryn Sylvia Huggins,,,,,,,,0,431,416,401,All
Deborah E Landau,,,,,,,,,0,415,399,All
Sekela Coles,,,,,,,,,,0,396,All
Thaddeus Kirkland,,,,,,,,,,,0,All
Total,"1,092",580,564,562,543,542,474,451,440,427,423,All
,Representative In The General Assembly 184th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,1
,William F Keller,Anthony Hardy Williams,Mindy M Posoff,Elizabeth A Washo,Ted Kirsch,Christine M Tartaglione,Ryan N Boyer,Thaddeus Kirkland,Deborah E Landau,Kathryn Sylvia Huggins,Sekela Coles,1
William F Keller,22,21,21,20,20,18,19,18,17,17,16,1
Anthony Hardy Williams,,1,20,20,19,20,19,18,17,17,17,1
Mindy M Posoff,,,0,21,20,17,20,18,18,18,17,1
Elizabeth A Washo,,,,0,20,17,20,18,18,18,17,1
Ted Kirsch,,,,,0,16,19,17,17,17,16,1
Christine M Tartaglione,,,,,,0,16,18,17,17,17,1
Ryan N Boyer,,,,,,,0,17,17,17,16,1
Thaddeus Kirkland,,,,,,,,0,18,18,17,1
Deborah E Landau,,,,,,,,,0,18,17,1
Kathryn Sylvia Huggins,,,,,,,,,,0,17,1
Sekela Coles,,,,,,,,,,,0,1
Total,46,24,22,21,21,20,20,19,18,18,17,1
,Representative In The General Assembly 184th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,2
,William F Keller,Ted Kirsch,Elizabeth A Washo,Mindy M Posoff,Anthony Hardy Williams,Ryan N Boyer,Deborah E Landau,Kathryn Sylvia Huggins,Christine M Tartaglione,Sekela Coles,Thaddeus Kirkland,2
William F Keller,11,37,35,35,34,33,29,29,29,28,25,2
Ted Kirsch,,1,38,38,37,37,32,32,30,31,29,2
Elizabeth A Washo,,,0,41,36,37,33,33,31,33,29,2
Mindy M Posoff,,,,0,36,37,33,33,31,33,29,2
Anthony Hardy Williams,,,,,0,35,28,28,28,29,27,2
Ryan N Boyer,,,,,,0,30,30,29,31,29,2
Deborah E Landau,,,,,,,0,34,31,32,29,2
Kathryn Sylvia Huggins,,,,,,,,0,31,32,29,2
Christine M Tartaglione,,,,,,,,,0,31,28,2
Sekela Coles,,,,,,,,,,0,29,2
Thaddeus Kirkland,,,,,,,,,,,0,2
Total,50,43,42,42,39,37,34,34,33,33,29,2
,Representative In The General Assembly 184th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,3
,William F Keller,Ted Kirsch,Elizabeth A Washo,Mindy M Posoff,Christine M Tartaglione,Ryan N Boyer,Anthony Hardy Williams,Deborah E Landau,Kathryn Sylvia Huggins,Sekela Coles,Thaddeus Kirkland,3
William F Keller,57,39,35,35,33,32,31,30,30,27,26,3
Ted Kirsch,,0,30,31,30,31,31,27,27,26,25,3
Elizabeth A Washo,,,0,33,30,28,29,29,29,26,25,3
Mindy M Posoff,,,,0,30,30,30,30,30,27,26,3
Christine M Tartaglione,,,,,0,26,27,31,31,28,27,3
Ryan N Boyer,,,,,,0,31,26,26,26,25,3
Anthony Hardy Williams,,,,,,,0,26,26,26,25,3
Deborah E Landau,,,,,,,,0,31,28,26,3
Kathryn Sylvia Huggins,,,,,,,,,0,28,26,3
Sekela Coles,,,,,,,,,,0,25,3
Thaddeus Kirkland,,,,,,,,,,,0,3
Total,104,40,36,36,34,33,32,31,31,28,27,3
,Representative In The General Assembly 184th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,4
,William F Keller,Ted Kirsch,Ryan N Boyer,Anthony Hardy Williams,Elizabeth A Washo,Mindy M Posoff,Christine M Tartaglione,Kathryn Sylvia Huggins,Deborah E Landau,Sekela Coles,Thaddeus Kirkland,4
William F Keller,11,20,19,17,16,16,15,15,14,14,14,4
Ted Kirsch,,0,21,19,18,18,16,16,15,15,15,4
Ryan N Boyer,,,0,19,18,18,16,16,15,15,15,4
Anthony Hardy Williams,,,,0,18,18,15,15,14,14,15,4
Elizabeth A Washo,,,,,0,18,15,15,14,14,14,4
Mindy M Posoff,,,,,,0,15,15,14,14,14,4
Christine M Tartaglione,,,,,,,0,16,15,15,14,4
Kathryn Sylvia Huggins,,,,,,,,0,15,15,14,4
Deborah E Landau,,,,,,,,,0,15,14,4
Sekela Coles,,,,,,,,,,0,14,4
Thaddeus Kirkland,,,,,,,,,,,0,4
Total,31,22,21,19,18,18,16,16,15,15,15,4
,Representative In The General Assembly 184th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,5
