col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Representative In The General Assembly 173rd District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,Michael Patrick Mcgeehan,Ted Kirsch,Anthony Hardy Williams,Ryan N Boyer,Mindy M Posoff,Elizabeth A Washo,Christine M Tartaglione,Kathryn Sylvia Huggins,Deborah E Landau,Thaddeus Kirkland,Sekela Coles,All
Michael Patrick Mcgeehan,832,"1,348","1,244","1,237","1,225","1,195","1,074",960,947,919,916,All
Ted Kirsch,,8,"1,148","1,166","1,168","1,137",905,863,871,872,857,All
Anthony Hardy Williams,,,6,"1,141","1,121","1,097",874,848,848,827,829,All
Ryan N Boyer,,,,2,"1,139","1,107",853,849,850,843,837,All
Mindy M Posoff,,,,,0,"1,138",873,866,861,849,837,All
Elizabeth A Washo,,,,,,0,868,851,856,839,817,All
Christine M Tartaglione,,,,,,,4,893,891,868,858,All
Kathryn Sylvia Huggins,,,,,,,,2,902,867,874,All
Deborah E Landau,,,,,,,,,0,861,874,All
Thaddeus Kirkland,,,,,,,,,,0,854,All
Sekela Coles,,,,,,,,,,,1,All
Total,"2,562","1,390","1,285","1,278","1,259","1,223","1,102",984,968,940,936,All
