col_1,col_2,col_3,col_4,division
,Representative In Congress 1st District - Republican,Auditor General - Republican,,All
,John Featherman,John Maher,Frank A Pinto,All
John Featherman,17,161,109,All
John Maher,,23,0,All
Frank A Pinto,,,13,All
Total,287,184,122,All
,Representative In Congress 1st District - Republican,Auditor General - Republican,,1
,John Featherman,John Maher,Frank A Pinto,1
John Featherman,0,3,2,1
John Maher,,1,0,1
Frank A Pinto,,,1,1
Total,5,4,3,1
,Representative In Congress 1st District - Republican,Auditor General - Republican,,2
,John Featherman,John Maher,Frank A Pinto,2
John Featherman,0,8,1,2
John Maher,,0,0,2
Frank A Pinto,,,0,2
Total,9,8,1,2
,Representative In Congress 1st District - Republican,Auditor General - Republican,,3
,John Featherman,John Maher,Frank A Pinto,3
John Featherman,0,5,2,3
John Maher,,0,0,3
Frank A Pinto,,,0,3
Total,7,5,2,3
,Representative In Congress 1st District - Republican,Auditor General - Republican,,4
,John Featherman,John Maher,Frank A Pinto,4
John Featherman,0,9,4,4
John Maher,,0,0,4
Frank A Pinto,,,1,4
Total,13,9,5,4
,Auditor General - Republican,,Representative In Congress 1st District - Republican,5
,John Maher,Frank A Pinto,John Featherman,5
John Maher,3,0,5,5
Frank A Pinto,,0,1,5
John Featherman,,,1,5
Total,8,1,7,5
,Representative In Congress 1st District - Republican,Auditor General - Republican,,6
,John Featherman,Frank A Pinto,John Maher,6
John Featherman,0,6,5,6
Frank A Pinto,,0,0,6
John Maher,,,0,6
Total,11,6,5,6
,Representative In Congress 1st District - Republican,Auditor General - Republican,,7
,John Featherman,John Maher,Frank A Pinto,7
John Featherman,2,5,4,7
John Maher,,0,0,7
Frank A Pinto,,,0,7
Total,11,5,4,7
,Representative In Congress 1st District - Republican,Auditor General - Republican,,8
,John Featherman,Frank A Pinto,John Maher,8
John Featherman,1,3,5,8
Frank A Pinto,,2,0,8
John Maher,,,0,8
Total,9,5,5,8
,Auditor General - Republican,,Representative In Congress 1st District - Republican,9
,Frank A Pinto,John Maher,John Featherman,9
Frank A Pinto,1,0,1,9
John Maher,,0,1,9
John Featherman,,,0,9
Total,2,1,2,9
,Representative In Congress 1st District - Republican,Auditor General - Republican,,10
,John Featherman,John Maher,Frank A Pinto,10
John Featherman,0,7,4,10
John Maher,,2,0,10
Frank A Pinto,,,0,10
Total,11,9,4,10
,Representative In Congress 1st District - Republican,Auditor General - Republican,,11
,John Featherman,Frank A Pinto,John Maher,11
John Featherman,0,8,5,11
Frank A Pinto,,1,0,11
John Maher,,,1,11
Total,13,9,6,11
,Representative In Congress 1st District - Republican,Auditor General - Republican,,12
,John Featherman,Frank A Pinto,John Maher,12
John Featherman,1,5,6,12
Frank A Pinto,,1,0,12
John Maher,,,0,12
Total,12,6,6,12
,Representative In Congress 1st District - Republican,Auditor General - Republican,,13
,John Featherman,John Maher,Frank A Pinto,13
John Featherman,1,12,8,13
John Maher,,1,0,13
Frank A Pinto,,,0,13
Total,21,13,8,13
,Representative In Congress 1st District - Republican,Auditor General - Republican,,14
,John Featherman,Frank A Pinto,John Maher,14
John Featherman,0,3,3,14
Frank A Pinto,,0,0,14
John Maher,,,0,14
Total,6,3,3,14
,Representative In Congress 1st District - Republican,Auditor General - Republican,,15
,John Featherman,Frank A Pinto,John Maher,15
John Featherman,2,6,5,15
Frank A Pinto,,4,0,15
John Maher,,,2,15
Total,13,10,7,15
,Representative In Congress 1st District - Republican,Auditor General - Republican,,16
,John Featherman,John Maher,Frank A Pinto,16
John Featherman,0,4,2,16
John Maher,,0,0,16
Frank A Pinto,,,0,16
Total,6,4,2,16
,Representative In Congress 1st District - Republican,Auditor General - Republican,,17
,John Featherman,John Maher,Frank A Pinto,17
John Featherman,0,9,8,17
John Maher,,0,0,17
Frank A Pinto,,,0,17
Total,17,9,8,17
,Representative In Congress 1st District - Republican,Auditor General - Republican,,18
,John Featherman,John Maher,Frank A Pinto,18
John Featherman,1,11,4,18
