col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Andrew P Toy,Stephen A Cozen,Jerome W Mondesire,Michelle W Singer,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,Jerry T Jordan,Joseph C Meade,Raye E Johnson,William S Leopold,James R Roebuck,Fatimah Loren Muhammad,All
Kenyatta J Johnson,3,"3,606","3,462","3,310","3,270","2,599","2,448","2,375","2,380","2,327","2,343","2,336","2,309","2,316","2,314","2,314","2,220","2,330","1,959",All
Blondell Reynolds Brown,,0,"3,356","3,230","3,224","2,546","2,425","2,339","2,360","2,302","2,319","2,314","2,282","2,297","2,294","2,269","2,206","2,206","1,662",All
Cindy Bass,,,1,"3,258","3,191","2,457","2,388","2,318","2,297","2,311","2,318","2,312","2,290","2,261","2,273","2,258","2,201","2,075","1,577",All
Jacquelyn Manns Smalley,,,,1,"3,114","2,351","2,292","2,268","2,246","2,255","2,281","2,275","2,240","2,207","2,233","2,231","2,162","1,923","1,491",All
Mark Alan Aronchick,,,,,1,"2,335","2,309","2,290","2,238","2,178","2,225","2,207","2,172","2,205","2,235","2,197","2,172","1,917","1,486",All
Vincent J Hughes,,,,,,0,"2,419","2,360","2,368","2,266","2,285","2,265","2,228","2,301","2,316","2,259","2,221","1,708","1,064",All
Andrew P Toy,,,,,,,0,"2,336","2,297","2,247","2,285","2,264","2,234","2,250","2,292","2,231","2,202","1,657",960,All
Stephen A Cozen,,,,,,,,1,"2,278","2,192","2,236","2,217","2,189","2,220","2,278","2,232","2,190","1,522",945,All
Jerome W Mondesire,,,,,,,,,0,"2,164","2,210","2,180","2,148","2,215","2,260","2,191","2,155","1,535",927,All
Michelle W Singer,,,,,,,,,,0,"2,275","2,277","2,295","2,188","2,170","2,205","2,160","1,509",942,All
Eleanor M Dezzi,,,,,,,,,,,0,"2,330","2,265","2,224","2,222","2,254","2,211","1,510",929,All
Heather Steinmiller,,,,,,,,,,,,0,"2,261","2,214","2,213","2,242","2,203","1,515",914,All
Nancy Astor Fox,,,,,,,,,,,,,0,"2,172","2,167","2,208","2,147","1,490",932,All
Jerry T Jordan,,,,,,,,,,,,,,0,"2,214","2,217","2,205","1,498",909,All
Joseph C Meade,,,,,,,,,,,,,,,0,"2,205","2,184","1,479",904,All
Raye E Johnson,,,,,,,,,,,,,,,,0,"2,194","1,459",908,All
William S Leopold,,,,,,,,,,,,,,,,,0,"1,414",863,All
James R Roebuck,,,,,,,,,,,,,,,,,,"1,130",0,All
Fatimah Loren Muhammad,,,,,,,,,,,,,,,,,,,873,All
Total,"4,323","3,903","3,683","3,444","3,438","2,798","2,648","2,493","2,484","2,478","2,465","2,455","2,449","2,430","2,406","2,388","2,296","3,904","3,106",All
