col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Jerome W Mondesire,Stephen A Cozen,Andrew P Toy,Joseph C Meade,Jerry T Jordan,Raye E Johnson,Michelle W Singer,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,William S Leopold,Vanessa L Brown,Wanda Logan,Audrey Blackwell Watson,Lemuel L Thornton,All
Kenyatta J Johnson,21,"4,685","4,396","4,118","4,120","3,346","2,864","2,750","2,755","2,744","2,718","2,695","2,634","2,619","2,605","2,563","2,537","2,264","1,577","1,361",228,All
Blondell Reynolds Brown,,13,"4,206","4,007","3,975","3,281","2,819","2,692","2,698","2,695","2,666","2,630","2,570","2,573","2,567","2,505","2,514","2,161","1,385","1,178",197,All
Cindy Bass,,,4,"3,967","4,010","2,920","2,663","2,642","2,667","2,654","2,599","2,571","2,514","2,541","2,534","2,470","2,475","1,838","1,340","1,097",191,All
Mark Alan Aronchick,,,,5,"3,844","2,691","2,544","2,584","2,560","2,547","2,509","2,503","2,404","2,464","2,460","2,384","2,445","1,659","1,280","1,042",170,All
Jacquelyn Manns Smalley,,,,,2,"2,723","2,530","2,540","2,540","2,545","2,493","2,478","2,414","2,457","2,453","2,376","2,404","1,712","1,253",996,175,All
Vincent J Hughes,,,,,,7,"2,901","2,775","2,793","2,791","2,720","2,671","2,609","2,603","2,608","2,526","2,540","2,094",708,734,181,All
Jerome W Mondesire,,,,,,,0,"2,664","2,651","2,669","2,562","2,522","2,441","2,501","2,487","2,403","2,453","1,621",615,598,140,All
Stephen A Cozen,,,,,,,,1,"2,695","2,693","2,567","2,589","2,474","2,542","2,541","2,467","2,506","1,522",618,588,134,All
Andrew P Toy,,,,,,,,,1,"2,695","2,562","2,562","2,459","2,532","2,516","2,437","2,492","1,522",602,586,141,All
Joseph C Meade,,,,,,,,,,0,"2,569","2,552","2,445","2,528","2,522","2,425","2,494","1,519",595,579,130,All
Jerry T Jordan,,,,,,,,,,,0,"2,607","2,509","2,568","2,563","2,466","2,540","1,470",594,569,129,All
Raye E Johnson,,,,,,,,,,,,1,"2,505","2,579","2,571","2,488","2,529","1,462",585,554,127,All
Michelle W Singer,,,,,,,,,,,,,1,"2,477","2,483","2,490","2,415","1,411",581,567,128,All
Eleanor M Dezzi,,,,,,,,,,,,,,1,"2,562","2,446","2,501","1,415",566,544,125,All
Heather Steinmiller,,,,,,,,,,,,,,,0,"2,450","2,501","1,404",569,542,122,All
Nancy Astor Fox,,,,,,,,,,,,,,,,2,"2,414","1,389",554,538,124,All
William S Leopold,,,,,,,,,,,,,,,,,0,"1,365",546,531,121,All
Vanessa L Brown,,,,,,,,,,,,,,,,,,931,0,0,0,All
Wanda Logan,,,,,,,,,,,,,,,,,,,410,0,0,All
Audrey Blackwell Watson,,,,,,,,,,,,,,,,,,,,386,0,All
Lemuel L Thornton,,,,,,,,,,,,,,,,,,,,,135,All
Total,"5,607","5,085","4,595","4,276","4,252","3,833","3,053","2,937","2,927","2,897","2,834","2,798","2,757","2,721","2,705","2,676","2,626","3,608","2,185","1,998",416,All
