col_1,col_2,division
,State Treasurer - Republican,All
,Diana Irey Vaughan,All
Diana Irey Vaughan,85,All
Total,85,All
,State Treasurer - Republican,1
,Diana Irey Vaughan,1
Diana Irey Vaughan,5,1
Total,5,1
,State Treasurer - Republican,2
,Diana Irey Vaughan,2
Diana Irey Vaughan,7,2
Total,7,2
,State Treasurer - Republican,3
,Diana Irey Vaughan,3
Diana Irey Vaughan,5,3
Total,5,3
,State Treasurer - Republican,4
,Diana Irey Vaughan,4
Diana Irey Vaughan,5,4
Total,5,4
,State Treasurer - Republican,5
,Diana Irey Vaughan,5
Diana Irey Vaughan,2,5
Total,2,5
,State Treasurer - Republican,6
,Diana Irey Vaughan,6
Diana Irey Vaughan,1,6
Total,1,6
,State Treasurer - Republican,7
,Diana Irey Vaughan,7
Diana Irey Vaughan,2,7
Total,2,7
,State Treasurer - Republican,8
,Diana Irey Vaughan,8
Diana Irey Vaughan,2,8
Total,2,8
,State Treasurer - Republican,9
,Diana Irey Vaughan,9
Diana Irey Vaughan,6,9
Total,6,9
,State Treasurer - Republican,10
,Diana Irey Vaughan,10
Diana Irey Vaughan,5,10
Total,5,10
,State Treasurer - Republican,11
,Diana Irey Vaughan,11
Diana Irey Vaughan,8,11
Total,8,11
,State Treasurer - Republican,12
,Diana Irey Vaughan,12
Diana Irey Vaughan,6,12
Total,6,12
,State Treasurer - Republican,13
,Diana Irey Vaughan,13
Diana Irey Vaughan,3,13
Total,3,13
,State Treasurer - Republican,14
,Diana Irey Vaughan,14
Diana Irey Vaughan,5,14
Total,5,14
,State Treasurer - Republican,15
,Diana Irey Vaughan,15
Diana Irey Vaughan,2,15
Total,2,15
,State Treasurer - Republican,16
,Diana Irey Vaughan,16
Diana Irey Vaughan,5,16
Total,5,16
,State Treasurer - Republican,17
,Diana Irey Vaughan,17
Diana Irey Vaughan,1,17
Total,1,17
,State Treasurer - Republican,18
,Diana Irey Vaughan,18
Diana Irey Vaughan,2,18
Total,2,18
,State Treasurer - Republican,20
,Diana Irey Vaughan,20
Diana Irey Vaughan,1,20
Total,1,20
,State Treasurer - Republican,22
,Diana Irey Vaughan,22
Diana Irey Vaughan,2,22
Total,2,22
,State Treasurer - Republican,23
,Diana Irey Vaughan,23
Diana Irey Vaughan,6,23
Total,6,23
,State Treasurer - Republican,24
,Diana Irey Vaughan,24
Diana Irey Vaughan,4,24
Total,4,24
