col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
Sam Rohrer,,0,0,0,0,0,14
David Alan Christian,,,0,0,0,0,14
Steven D Welch,,,,1,0,0,14
Tom Smith,,,,,1,0,14
Marc A Scaringi,,,,,,0,14
Total,9,3,2,2,2,1,14
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,15
,John Featherman,David Alan Christian,Tom Smith,Marc A Scaringi,Sam Rohrer,Steven D Welch,15
John Featherman,2,2,1,1,1,1,15
David Alan Christian,,0,0,0,0,0,15
Tom Smith,,,1,0,0,0,15
Marc A Scaringi,,,,0,0,0,15
Sam Rohrer,,,,,0,0,15
Steven D Welch,,,,,,0,15
Total,8,2,2,1,1,1,15
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,16
,John Featherman,Tom Smith,Steven D Welch,David Alan Christian,Marc A Scaringi,Sam Rohrer,16
John Featherman,0,5,3,1,0,0,16
Tom Smith,,1,0,0,0,0,16
Steven D Welch,,,0,0,0,0,16
David Alan Christian,,,,0,0,0,16
Marc A Scaringi,,,,,0,0,16
Sam Rohrer,,,,,,0,16
Total,9,6,3,1,0,0,16
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,17
,John Featherman,Steven D Welch,Tom Smith,David Alan Christian,Sam Rohrer,Marc A Scaringi,17
John Featherman,0,4,3,2,1,0,17
Steven D Welch,,0,0,0,0,0,17
Tom Smith,,,0,0,0,0,17
David Alan Christian,,,,0,0,0,17
Sam Rohrer,,,,,1,0,17
Marc A Scaringi,,,,,,0,17
Total,10,4,3,2,2,0,17
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,18
,John Featherman,Steven D Welch,Tom Smith,David Alan Christian,Sam Rohrer,Marc A Scaringi,18
John Featherman,3,11,9,9,5,3,18
Steven D Welch,,2,0,0,0,0,18
Tom Smith,,,2,0,0,0,18
David Alan Christian,,,,0,0,0,18
Sam Rohrer,,,,,1,0,18
Marc A Scaringi,,,,,,0,18
Total,40,13,11,9,6,3,18
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,19
,John Featherman,Steven D Welch,Tom Smith,David Alan Christian,Marc A Scaringi,Sam Rohrer,19
John Featherman,2,8,10,3,2,0,19
Steven D Welch,,3,0,0,0,0,19
Tom Smith,,,1,0,0,0,19
David Alan Christian,,,,0,0,0,19
Marc A Scaringi,,,,,0,0,19
Sam Rohrer,,,,,,1,19
Total,25,11,11,3,2,1,19
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,20
,John Featherman,David Alan Christian,Steven D Welch,Marc A Scaringi,Sam Rohrer,Tom Smith,20
John Featherman,0,2,0,1,1,0,20
David Alan Christian,,0,0,0,0,0,20
Steven D Welch,,,2,0,0,0,20
Marc A Scaringi,,,,0,0,0,20
Sam Rohrer,,,,,0,0,20
Tom Smith,,,,,,1,20
Total,4,2,2,1,1,1,20
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,21
,John Featherman,Tom Smith,David Alan Christian,Sam Rohrer,Marc A Scaringi,Steven D Welch,21
John Featherman,0,6,4,3,2,1,21
Tom Smith,,1,0,0,0,0,21
David Alan Christian,,,0,0,0,0,21
Sam Rohrer,,,,0,0,0,21
Marc A Scaringi,,,,,0,0,21
Steven D Welch,,,,,,0,21
Total,16,7,4,3,2,1,21
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,22
,John Featherman,Steven D Welch,Tom Smith,Marc A Scaringi,David Alan Christian,Sam Rohrer,22
John Featherman,1,3,2,3,1,0,22
Steven D Welch,,2,0,0,0,0,22
Tom Smith,,,3,0,0,0,22
Marc A Scaringi,,,,0,0,0,22
David Alan Christian,,,,,0,0,22
Sam Rohrer,,,,,,0,22
Total,10,5,5,3,1,0,22
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,23
,John Featherman,Sam Rohrer,Steven D Welch,Tom Smith,David Alan Christian,Marc A Scaringi,23
John Featherman,0,1,0,0,0,0,23
Sam Rohrer,,0,0,0,0,0,23
Steven D Welch,,,1,0,0,0,23
Tom Smith,,,,1,0,0,23
David Alan Christian,,,,,0,0,23
Marc A Scaringi,,,,,,0,23
Total,1,1,1,1,0,0,23
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,24
,John Featherman,Tom Smith,Marc A Scaringi,Sam Rohrer,David Alan Christian,Steven D Welch,24
John Featherman,0,3,2,2,1,0,24
Tom Smith,,1,0,0,0,0,24
Marc A Scaringi,,,0,0,0,0,24
Sam Rohrer,,,,0,0,0,24
David Alan Christian,,,,,0,0,24
Steven D Welch,,,,,,0,24
Total,8,4,2,2,1,0,24
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,25
,John Featherman,Steven D Welch,David Alan Christian,Marc A Scaringi,Tom Smith,Sam Rohrer,25
John Featherman,0,2,1,1,1,0,25
Steven D Welch,,0,0,0,0,0,25
David Alan Christian,,,0,0,0,0,25
Marc A Scaringi,,,,0,0,0,25
Tom Smith,,,,,0,0,25
Sam Rohrer,,,,,,0,25
Total,5,2,1,1,1,0,25
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,26
,John Featherman,Sam Rohrer,Steven D Welch,David Alan Christian,Tom Smith,Marc A Scaringi,26
John Featherman,0,4,4,2,2,0,26
Sam Rohrer,,0,0,0,0,0,26
Steven D Welch,,,0,0,0,0,26
David Alan Christian,,,,1,0,0,26
Tom Smith,,,,,0,0,26
Marc A Scaringi,,,,,,0,26
Total,12,4,4,3,2,0,26
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,27
,John Featherman,Steven D Welch,David Alan Christian,Tom Smith,Marc A Scaringi,Sam Rohrer,27
John Featherman,0,4,4,3,0,1,27
Steven D Welch,,1,0,0,0,0,27
David Alan Christian,,,0,0,0,0,27
Tom Smith,,,,0,0,0,27
Marc A Scaringi,,,,,1,0,27
Sam Rohrer,,,,,,0,27
Total,12,5,4,3,1,1,27
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,28
,John Featherman,Steven D Welch,Tom Smith,Marc A Scaringi,David Alan Christian,Sam Rohrer,28
John Featherman,0,1,1,1,0,0,28
Steven D Welch,,1,0,0,0,0,28
Tom Smith,,,1,0,0,0,28
Marc A Scaringi,,,,0,0,0,28
David Alan Christian,,,,,0,0,28
Sam Rohrer,,,,,,0,28
Total,3,2,2,1,0,0,28
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,29
,John Featherman,Sam Rohrer,David Alan Christian,Marc A Scaringi,Steven D Welch,Tom Smith,29
John Featherman,0,1,0,0,0,0,29
Sam Rohrer,,0,0,0,0,0,29
David Alan Christian,,,0,0,0,0,29
Marc A Scaringi,,,,0,0,0,29
Steven D Welch,,,,,0,0,29
Tom Smith,,,,,,0,29
Total,1,1,0,0,0,0,29
