col_1,col_2,col_3,col_4,division
,Representative In The General Assembly 170th District - Democrat,Attorney General - Democrat,,All
,Brendan F Boyle,Patrick Murphy,Kathleen G Kane,All
Brendan F Boyle,11,168,69,All
Patrick Murphy,,26,0,All
Kathleen G Kane,,,11,All
Total,248,194,80,All
,Representative In The General Assembly 170th District - Democrat,Attorney General - Democrat,,4
,Brendan F Boyle,Patrick Murphy,Kathleen G Kane,4
Brendan F Boyle,2,14,8,4
Patrick Murphy,,1,0,4
Kathleen G Kane,,,2,4
Total,24,15,10,4
,Representative In The General Assembly 170th District - Democrat,Attorney General - Democrat,,7
,Brendan F Boyle,Patrick Murphy,Kathleen G Kane,7
Brendan F Boyle,3,34,19,7
Patrick Murphy,,10,0,7
Kathleen G Kane,,,3,7
Total,56,44,22,7
,Representative In The General Assembly 170th District - Democrat,Attorney General - Democrat,,8
,Brendan F Boyle,Patrick Murphy,Kathleen G Kane,8
Brendan F Boyle,2,46,8,8
Patrick Murphy,,6,0,8
Kathleen G Kane,,,2,8
Total,56,52,10,8
,Representative In The General Assembly 170th District - Democrat,Attorney General - Democrat,,9
,Brendan F Boyle,Patrick Murphy,Kathleen G Kane,9
Brendan F Boyle,1,28,13,9
Patrick Murphy,,8,0,9
Kathleen G Kane,,,2,9
Total,42,36,15,9
,Representative In The General Assembly 170th District - Democrat,Attorney General - Democrat,,10
,Brendan F Boyle,Patrick Murphy,Kathleen G Kane,10
Brendan F Boyle,0,22,13,10
Patrick Murphy,,1,0,10
Kathleen G Kane,,,2,10
Total,35,23,15,10
,Representative In The General Assembly 170th District - Democrat,Attorney General - Democrat,,33
,Brendan F Boyle,Patrick Murphy,Kathleen G Kane,33
Brendan F Boyle,3,24,8,33
Patrick Murphy,,0,0,33
Kathleen G Kane,,,0,33
Total,35,24,8,33
