col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 201st District - Democrat,,,All
,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Stephen A Cozen,Andrew P Toy,Raye E Johnson,Jerry T Jordan,Michelle W Singer,Joseph C Meade,Heather Steinmiller,Eleanor M Dezzi,Nancy Astor Fox,William S Leopold,Stephen Kinsey,Michael K Ellis,Karl K Gamble,All
Kenyatta J Johnson,15,"4,780","4,713","4,310","4,199","3,305","3,084","3,056","3,003","3,019","2,967","2,938","2,964","2,917","2,913","2,872","2,839","2,786","2,508",488,All
Cindy Bass,,13,"4,604","4,222","4,080","3,225","3,014","2,977","2,933","2,904","2,910","2,865","2,885","2,851","2,861","2,790","2,781","2,528","2,358",434,All
Blondell Reynolds Brown,,,7,"4,165","4,116","3,229","3,019","2,950","2,930","2,902","2,907","2,840","2,891","2,831","2,837","2,773","2,780","2,375","2,265",419,All
Jacquelyn Manns Smalley,,,,2,"3,966","2,924","2,843","2,858","2,829","2,814","2,776","2,744","2,813","2,775","2,767","2,706","2,715","2,119","1,917",365,All
Mark Alan Aronchick,,,,,3,"2,814","2,761","2,803","2,767","2,724","2,703","2,626","2,724","2,689","2,683","2,614","2,665","2,113","1,860",366,All
Vincent J Hughes,,,,,,3,"3,019","2,958","2,968","2,916","2,930","2,840","2,926","2,853","2,844","2,771","2,806","1,538","1,644",257,All
Jerome W Mondesire,,,,,,,2,"2,909","2,880","2,839","2,839","2,755","2,866","2,786","2,795","2,701","2,752","1,439","1,494",236,All
Stephen A Cozen,,,,,,,,1,"2,921","2,877","2,842","2,751","2,891","2,817","2,815","2,748","2,784","1,439","1,461",240,All
Andrew P Toy,,,,,,,,,2,"2,836","2,827","2,746","2,853","2,807","2,820","2,718","2,775","1,392","1,447",234,All
Raye E Johnson,,,,,,,,,,0,"2,851","2,802","2,827","2,832","2,839","2,775","2,804","1,382","1,444",238,All
Jerry T Jordan,,,,,,,,,,,1,"2,763","2,818","2,812","2,796","2,726","2,792","1,372","1,425",233,All
Michelle W Singer,,,,,,,,,,,,1,"2,726","2,783","2,762","2,781","2,695","1,343","1,445",235,All
Joseph C Meade,,,,,,,,,,,,,0,"2,778","2,773","2,684","2,760","1,369","1,402",225,All
Heather Steinmiller,,,,,,,,,,,,,,0,"2,832","2,743","2,784","1,332","1,389",238,All
Eleanor M Dezzi,,,,,,,,,,,,,,,1,"2,722","2,764","1,334","1,398",225,All
Nancy Astor Fox,,,,,,,,,,,,,,,,1,"2,673","1,333","1,377",230,All
William S Leopold,,,,,,,,,,,,,,,,,0,"1,308","1,343",217,All
Stephen Kinsey,,,,,,,,,,,,,,,,,,"1,170",0,0,All
Michael K Ellis,,,,,,,,,,,,,,,,,,,706,0,All
Karl K Gamble,,,,,,,,,,,,,,,,,,,,141,All
Total,"5,911","5,438","5,173","4,493","4,435","3,519","3,236","3,194","3,131","3,114","3,087","3,077","3,052","3,008","3,007","2,988","2,915","4,515","3,759",762,All
