col_1,col_2,division
,Representative In The General Assembly 181st District - Democrat,All
,W Curtis Thomas,All
W Curtis Thomas,254,All
Total,254,All
,Representative In The General Assembly 181st District - Democrat,15
,W Curtis Thomas,15
W Curtis Thomas,63,15
Total,63,15
,Representative In The General Assembly 181st District - Democrat,20
,W Curtis Thomas,20
W Curtis Thomas,49,20
Total,49,20
,Representative In The General Assembly 181st District - Democrat,23
,W Curtis Thomas,23
W Curtis Thomas,142,23
Total,142,23
