col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 197th District - Democrat,,,,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Stephen A Cozen,Andrew P Toy,Jerome W Mondesire,Joseph C Meade,Michelle W Singer,Raye E Johnson,Jerry T Jordan,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,William S Leopold,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,All
Kenyatta J Johnson,19,"3,691","3,677","3,425","3,453","2,580","2,385","2,384","2,381","2,342","2,277","2,338","2,298","2,283","2,273","2,259","2,216","1,737","1,350",929,262,5,All
Blondell Reynolds Brown,,6,"3,494","3,332","3,324","2,514","2,330","2,317","2,331","2,288","2,208","2,281","2,251","2,232","2,226","2,210","2,184","1,550","1,234",806,228,4,All
Cindy Bass,,,3,"3,334","3,391","2,455","2,312","2,318","2,277","2,287","2,216","2,278","2,231","2,238","2,226","2,210","2,171","1,577","1,172",787,227,4,All
Mark Alan Aronchick,,,,6,"3,237","2,294","2,268","2,245","2,207","2,212","2,100","2,183","2,160","2,153","2,141","2,115","2,125","1,469","1,073",721,202,4,All
Jacquelyn Manns Smalley,,,,,3,"2,304","2,219","2,228","2,180","2,193","2,127","2,193","2,142","2,167","2,165","2,125","2,112","1,446","1,077",729,200,3,All
Vincent J Hughes,,,,,,4,"2,362","2,378","2,367","2,342","2,227","2,289","2,271","2,250","2,244","2,202","2,192",880,"1,136",496,227,2,All
Stephen A Cozen,,,,,,,0,"2,327","2,288","2,303","2,153","2,252","2,197","2,215","2,204","2,177","2,170",809,995,464,202,2,All
Andrew P Toy,,,,,,,,2,"2,254","2,291","2,147","2,231","2,208","2,206","2,186","2,145","2,168",822,985,441,201,2,All
Jerome W Mondesire,,,,,,,,,0,"2,273","2,106","2,189","2,171","2,166","2,149","2,120","2,125",801,"1,006",436,201,2,All
Joseph C Meade,,,,,,,,,,0,"2,129","2,224","2,185","2,180","2,182","2,140","2,159",783,960,449,191,2,All
Michelle W Singer,,,,,,,,,,,1,"2,191","2,127","2,187","2,184","2,222","2,102",782,938,448,190,1,All
Raye E Johnson,,,,,,,,,,,,0,"2,239","2,261","2,249","2,202","2,223",791,950,425,189,1,All
Jerry T Jordan,,,,,,,,,,,,,1,"2,198","2,185","2,138","2,186",796,936,421,187,1,All
Eleanor M Dezzi,,,,,,,,,,,,,,0,"2,245","2,184","2,182",779,936,423,189,1,All
Heather Steinmiller,,,,,,,,,,,,,,,1,"2,187","2,183",764,921,430,185,1,All
Nancy Astor Fox,,,,,,,,,,,,,,,,0,"2,121",773,920,429,182,1,All
William S Leopold,,,,,,,,,,,,,,,,,0,752,887,407,179,1,All
J P Miranda,,,,,,,,,,,,,,,,,,"1,017",0,0,0,0,All
Jewel Williams,,,,,,,,,,,,,,,,,,,900,0,0,0,All
Kenneth T Walker Jr,,,,,,,,,,,,,,,,,,,,363,0,0,All
Jamil M Ali,,,,,,,,,,,,,,,,,,,,,169,0,All
James K Johnson,,,,,,,,,,,,,,,,,,,,,,4,All
Total,"4,451","3,963","3,899","3,591","3,570","2,831","2,548","2,534","2,529","2,454","2,433","2,431","2,413","2,402","2,375","2,375","2,289","2,992","2,532","1,470",494,10,All
