col_1,col_2,col_3,col_4,division
,Representative In Congress 13th District - Republican,Auditor General - Republican,,All
,Joseph James Rooney,John Maher,Frank A Pinto,All
Joseph James Rooney,2,37,22,All
John Maher,,2,0,All
Frank A Pinto,,,5,All
Total,61,39,27,All
,Representative In Congress 13th District - Republican,Auditor General - Republican,,3
,Joseph James Rooney,John Maher,Frank A Pinto,3
Joseph James Rooney,0,3,2,3
John Maher,,1,0,3
Frank A Pinto,,,0,3
Total,5,4,2,3
,Representative In Congress 13th District - Republican,Auditor General - Republican,,4
,Joseph James Rooney,Frank A Pinto,John Maher,4
Joseph James Rooney,0,3,2,4
Frank A Pinto,,1,0,4
John Maher,,,0,4
Total,5,4,2,4
,Representative In Congress 13th District - Republican,Auditor General - Republican,,5
,Joseph James Rooney,John Maher,Frank A Pinto,5
Joseph James Rooney,0,4,1,5
John Maher,,0,0,5
Frank A Pinto,,,0,5
Total,5,4,1,5
,Auditor General - Republican,,Representative In Congress 13th District - Republican,8
,John Maher,Frank A Pinto,Joseph James Rooney,8
John Maher,0,0,1,8
Frank A Pinto,,0,0,8
Joseph James Rooney,,,0,8
Total,1,0,1,8
,Auditor General - Republican,,Representative In Congress 13th District - Republican,9
,Frank A Pinto,John Maher,Joseph James Rooney,9
Frank A Pinto,0,0,3,9
John Maher,,0,0,9
Joseph James Rooney,,,0,9
Total,3,0,3,9
,Representative In Congress 13th District - Republican,Auditor General - Republican,,10
,Joseph James Rooney,John Maher,Frank A Pinto,10
Joseph James Rooney,0,3,1,10
John Maher,,0,0,10
Frank A Pinto,,,0,10
Total,4,3,1,10
,Auditor General - Republican,,Representative In Congress 13th District - Republican,11
,Frank A Pinto,John Maher,Joseph James Rooney,11
Frank A Pinto,1,0,2,11
John Maher,,0,1,11
Joseph James Rooney,,,0,11
Total,3,1,3,11
,Auditor General - Republican,,Representative In Congress 13th District - Republican,12
,John Maher,Frank A Pinto,Joseph James Rooney,12
John Maher,0,0,1,12
Frank A Pinto,,0,0,12
Joseph James Rooney,,,0,12
Total,1,0,1,12
,Auditor General - Republican,,Representative In Congress 13th District - Republican,13
,Frank A Pinto,John Maher,Joseph James Rooney,13
Frank A Pinto,1,0,2,13
John Maher,,0,1,13
Joseph James Rooney,,,0,13
Total,3,1,3,13
,Representative In Congress 13th District - Republican,Auditor General - Republican,,14
,Joseph James Rooney,Frank A Pinto,John Maher,14
Joseph James Rooney,0,1,1,14
Frank A Pinto,,0,0,14
John Maher,,,0,14
Total,2,1,1,14
,Auditor General - Republican,,Representative In Congress 13th District - Republican,15
,John Maher,Frank A Pinto,Joseph James Rooney,15
John Maher,1,0,2,15
Frank A Pinto,,0,1,15
Joseph James Rooney,,,0,15
Total,3,1,3,15
,Representative In Congress 13th District - Republican,Auditor General - Republican,,16
,Joseph James Rooney,Frank A Pinto,John Maher,16
Joseph James Rooney,0,2,1,16
Frank A Pinto,,0,0,16
John Maher,,,0,16
Total,3,2,1,16
,Auditor General - Republican,,Representative In Congress 13th District - Republican,18
,John Maher,Frank A Pinto,Joseph James Rooney,18
John Maher,0,0,5,18
Frank A Pinto,,0,0,18
Joseph James Rooney,,,0,18
Total,5,0,5,18
,Auditor General - Republican,,Representative In Congress 13th District - Republican,19
,John Maher,Frank A Pinto,Joseph James Rooney,19
John Maher,0,0,4,19
Frank A Pinto,,0,0,19
Joseph James Rooney,,,0,19
Total,4,0,4,19
,Auditor General - Republican,,Representative In Congress 13th District - Republican,20
,Frank A Pinto,John Maher,Joseph James Rooney,20
Frank A Pinto,0,0,1,20
John Maher,,0,0,20
Joseph James Rooney,,,0,20
Total,1,0,1,20
,Auditor General - Republican,,Representative In Congress 13th District - Republican,25
,Frank A Pinto,John Maher,Joseph James Rooney,25
Frank A Pinto,1,0,1,25
John Maher,,0,0,25
Joseph James Rooney,,,0,25
Total,2,0,1,25
,Representative In Congress 13th District - Republican,Auditor General - Republican,,26
,Joseph James Rooney,John Maher,Frank A Pinto,26
Joseph James Rooney,2,4,1,26
John Maher,,0,0,26
Frank A Pinto,,,1,26
Total,7,4,2,26
,Representative In Congress 13th District - Republican,Auditor General - Republican,,27
,Joseph James Rooney,John Maher,Frank A Pinto,27
Joseph James Rooney,0,2,1,27
John Maher,,0,0,27
Frank A Pinto,,,0,27
Total,3,2,1,27
,Auditor General - Republican,,Representative In Congress 13th District - Republican,28
,John Maher,Frank A Pinto,Joseph James Rooney,28
John Maher,0,0,2,28
Frank A Pinto,,0,0,28
Joseph James Rooney,,,0,28
Total,2,0,2,28
