col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Representative In The General Assembly 180th District - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,Jonathan Ramos,Angel L Cruz,Anthony Pernell Johnson,Ted Kirsch,Anthony Hardy Williams,Ryan N Boyer,Elizabeth A Washo,Mindy M Posoff,Christine M Tartaglione,Sekela Coles,Kathryn Sylvia Huggins,Deborah E Landau,Thaddeus Kirkland,All
Jonathan Ramos,433,0,0,118,110,105,100,96,118,57,56,55,55,All
Angel L Cruz,,318,0,78,74,67,66,69,44,33,34,34,33,All
Anthony Pernell Johnson,,,9,9,9,10,8,9,4,8,7,7,5,All
Ted Kirsch,,,,4,163,159,160,161,93,89,87,88,88,All
Anthony Hardy Williams,,,,,0,160,152,151,95,89,85,87,86,All
Ryan N Boyer,,,,,,0,156,151,89,89,85,88,87,All
Elizabeth A Washo,,,,,,,0,154,88,86,83,86,84,All
Mindy M Posoff,,,,,,,,0,85,86,82,83,83,All
Christine M Tartaglione,,,,,,,,,1,89,86,87,88,All
Sekela Coles,,,,,,,,,,0,89,93,92,All
Kathryn Sylvia Huggins,,,,,,,,,,,0,88,86,All
Deborah E Landau,,,,,,,,,,,,0,89,All
Thaddeus Kirkland,,,,,,,,,,,,,0,All
Total,648,436,25,211,195,184,176,175,168,99,98,97,94,All
,Representative In The General Assembly 180th District - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,2
,Jonathan Ramos,Angel L Cruz,Anthony Pernell Johnson,Anthony Hardy Williams,Elizabeth A Washo,Mindy M Posoff,Ted Kirsch,Ryan N Boyer,Christine M Tartaglione,Deborah E Landau,Sekela Coles,Kathryn Sylvia Huggins,Thaddeus Kirkland,2
Jonathan Ramos,22,0,0,11,10,10,10,8,6,5,5,5,6,2
Angel L Cruz,,27,0,5,5,4,4,4,4,2,2,1,1,2
Anthony Pernell Johnson,,,0,1,1,1,0,1,0,1,1,1,0,2
Anthony Hardy Williams,,,,0,13,12,12,13,7,7,6,6,5,2
Elizabeth A Washo,,,,,0,12,12,13,6,7,6,6,5,2
Mindy M Posoff,,,,,,0,12,12,5,6,7,6,6,2
Ted Kirsch,,,,,,,1,12,6,6,5,5,5,2
