col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,All
,Robert M Mccord,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Leslie S Richards,Louis J Farinella,Olivia E Brady,Patrick J Eiding,Vince Gillen,Caren Gansman Moskowitz,All
Robert M Mccord,228,"1,150",967,980,605,593,599,578,573,569,All
Catherine G Scott,,32,"1,021","1,035",635,634,624,615,612,604,All
D Gregory Holt,,,22,"1,003",604,599,588,582,591,577,All
Kelly Lynn Devine,,,,8,620,615,602,588,597,591,All
Leslie S Richards,,,,,1,601,606,579,589,589,All
Louis J Farinella,,,,,,1,596,594,589,589,All
Olivia E Brady,,,,,,,0,580,586,590,All
Patrick J Eiding,,,,,,,,1,577,579,All
Vince Gillen,,,,,,,,,0,576,All
Caren Gansman Moskowitz,,,,,,,,,,0,All
Total,"1,545","1,320","1,120","1,120",667,655,655,635,633,626,All
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,3
,Robert M Mccord,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Louis J Farinella,Olivia E Brady,Leslie S Richards,Patrick J Eiding,Vince Gillen,Caren Gansman Moskowitz,3
Robert M Mccord,24,55,41,42,33,34,31,31,30,29,3
Catherine G Scott,,1,41,42,35,32,31,32,30,30,3
D Gregory Holt,,,1,41,28,29,27,27,29,28,3
Kelly Lynn Devine,,,,0,28,30,30,27,28,29,3
Louis J Farinella,,,,,0,30,29,31,29,29,3
Olivia E Brady,,,,,,0,30,28,31,30,3
Leslie S Richards,,,,,,,0,28,28,29,3
Patrick J Eiding,,,,,,,,0,28,28,3
Vince Gillen,,,,,,,,,0,29,3
Caren Gansman Moskowitz,,,,,,,,,,0,3
Total,85,60,45,45,35,35,32,32,31,30,3
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,4
,Robert M Mccord,Kelly Lynn Devine,Catherine G Scott,D Gregory Holt,Vince Gillen,Olivia E Brady,Louis J Farinella,Patrick J Eiding,Caren Gansman Moskowitz,Leslie S Richards,4
Robert M Mccord,7,27,27,25,15,14,13,13,12,12,4
Kelly Lynn Devine,,0,24,26,14,14,14,13,13,12,4
Catherine G Scott,,,0,24,14,14,13,12,12,11,4
D Gregory Holt,,,,1,15,14,14,13,13,13,4
Vince Gillen,,,,,0,15,14,13,13,13,4
Olivia E Brady,,,,,,0,14,13,13,12,4
Louis J Farinella,,,,,,,0,13,13,12,4
Patrick J Eiding,,,,,,,,0,13,12,4
Caren Gansman Moskowitz,,,,,,,,,0,12,4
Leslie S Richards,,,,,,,,,,0,4
Total,40,29,28,28,16,15,14,14,13,13,4
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,5
,Robert M Mccord,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Leslie S Richards,Olivia E Brady,Vince Gillen,Caren Gansman Moskowitz,Louis J Farinella,Patrick J Eiding,5
Robert M Mccord,8,30,26,22,17,16,16,15,15,14,5
Catherine G Scott,,3,24,25,16,17,17,16,15,15,5
D Gregory Holt,,,0,21,13,14,14,14,13,13,5
Kelly Lynn Devine,,,,1,16,16,15,15,15,15,5
Leslie S Richards,,,,,0,16,14,14,15,14,5
Olivia E Brady,,,,,,0,15,15,15,14,5
Vince Gillen,,,,,,,0,16,14,15,5
Caren Gansman Moskowitz,,,,,,,,0,14,15,5
Louis J Farinella,,,,,,,,,0,14,5
Patrick J Eiding,,,,,,,,,,0,5
Total,46,36,29,26,18,17,17,16,16,15,5
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,8
,Robert M Mccord,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Leslie S Richards,Caren Gansman Moskowitz,Olivia E Brady,Patrick J Eiding,Vince Gillen,8
Robert M Mccord,15,35,35,31,17,15,15,15,14,14,8
Catherine G Scott,,1,35,33,18,17,16,17,16,16,8
Kelly Lynn Devine,,,1,32,18,17,17,17,15,16,8
D Gregory Holt,,,,1,15,15,15,15,15,15,8
Louis J Farinella,,,,,0,17,17,17,16,16,8
Leslie S Richards,,,,,,1,16,17,15,16,8
Caren Gansman Moskowitz,,,,,,,0,16,15,15,8
Olivia E Brady,,,,,,,,0,15,16,8
Patrick J Eiding,,,,,,,,,0,15,8
Vince Gillen,,,,,,,,,,0,8
Total,58,41,41,37,19,18,17,17,16,16,8
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,9
,Robert M Mccord,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Leslie S Richards,Olivia E Brady,Patrick J Eiding,Caren Gansman Moskowitz,Vince Gillen,9
Robert M Mccord,16,66,55,55,30,29,28,29,27,24,9
Catherine G Scott,,1,58,57,33,29,29,31,28,28,9
Kelly Lynn Devine,,,2,56,29,29,27,26,28,27,9
D Gregory Holt,,,,2,28,27,27,28,27,26,9
Louis J Farinella,,,,,0,28,27,29,30,27,9
Leslie S Richards,,,,,,0,28,26,27,26,9
Olivia E Brady,,,,,,,0,25,27,27,9
Patrick J Eiding,,,,,,,,0,26,25,9
Caren Gansman Moskowitz,,,,,,,,,0,26,9
Vince Gillen,,,,,,,,,,0,9
Total,100,78,68,66,35,34,33,33,32,29,9
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,10
,Robert M Mccord,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Olivia E Brady,Caren Gansman Moskowitz,Patrick J Eiding,Leslie S Richards,Louis J Farinella,Vince Gillen,10
Robert M Mccord,9,56,48,45,27,25,25,24,24,24,10
Catherine G Scott,,3,50,48,28,27,26,26,26,25,10
Kelly Lynn Devine,,,0,48,29,27,26,26,26,26,10
D Gregory Holt,,,,0,27,26,26,25,25,24,10
Olivia E Brady,,,,,0,27,26,26,26,26,10
Caren Gansman Moskowitz,,,,,,0,26,25,25,25,10
Patrick J Eiding,,,,,,,0,24,24,24,10
Leslie S Richards,,,,,,,,0,26,25,10
Louis J Farinella,,,,,,,,,0,25,10
Vince Gillen,,,,,,,,,,0,10
Total,69,63,52,49,29,27,27,26,26,26,10
,State Treasurer - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,11
,Robert M Mccord,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Leslie S Richards,Vince Gillen,Olivia E Brady,Caren Gansman Moskowitz,Louis J Farinella,Patrick J Eiding,11
Robert M Mccord,7,70,69,63,49,48,47,45,45,44,11
Catherine G Scott,,1,73,72,51,49,48,47,47,46,11
D Gregory Holt,,,2,72,50,49,48,45,47,46,11
Kelly Lynn Devine,,,,0,48,47,46,45,46,45,11
Leslie S Richards,,,,,0,48,49,45,46,45,11
Vince Gillen,,,,,,0,48,47,46,45,11
Olivia E Brady,,,,,,,0,45,45,45,11
Caren Gansman Moskowitz,,,,,,,,0,45,45,11
Louis J Farinella,,,,,,,,,0,47,11
