col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Representative In The General Assembly 203rd District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Dwight Evans,Lamont W Thomas,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerry T Jordan,Joseph C Meade,Andrew P Toy,Jerome W Mondesire,Michelle W Singer,Nancy Astor Fox,Raye E Johnson,Stephen A Cozen,William S Leopold,Eleanor M Dezzi,Heather Steinmiller,All
Dwight Evans,22,0,86,81,70,66,66,65,60,57,53,56,53,52,56,53,56,52,52,All
Lamont W Thomas,,6,25,20,21,17,17,12,11,11,13,10,10,11,9,12,9,10,10,All
Kenyatta J Johnson,,,1,94,87,79,78,68,64,64,59,61,60,58,61,61,60,58,58,All
Blondell Reynolds Brown,,,,0,85,79,78,73,67,63,61,65,60,58,60,60,61,57,58,All
Cindy Bass,,,,,0,78,76,67,63,63,59,60,60,59,59,59,59,59,57,All
Jacquelyn Manns Smalley,,,,,,1,76,58,57,58,56,56,58,57,59,56,58,57,56,All
Mark Alan Aronchick,,,,,,,1,58,58,58,57,56,53,56,59,60,58,57,58,All
Vincent J Hughes,,,,,,,,0,69,65,62,65,59,59,60,60,62,58,59,All
Jerry T Jordan,,,,,,,,,0,63,59,60,57,59,59,58,60,57,60,All
Joseph C Meade,,,,,,,,,,0,58,59,56,57,60,60,60,58,59,All
Andrew P Toy,,,,,,,,,,,0,59,57,56,57,56,59,57,57,All
Jerome W Mondesire,,,,,,,,,,,,0,56,54,58,58,58,55,57,All
Michelle W Singer,,,,,,,,,,,,,1,58,56,54,58,55,55,All
Nancy Astor Fox,,,,,,,,,,,,,,1,59,57,58,57,58,All
Raye E Johnson,,,,,,,,,,,,,,,0,59,59,57,59,All
Stephen A Cozen,,,,,,,,,,,,,,,,0,59,57,58,All
William S Leopold,,,,,,,,,,,,,,,,,0,58,59,All
Eleanor M Dezzi,,,,,,,,,,,,,,,,,,0,57,All
Heather Steinmiller,,,,,,,,,,,,,,,,,,,0,All
Total,121,35,112,101,91,84,84,77,71,68,66,66,65,65,65,65,65,62,62,All
,Representative In The General Assembly 203rd District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,18
,Dwight Evans,Lamont W Thomas,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerry T Jordan,Joseph C Meade,Andrew P Toy,Jerome W Mondesire,Michelle W Singer,Nancy Astor Fox,Raye E Johnson,Stephen A Cozen,William S Leopold,Eleanor M Dezzi,Heather Steinmiller,18
Dwight Evans,22,0,86,81,70,66,66,65,60,57,53,56,53,52,56,53,56,52,52,18
Lamont W Thomas,,6,25,20,21,17,17,12,11,11,13,10,10,11,9,12,9,10,10,18
Kenyatta J Johnson,,,1,94,87,79,78,68,64,64,59,61,60,58,61,61,60,58,58,18
Blondell Reynolds Brown,,,,0,85,79,78,73,67,63,61,65,60,58,60,60,61,57,58,18
Cindy Bass,,,,,0,78,76,67,63,63,59,60,60,59,59,59,59,59,57,18
Jacquelyn Manns Smalley,,,,,,1,76,58,57,58,56,56,58,57,59,56,58,57,56,18
Mark Alan Aronchick,,,,,,,1,58,58,58,57,56,53,56,59,60,58,57,58,18
Vincent J Hughes,,,,,,,,0,69,65,62,65,59,59,60,60,62,58,59,18
Jerry T Jordan,,,,,,,,,0,63,59,60,57,59,59,58,60,57,60,18
Joseph C Meade,,,,,,,,,,0,58,59,56,57,60,60,60,58,59,18
Andrew P Toy,,,,,,,,,,,0,59,57,56,57,56,59,57,57,18
Jerome W Mondesire,,,,,,,,,,,,0,56,54,58,58,58,55,57,18
Michelle W Singer,,,,,,,,,,,,,1,58,56,54,58,55,55,18
Nancy Astor Fox,,,,,,,,,,,,,,1,59,57,58,57,58,18
Raye E Johnson,,,,,,,,,,,,,,,0,59,59,57,59,18
Stephen A Cozen,,,,,,,,,,,,,,,,0,59,57,58,18
William S Leopold,,,,,,,,,,,,,,,,,0,58,59,18
Eleanor M Dezzi,,,,,,,,,,,,,,,,,,0,57,18
Heather Steinmiller,,,,,,,,,,,,,,,,,,,0,18
Total,121,35,112,101,91,84,84,77,71,68,66,66,65,65,65,65,65,62,62,18
