col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In The General Assembly 174th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,All
,John A Sabatina Jr,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Vince Gillen,Olivia E Brady,Louis J Farinella,Leslie S Richards,Caren Gansman Moskowitz,Patrick J Eiding,All
John A Sabatina Jr,143,333,300,292,209,210,205,204,202,200,All
Catherine G Scott,,3,294,281,212,207,203,208,202,201,All
Kelly Lynn Devine,,,1,277,200,203,198,201,200,194,All
D Gregory Holt,,,,1,199,195,198,194,192,192,All
Vince Gillen,,,,,0,200,199,199,201,196,All
Olivia E Brady,,,,,,0,201,202,203,195,All
Louis J Farinella,,,,,,,1,197,196,198,All
Leslie S Richards,,,,,,,,0,198,194,All
Caren Gansman Moskowitz,,,,,,,,,0,196,All
Patrick J Eiding,,,,,,,,,,0,All
Total,529,354,317,308,222,221,218,217,213,212,All
,Representative In The General Assembly 174th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,4
,John A Sabatina Jr,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Louis J Farinella,Patrick J Eiding,Vince Gillen,Caren Gansman Moskowitz,Leslie S Richards,Olivia E Brady,4
John A Sabatina Jr,16,16,15,15,15,14,13,12,13,12,4
Catherine G Scott,,0,14,13,12,12,12,11,12,11,4
D Gregory Holt,,,0,13,12,12,12,10,11,10,4
Kelly Lynn Devine,,,,0,11,11,10,10,10,10,4
Louis J Farinella,,,,,0,13,12,11,11,11,4
Patrick J Eiding,,,,,,0,14,13,12,12,4
Vince Gillen,,,,,,,0,12,12,11,4
Caren Gansman Moskowitz,,,,,,,,0,11,12,4
Leslie S Richards,,,,,,,,,0,11,4
Olivia E Brady,,,,,,,,,,0,4
Total,37,16,15,15,15,15,14,13,13,12,4
,Representative In The General Assembly 174th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,5
,John A Sabatina Jr,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Olivia E Brady,Vince Gillen,Caren Gansman Moskowitz,Patrick J Eiding,Leslie S Richards,Louis J Farinella,5
John A Sabatina Jr,9,22,22,22,14,14,13,13,12,12,5
Catherine G Scott,,1,21,21,14,14,13,13,13,13,5
D Gregory Holt,,,0,21,14,14,14,14,13,13,5
Kelly Lynn Devine,,,,0,15,14,14,13,13,13,5
Olivia E Brady,,,,,0,14,14,13,13,13,5
Vince Gillen,,,,,,0,13,14,13,13,5
Caren Gansman Moskowitz,,,,,,,0,13,13,13,5
Patrick J Eiding,,,,,,,,0,13,13,5
Leslie S Richards,,,,,,,,,0,13,5
Louis J Farinella,,,,,,,,,,0,5
Total,34,24,23,23,15,15,14,14,13,13,5
,Representative In The General Assembly 174th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,6
,John A Sabatina Jr,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Leslie S Richards,Vince Gillen,Louis J Farinella,Olivia E Brady,Caren Gansman Moskowitz,Patrick J Eiding,6
John A Sabatina Jr,27,53,46,42,26,26,26,26,25,22,6
Catherine G Scott,,0,46,42,29,29,28,28,28,25,6
Kelly Lynn Devine,,,0,43,29,29,28,28,28,25,6
D Gregory Holt,,,,0,26,28,27,26,27,25,6
Leslie S Richards,,,,,0,28,27,27,26,25,6
Vince Gillen,,,,,,0,28,27,27,25,6
Louis J Farinella,,,,,,,0,25,26,24,6
Olivia E Brady,,,,,,,,0,27,25,6
Caren Gansman Moskowitz,,,,,,,,,0,25,6
Patrick J Eiding,,,,,,,,,,0,6
Total,89,57,50,46,30,30,29,29,28,25,6
,Representative In The General Assembly 174th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,7
,John A Sabatina Jr,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Olivia E Brady,Caren Gansman Moskowitz,Patrick J Eiding,Leslie S Richards,Vince Gillen,7
John A Sabatina Jr,14,39,35,34,26,26,23,23,22,22,7
Catherine G Scott,,1,34,32,23,21,22,23,21,23,7
Kelly Lynn Devine,,,0,32,23,24,23,21,22,21,7
D Gregory Holt,,,,0,21,21,20,19,21,20,7
Louis J Farinella,,,,,0,25,22,23,22,21,7
