col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,United States Senator - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,All
,Bob Casey Jr,Joseph John Vodvarka,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Patrick J Eiding,Louis J Farinella,Olivia E Brady,Vince Gillen,Leslie S Richards,Caren Gansman Moskowitz,All
Bob Casey Jr,221,0,417,390,360,272,269,267,262,259,252,All
Joseph John Vodvarka,,46,58,51,47,30,31,25,27,26,26,All
Catherine G Scott,,,4,396,379,287,284,280,280,281,274,All
Kelly Lynn Devine,,,,4,373,280,278,279,274,274,268,All
D Gregory Holt,,,,,2,274,271,263,273,267,262,All
Patrick J Eiding,,,,,,1,275,266,274,267,266,All
Louis J Farinella,,,,,,,0,262,265,265,260,All
Olivia E Brady,,,,,,,,0,264,267,266,All
Vince Gillen,,,,,,,,,0,263,261,All
Leslie S Richards,,,,,,,,,,0,263,All
Caren Gansman Moskowitz,,,,,,,,,,,0,All
Total,739,117,492,457,420,310,305,298,295,290,284,All
,United States Senator - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,1
,Bob Casey Jr,Joseph John Vodvarka,Kelly Lynn Devine,Catherine G Scott,D Gregory Holt,Olivia E Brady,Vince Gillen,Leslie S Richards,Louis J Farinella,Patrick J Eiding,Caren Gansman Moskowitz,1
Bob Casey Jr,12,0,30,26,26,23,23,22,22,22,21,1
Joseph John Vodvarka,,2,2,2,2,1,1,1,1,1,1,1
Kelly Lynn Devine,,,1,28,28,24,25,24,23,23,23,1
Catherine G Scott,,,,0,28,23,23,24,23,23,23,1
D Gregory Holt,,,,,0,23,23,24,23,23,23,1
Olivia E Brady,,,,,,0,23,23,23,22,23,1
Vince Gillen,,,,,,,0,23,23,23,22,1
Leslie S Richards,,,,,,,,0,23,23,23,1
Louis J Farinella,,,,,,,,,0,23,22,1
Patrick J Eiding,,,,,,,,,,0,22,1
Caren Gansman Moskowitz,,,,,,,,,,,0,1
Total,46,4,34,29,29,25,25,24,24,24,23,1
,United States Senator - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,2
,Bob Casey Jr,Joseph John Vodvarka,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Olivia E Brady,Leslie S Richards,Louis J Farinella,Caren Gansman Moskowitz,Patrick J Eiding,Vince Gillen,2
Bob Casey Jr,16,0,38,32,32,26,25,25,23,24,24,2
Joseph John Vodvarka,,8,6,4,4,1,1,1,2,1,1,2
Catherine G Scott,,,1,35,34,26,25,26,25,25,24,2
Kelly Lynn Devine,,,,0,32,26,24,24,24,25,25,2
D Gregory Holt,,,,,0,24,23,23,24,24,24,2
Olivia E Brady,,,,,,0,24,23,24,24,24,2
Leslie S Richards,,,,,,,0,23,24,24,23,2
Louis J Farinella,,,,,,,,0,22,24,22,2
Caren Gansman Moskowitz,,,,,,,,,0,23,23,2
Patrick J Eiding,,,,,,,,,,0,23,2
Vince Gillen,,,,,,,,,,,0,2
Total,59,14,46,37,36,27,26,26,25,25,25,2
,United States Senator - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,3
,Bob Casey Jr,Joseph John Vodvarka,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Caren Gansman Moskowitz,Leslie S Richards,Olivia E Brady,Patrick J Eiding,Vince Gillen,Louis J Farinella,3
Bob Casey Jr,11,0,22,19,19,13,12,12,12,12,11,3
Joseph John Vodvarka,,2,4,5,4,3,3,3,3,3,3,3
Catherine G Scott,,,0,20,19,15,15,15,15,15,14,3
D Gregory Holt,,,,0,19,15,15,15,14,14,14,3
Kelly Lynn Devine,,,,,0,14,14,14,14,14,14,3
Caren Gansman Moskowitz,,,,,,0,15,15,14,14,14,3
Leslie S Richards,,,,,,,0,15,14,14,14,3
Olivia E Brady,,,,,,,,0,14,14,14,3
Patrick J Eiding,,,,,,,,,0,15,14,3
Vince Gillen,,,,,,,,,,0,14,3
Louis J Farinella,,,,,,,,,,,0,3
Total,41,7,26,24,23,16,15,15,15,15,14,3
,United States Senator - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,4
,Bob Casey Jr,Joseph John Vodvarka,Kelly Lynn Devine,Catherine G Scott,D Gregory Holt,Louis J Farinella,Patrick J Eiding,Olivia E Brady,Vince Gillen,Caren Gansman Moskowitz,Leslie S Richards,4
Bob Casey Jr,17,0,23,21,17,16,14,13,12,12,10,4
Joseph John Vodvarka,,2,2,4,1,1,2,1,2,1,1,4
Kelly Lynn Devine,,,1,20,18,16,13,13,13,13,12,4
Catherine G Scott,,,,0,19,16,16,13,15,14,12,4
D Gregory Holt,,,,,0,14,13,12,12,14,12,4
Louis J Farinella,,,,,,0,15,13,13,14,12,4
Patrick J Eiding,,,,,,,0,12,14,13,12,4
Olivia E Brady,,,,,,,,0,13,12,12,4
Vince Gillen,,,,,,,,,0,12,12,4
Caren Gansman Moskowitz,,,,,,,,,,0,12,4
Leslie S Richards,,,,,,,,,,,0,4
Total,48,6,28,27,20,18,17,15,15,14,12,4
,United States Senator - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,5
