col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Representative In The General Assembly 181st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,W Curtis Thomas,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Jerome W Mondesire,Eleanor M Dezzi,Nancy Astor Fox,Stephen A Cozen,Michelle W Singer,Andrew P Toy,Joseph C Meade,Raye E Johnson,Heather Steinmiller,Jerry T Jordan,William S Leopold,All
W Curtis Thomas,182,468,427,424,400,398,287,274,273,273,270,269,268,269,269,268,268,260,All
Kenyatta J Johnson,,3,429,423,407,405,293,282,277,273,274,273,279,278,279,277,274,268,All
Blondell Reynolds Brown,,,0,412,402,399,288,279,275,271,271,270,278,275,276,276,274,267,All
Cindy Bass,,,,1,404,400,286,277,273,270,275,269,275,278,275,273,275,266,All
Mark Alan Aronchick,,,,,0,391,273,273,266,262,270,260,268,269,267,266,266,259,All
Jacquelyn Manns Smalley,,,,,,0,275,268,269,265,265,263,269,269,268,269,266,258,All
Vincent J Hughes,,,,,,,0,280,279,271,273,270,277,277,276,274,275,270,All
Jerome W Mondesire,,,,,,,,1,272,263,272,264,274,275,270,271,273,265,All
Eleanor M Dezzi,,,,,,,,,0,270,269,267,271,270,273,278,273,268,All
Nancy Astor Fox,,,,,,,,,,1,259,271,263,263,266,269,265,260,All
Stephen A Cozen,,,,,,,,,,,1,261,269,274,269,270,269,262,All
Michelle W Singer,,,,,,,,,,,,1,260,264,264,265,262,257,All
Andrew P Toy,,,,,,,,,,,,,0,275,271,271,270,267,All
Joseph C Meade,,,,,,,,,,,,,,0,271,273,272,270,All
Raye E Johnson,,,,,,,,,,,,,,,0,276,270,265,All
Heather Steinmiller,,,,,,,,,,,,,,,,1,274,267,All
Jerry T Jordan,,,,,,,,,,,,,,,,,0,267,All
William S Leopold,,,,,,,,,,,,,,,,,,0,All
Total,695,494,448,447,422,417,306,292,290,288,288,287,286,286,286,285,285,278,All
,Representative In The General Assembly 181st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,1
,W Curtis Thomas,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Joseph C Meade,Michelle W Singer,Nancy Astor Fox,Andrew P Toy,Heather Steinmiller,Raye E Johnson,Eleanor M Dezzi,Jerry T Jordan,Jerome W Mondesire,Stephen A Cozen,William S Leopold,1
W Curtis Thomas,10,53,45,45,42,40,33,31,30,31,30,30,30,29,29,28,29,28,1
Kenyatta J Johnson,,0,44,44,42,42,33,32,30,30,30,30,31,29,30,29,29,28,1
Blondell Reynolds Brown,,,0,43,41,39,31,30,29,29,30,30,29,29,29,27,27,27,1
Cindy Bass,,,,0,41,39,31,30,30,29,29,30,29,29,29,27,27,26,1
Jacquelyn Manns Smalley,,,,,0,40,30,30,29,28,29,30,29,29,28,28,28,26,1
Mark Alan Aronchick,,,,,,0,28,28,27,26,27,27,27,26,26,26,26,24,1
Vincent J Hughes,,,,,,,0,32,31,31,31,31,30,31,31,30,28,29,1
Joseph C Meade,,,,,,,,0,31,30,31,31,31,30,30,29,29,29,1
Michelle W Singer,,,,,,,,,1,31,29,31,30,30,29,27,27,28,1
Nancy Astor Fox,,,,,,,,,,0,30,30,30,30,29,27,27,29,1
Andrew P Toy,,,,,,,,,,,0,30,30,30,30,28,28,29,1
Heather Steinmiller,,,,,,,,,,,,0,31,31,30,27,28,28,1
Raye E Johnson,,,,,,,,,,,,,0,30,30,27,29,28,1
Eleanor M Dezzi,,,,,,,,,,,,,,0,30,27,27,28,1
Jerry T Jordan,,,,,,,,,,,,,,,0,28,27,28,1
Jerome W Mondesire,,,,,,,,,,,,,,,,0,26,26,1
Stephen A Cozen,,,,,,,,,,,,,,,,,0,25,1
William S Leopold,,,,,,,,,,,,,,,,,,0,1
Total,68,55,47,47,44,42,35,33,33,33,32,32,32,31,31,30,30,30,1
,Representative In The General Assembly 181st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,9
,W Curtis Thomas,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Andrew P Toy,Michelle W Singer,Nancy Astor Fox,Eleanor M Dezzi,Jerome W Mondesire,Joseph C Meade,William S Leopold,Heather Steinmiller,Jerry T Jordan,Stephen A Cozen,Raye E Johnson,9
W Curtis Thomas,14,43,39,37,36,35,24,22,21,21,21,21,21,21,20,20,20,19,9
Kenyatta J Johnson,,0,38,38,36,36,25,23,22,22,22,22,22,22,21,21,21,20,9
Cindy Bass,,,0,36,34,35,22,21,21,20,20,22,22,21,21,21,21,20,9
Blondell Reynolds Brown,,,,0,35,35,23,22,22,21,20,22,22,21,21,21,21,20,9
Mark Alan Aronchick,,,,,0,34,23,22,21,21,20,21,21,21,20,20,20,20,9
Jacquelyn Manns Smalley,,,,,,0,23,22,21,20,21,22,22,21,21,21,21,20,9
Vincent J Hughes,,,,,,,0,23,22,22,22,22,22,22,21,21,21,20,9
Andrew P Toy,,,,,,,,0,21,20,20,21,21,20,20,20,20,20,9
Michelle W Singer,,,,,,,,,0,22,20,21,21,21,21,21,20,20,9
Nancy Astor Fox,,,,,,,,,,0,20,20,20,21,20,20,19,19,9
Eleanor M Dezzi,,,,,,,,,,,0,20,20,21,20,20,19,19,9
Jerome W Mondesire,,,,,,,,,,,,0,22,21,21,21,21,20,9
Joseph C Meade,,,,,,,,,,,,,0,21,21,21,21,20,9
William S Leopold,,,,,,,,,,,,,,0,21,21,20,20,9
Heather Steinmiller,,,,,,,,,,,,,,,0,21,20,20,9
Jerry T Jordan,,,,,,,,,,,,,,,,0,20,20,9
Stephen A Cozen,,,,,,,,,,,,,,,,,0,19,9
Raye E Johnson,,,,,,,,,,,,,,,,,,0,9
Total,60,44,40,38,37,36,25,23,23,23,22,22,22,22,21,21,21,20,9
,Representative In The General Assembly 181st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,10
