col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In The General Assembly 180th District - Democrat,,,Delegate To The Democratic National Convention 13th District,,,,,,,,,All
,Angel L Cruz,Jonathan Ramos,Anthony Pernell Johnson,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Leslie S Richards,Patrick J Eiding,Vince Gillen,Olivia E Brady,Caren Gansman Moskowitz,All
Angel L Cruz,137,0,0,150,129,116,64,64,60,64,59,59,All
Jonathan Ramos,,101,0,159,119,122,65,59,58,57,57,51,All
Anthony Pernell Johnson,,,5,31,26,16,22,18,20,18,21,15,All
Catherine G Scott,,,,0,227,215,137,132,133,130,127,118,All
Kelly Lynn Devine,,,,,0,215,131,130,123,127,124,118,All
D Gregory Holt,,,,,,0,127,122,119,126,121,117,All
Louis J Farinella,,,,,,,0,127,128,130,126,118,All
Leslie S Richards,,,,,,,,0,122,125,125,118,All
Patrick J Eiding,,,,,,,,,0,124,121,116,All
Vince Gillen,,,,,,,,,,0,123,119,All
Olivia E Brady,,,,,,,,,,,0,116,All
Caren Gansman Moskowitz,,,,,,,,,,,,0,All
Total,346,288,51,345,277,258,153,142,140,140,138,125,All
,Representative In The General Assembly 180th District - Democrat,,,Delegate To The Democratic National Convention 13th District,,,,,,,,,1
,Angel L Cruz,Jonathan Ramos,Anthony Pernell Johnson,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Olivia E Brady,Patrick J Eiding,Vince Gillen,Leslie S Richards,Caren Gansman Moskowitz,1
Angel L Cruz,18,0,0,28,27,22,16,15,17,16,15,14,1
Jonathan Ramos,,4,0,12,10,9,5,6,3,4,5,4,1
Anthony Pernell Johnson,,,2,5,6,3,3,3,4,4,3,3,1
Catherine G Scott,,,,0,34,30,23,23,23,23,23,21,1
Kelly Lynn Devine,,,,,0,30,22,22,22,23,22,21,1
D Gregory Holt,,,,,,0,20,21,19,20,21,20,1
