col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,President Of The United States - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,All
,Barack Obama,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Olivia E Brady,Leslie S Richards,Vince Gillen,Patrick J Eiding,Caren Gansman Moskowitz,All
Barack Obama,"8,093","11,178","9,978","9,554","6,326","6,345","6,315","6,240","6,174","6,048",All
Catherine G Scott,,119,"9,665","9,323","6,329","6,346","6,394","6,304","6,233","6,146",All
Kelly Lynn Devine,,,86,"9,186","6,199","6,213","6,270","6,163","6,045","6,050",All
D Gregory Holt,,,,61,"6,058","5,950","6,037","6,064","5,920","5,850",All
Louis J Farinella,,,,,37,"6,019","6,105","6,080","6,078","5,908",All
Olivia E Brady,,,,,,7,"6,142","6,012","5,941","5,976",All
Leslie S Richards,,,,,,,9,"6,039","5,956","5,970",All
Vince Gillen,,,,,,,,10,"6,019","5,908",All
Patrick J Eiding,,,,,,,,,17,"5,908",All
Caren Gansman Moskowitz,,,,,,,,,,22,All
Total,"21,140","11,881","10,638","10,121","6,755","6,726","6,693","6,633","6,579","6,433",All
