col_1,col_2,col_3,division
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,All
,Robert Allen Mansfield Jr,Diana Irey Vaughan,All
Robert Allen Mansfield Jr,31,67,All
Diana Irey Vaughan,,8,All
Total,98,75,All
,State Treasurer - Republican,Representative In Congress 2nd District - Republican,1
,Diana Irey Vaughan,Robert Allen Mansfield Jr,1
Diana Irey Vaughan,0,3,1
Robert Allen Mansfield Jr,,0,1
Total,3,3,1
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,2
,Robert Allen Mansfield Jr,Diana Irey Vaughan,2
Robert Allen Mansfield Jr,1,1,2
Diana Irey Vaughan,,0,2
Total,2,1,2
,State Treasurer - Republican,Representative In Congress 2nd District - Republican,4
,Diana Irey Vaughan,Robert Allen Mansfield Jr,4
Diana Irey Vaughan,0,2,4
Robert Allen Mansfield Jr,,0,4
Total,2,2,4
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,5
,Robert Allen Mansfield Jr,Diana Irey Vaughan,5
Robert Allen Mansfield Jr,1,1,5
Diana Irey Vaughan,,0,5
Total,2,1,5
,State Treasurer - Republican,Representative In Congress 2nd District - Republican,6
,Diana Irey Vaughan,Robert Allen Mansfield Jr,6
Diana Irey Vaughan,0,2,6
Robert Allen Mansfield Jr,,0,6
Total,2,2,6
,State Treasurer - Republican,Representative In Congress 2nd District - Republican,7
,Diana Irey Vaughan,Robert Allen Mansfield Jr,7
Diana Irey Vaughan,2,5,7
Robert Allen Mansfield Jr,,1,7
Total,7,6,7
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,8
,Robert Allen Mansfield Jr,Diana Irey Vaughan,8
Robert Allen Mansfield Jr,1,1,8
Diana Irey Vaughan,,0,8
Total,2,1,8
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,9
,Robert Allen Mansfield Jr,Diana Irey Vaughan,9
Robert Allen Mansfield Jr,2,4,9
Diana Irey Vaughan,,0,9
Total,6,4,9
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,10
,Robert Allen Mansfield Jr,Diana Irey Vaughan,10
Robert Allen Mansfield Jr,9,7,10
Diana Irey Vaughan,,2,10
Total,16,9,10
,State Treasurer - Republican,Representative In Congress 2nd District - Republican,12
,Diana Irey Vaughan,Robert Allen Mansfield Jr,12
Diana Irey Vaughan,2,9,12
Robert Allen Mansfield Jr,,1,12
Total,11,10,12
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,13
,Robert Allen Mansfield Jr,Diana Irey Vaughan,13
Robert Allen Mansfield Jr,2,2,13
Diana Irey Vaughan,,0,13
Total,4,2,13
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,14
,Robert Allen Mansfield Jr,Diana Irey Vaughan,14
Robert Allen Mansfield Jr,2,4,14
Diana Irey Vaughan,,0,14
Total,6,4,14
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,15
,Robert Allen Mansfield Jr,Diana Irey Vaughan,15
Robert Allen Mansfield Jr,3,3,15
Diana Irey Vaughan,,0,15
Total,6,3,15
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,16
,Robert Allen Mansfield Jr,Diana Irey Vaughan,16
Robert Allen Mansfield Jr,1,1,16
Diana Irey Vaughan,,0,16
Total,2,1,16
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,17
,Robert Allen Mansfield Jr,Diana Irey Vaughan,17
Robert Allen Mansfield Jr,1,2,17
Diana Irey Vaughan,,0,17
Total,3,2,17
,State Treasurer - Republican,Representative In Congress 2nd District - Republican,18
,Diana Irey Vaughan,Robert Allen Mansfield Jr,18
Diana Irey Vaughan,0,1,18
Robert Allen Mansfield Jr,,0,18
Total,1,1,18
,State Treasurer - Republican,Representative In Congress 2nd District - Republican,19
,Diana Irey Vaughan,Robert Allen Mansfield Jr,19
Diana Irey Vaughan,1,2,19
Robert Allen Mansfield Jr,,1,19
Total,3,3,19
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,20
,Robert Allen Mansfield Jr,Diana Irey Vaughan,20
Robert Allen Mansfield Jr,3,3,20
Diana Irey Vaughan,,0,20
Total,6,3,20
,Representative In Congress 2nd District - Republican,State Treasurer - Republican,22
,Robert Allen Mansfield Jr,Diana Irey Vaughan,22
Robert Allen Mansfield Jr,2,14,22
Diana Irey Vaughan,,1,22
Total,16,15,22
