col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 202nd District - Democrat,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Jerome W Mondesire,Stephen A Cozen,Michelle W Singer,Jerry T Jordan,Raye E Johnson,Joseph C Meade,Andrew P Toy,Nancy Astor Fox,Eleanor M Dezzi,Heather Steinmiller,William S Leopold,Mark B Cohen,Numa F St Louis,All
Kenyatta J Johnson,2,"1,498","1,460","1,312","1,322",933,872,851,847,826,824,824,826,805,806,803,784,937,852,All
Blondell Reynolds Brown,,1,"1,407","1,285","1,276",905,844,823,820,808,800,804,803,777,781,776,774,838,756,All
Cindy Bass,,,0,"1,268","1,286",895,839,820,813,800,802,807,803,779,784,784,770,792,762,All
Mark Alan Aronchick,,,,0,"1,211",786,763,774,745,749,748,762,764,733,746,739,739,688,663,All
Jacquelyn Manns Smalley,,,,,0,805,783,786,766,757,760,767,768,749,753,758,740,690,652,All
Vincent J Hughes,,,,,,0,846,826,812,803,800,807,813,777,782,778,767,538,449,All
Jerome W Mondesire,,,,,,,0,812,779,793,788,797,790,753,770,763,757,488,415,All
Stephen A Cozen,,,,,,,,2,779,787,794,800,794,766,769,770,770,486,404,All
Michelle W Singer,,,,,,,,,0,776,783,768,758,792,773,775,765,474,407,All
Jerry T Jordan,,,,,,,,,,0,778,772,760,752,768,774,773,458,399,All
Raye E Johnson,,,,,,,,,,,0,769,759,763,775,770,768,450,403,All
Joseph C Meade,,,,,,,,,,,,0,777,749,760,765,758,450,402,All
Andrew P Toy,,,,,,,,,,,,,0,744,756,754,752,458,392,All
Nancy Astor Fox,,,,,,,,,,,,,,0,759,755,743,440,390,All
Eleanor M Dezzi,,,,,,,,,,,,,,,0,782,764,441,388,All
Heather Steinmiller,,,,,,,,,,,,,,,,0,769,436,389,All
William S Leopold,,,,,,,,,,,,,,,,,0,422,385,All
Mark B Cohen,,,,,,,,,,,,,,,,,,517,0,All
Numa F St Louis,,,,,,,,,,,,,,,,,,,338,All
Total,"1,805","1,612","1,571","1,360","1,356",998,913,901,891,866,862,860,857,839,837,834,815,"1,592","1,315",All
