col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,Shirley M Kitchen,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Elizabeth A Washo,Mindy M Posoff,Christine M Tartaglione,Kathryn Sylvia Huggins,Sekela Coles,Deborah E Landau,Thaddeus Kirkland,All
Shirley M Kitchen,21,77,75,67,66,67,49,46,45,44,44,All
Anthony Hardy Williams,,1,71,72,70,70,51,50,48,48,47,All
Ted Kirsch,,,0,70,68,68,47,48,47,46,46,All
Ryan N Boyer,,,,1,69,69,46,48,47,46,46,All
Elizabeth A Washo,,,,,0,68,45,47,46,45,44,All
Mindy M Posoff,,,,,,0,46,48,46,46,45,All
Christine M Tartaglione,,,,,,,0,48,46,47,48,All
Kathryn Sylvia Huggins,,,,,,,,0,49,48,47,All
Sekela Coles,,,,,,,,,0,46,46,All
Deborah E Landau,,,,,,,,,,0,45,All
Thaddeus Kirkland,,,,,,,,,,,0,All
Total,113,84,84,74,72,71,54,52,50,49,48,All
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,9
,Shirley M Kitchen,Anthony Hardy Williams,Ted Kirsch,Elizabeth A Washo,Mindy M Posoff,Ryan N Boyer,Christine M Tartaglione,Kathryn Sylvia Huggins,Deborah E Landau,Sekela Coles,Thaddeus Kirkland,9
Shirley M Kitchen,17,55,53,50,49,49,37,33,33,33,33,9
Anthony Hardy Williams,,1,50,51,50,50,38,35,35,34,35,9
Ted Kirsch,,,0,49,49,49,34,34,33,34,34,9
Elizabeth A Washo,,,,0,50,50,35,34,34,33,34,9
Mindy M Posoff,,,,,0,49,35,34,34,33,34,9
Ryan N Boyer,,,,,,0,34,33,33,33,34,9
Christine M Tartaglione,,,,,,,0,35,35,34,35,9
Kathryn Sylvia Huggins,,,,,,,,0,34,34,34,9
Deborah E Landau,,,,,,,,,0,33,33,9
Sekela Coles,,,,,,,,,,0,34,9
Thaddeus Kirkland,,,,,,,,,,,0,9
Total,81,58,56,52,51,51,39,36,35,35,35,9
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,14
,Shirley M Kitchen,Ted Kirsch,Anthony Hardy Williams,Ryan N Boyer,Elizabeth A Washo,Mindy M Posoff,Kathryn Sylvia Huggins,Christine M Tartaglione,Sekela Coles,Deborah E Landau,Thaddeus Kirkland,14
Shirley M Kitchen,4,22,22,18,16,18,13,12,12,11,11,14
Ted Kirsch,,0,21,21,19,19,14,13,13,13,12,14
Anthony Hardy Williams,,,0,22,19,20,15,13,14,13,12,14
Ryan N Boyer,,,,1,19,20,15,12,14,13,12,14
Elizabeth A Washo,,,,,0,18,13,10,13,11,10,14
Mindy M Posoff,,,,,,0,14,11,13,12,11,14
Kathryn Sylvia Huggins,,,,,,,0,13,15,14,13,14
Christine M Tartaglione,,,,,,,,0,12,12,13,14
Sekela Coles,,,,,,,,,0,13,12,14
Deborah E Landau,,,,,,,,,,0,12,14
Thaddeus Kirkland,,,,,,,,,,,0,14
Total,32,28,26,23,20,20,16,15,15,14,13,14
