col_1,col_2,col_3,division
,Auditor General - Republican,,All
,John Maher,Frank A Pinto,All
John Maher,244,0,All
Frank A Pinto,,210,All
Total,244,210,All
,Auditor General - Republican,,1
,John Maher,Frank A Pinto,1
John Maher,7,0,1
Frank A Pinto,,4,1
Total,7,4,1
,Auditor General - Republican,,2
,John Maher,Frank A Pinto,2
John Maher,8,0,2
Frank A Pinto,,3,2
Total,8,3,2
,Auditor General - Republican,,3
,John Maher,Frank A Pinto,3
John Maher,12,0,3
Frank A Pinto,,4,3
Total,12,4,3
,Auditor General - Republican,,4
,John Maher,Frank A Pinto,4
John Maher,7,0,4
Frank A Pinto,,6,4
Total,7,6,4
,Auditor General - Republican,,5
,John Maher,Frank A Pinto,5
John Maher,9,0,5
Frank A Pinto,,5,5
Total,9,5,5
,Auditor General - Republican,,6
,Frank A Pinto,John Maher,6
Frank A Pinto,9,0,6
John Maher,,7,6
Total,9,7,6
,Auditor General - Republican,,7
,John Maher,Frank A Pinto,7
John Maher,10,0,7
Frank A Pinto,,8,7
Total,10,8,7
,Auditor General - Republican,,8
,John Maher,Frank A Pinto,8
John Maher,8,0,8
Frank A Pinto,,5,8
Total,8,5,8
,Auditor General - Republican,,9
,Frank A Pinto,John Maher,9
Frank A Pinto,8,0,9
John Maher,,6,9
Total,8,6,9
,Auditor General - Republican,,10
,John Maher,Frank A Pinto,10
John Maher,6,0,10
Frank A Pinto,,5,10
Total,6,5,10
,Auditor General - Republican,,11
,John Maher,Frank A Pinto,11
John Maher,6,0,11
Frank A Pinto,,2,11
Total,6,2,11
,Auditor General - Republican,,12
,Frank A Pinto,John Maher,12
Frank A Pinto,7,0,12
John Maher,,4,12
Total,7,4,12
,Auditor General - Republican,,13
,John Maher,Frank A Pinto,13
John Maher,12,0,13
Frank A Pinto,,3,13
Total,12,3,13
,Auditor General - Republican,,14
,John Maher,Frank A Pinto,14
John Maher,8,0,14
Frank A Pinto,,5,14
Total,8,5,14
,Auditor General - Republican,,15
,Frank A Pinto,John Maher,15
Frank A Pinto,13,0,15
John Maher,,9,15
Total,13,9,15
,Auditor General - Republican,,16
,Frank A Pinto,John Maher,16
Frank A Pinto,10,0,16
John Maher,,10,16
Total,10,10,16
,Auditor General - Republican,,17
,John Maher,Frank A Pinto,17
John Maher,18,0,17
Frank A Pinto,,5,17
Total,18,5,17
,Auditor General - Republican,,18
,Frank A Pinto,John Maher,18
Frank A Pinto,21,0,18
John Maher,,6,18
Total,21,6,18
,Auditor General - Republican,,19
,Frank A Pinto,John Maher,19
Frank A Pinto,8,0,19
John Maher,,3,19
Total,8,3,19
,Auditor General - Republican,,20
,John Maher,Frank A Pinto,20
John Maher,7,0,20
Frank A Pinto,,5,20
Total,7,5,20
,Auditor General - Republican,,21
,John Maher,Frank A Pinto,21
John Maher,13,0,21
Frank A Pinto,,11,21
Total,13,11,21
,Auditor General - Republican,,22
,Frank A Pinto,John Maher,22
Frank A Pinto,5,0,22
John Maher,,2,22
Total,5,2,22
,Auditor General - Republican,,23
,Frank A Pinto,John Maher,23
Frank A Pinto,7,0,23
John Maher,,6,23
Total,7,6,23
,Auditor General - Republican,,24
,John Maher,Frank A Pinto,24
John Maher,14,0,24
Frank A Pinto,,8,24
Total,14,8,24
,Auditor General - Republican,,25
,John Maher,Frank A Pinto,25
John Maher,13,0,25
Frank A Pinto,,6,25
Total,13,6,25
,Auditor General - Republican,,26
,Frank A Pinto,John Maher,26
Frank A Pinto,7,0,26
John Maher,,6,26
Total,7,6,26
,Auditor General - Republican,,27
,Frank A Pinto,John Maher,27
Frank A Pinto,1,0,27
John Maher,,1,27
Total,1,1,27
,Auditor General - Republican,,28
,Frank A Pinto,John Maher,28
Frank A Pinto,7,0,28
John Maher,,4,28
Total,7,4,28
,Auditor General - Republican,,29
,Frank A Pinto,John Maher,29
Frank A Pinto,20,0,29
John Maher,,19,29
Total,20,19,29
,Auditor General - Republican,,30
,John Maher,Frank A Pinto,30
John Maher,3,0,30
Frank A Pinto,,2,30
Total,3,2,30
