col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Representative In Congress 2nd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Chaka Fattah,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Stephen A Cozen,Andrew P Toy,Joseph C Meade,Raye E Johnson,Jerry T Jordan,Eleanor M Dezzi,Michelle W Singer,Nancy Astor Fox,Heather Steinmiller,William S Leopold,All
Chaka Fattah,629,"1,033",932,907,812,793,568,513,501,498,493,486,484,473,472,475,471,455,All
Kenyatta J Johnson,,6,876,870,813,790,531,495,485,486,476,481,477,466,464,463,467,455,All
Cindy Bass,,,3,829,797,766,513,477,475,469,472,473,468,457,454,455,459,446,All
Blondell Reynolds Brown,,,,6,769,763,520,483,476,465,471,472,466,453,450,450,456,448,All
Jacquelyn Manns Smalley,,,,,3,741,471,445,451,452,448,447,435,440,433,431,441,432,All
Mark Alan Aronchick,,,,,,3,453,447,450,445,446,443,436,435,419,426,435,429,All
Vincent J Hughes,,,,,,,0,491,481,482,486,470,468,460,456,453,460,450,All
Jerome W Mondesire,,,,,,,,1,471,463,476,456,452,452,439,445,452,438,All
Stephen A Cozen,,,,,,,,,1,473,474,463,450,456,441,446,455,446,All
Andrew P Toy,,,,,,,,,,0,471,455,452,446,437,435,445,445,All
Joseph C Meade,,,,,,,,,,,0,462,451,451,442,445,454,444,All
Raye E Johnson,,,,,,,,,,,,0,459,464,450,455,466,457,All
Jerry T Jordan,,,,,,,,,,,,,1,448,440,440,445,443,All
Eleanor M Dezzi,,,,,,,,,,,,,,0,437,445,456,444,All
Michelle W Singer,,,,,,,,,,,,,,,0,451,442,431,All
Nancy Astor Fox,,,,,,,,,,,,,,,,0,451,435,All
Heather Steinmiller,,,,,,,,,,,,,,,,,0,448,All
William S Leopold,,,,,,,,,,,,,,,,,,0,All
Total,"1,842","1,069",960,941,838,817,580,529,519,511,508,503,497,488,487,487,486,465,All
,Representative In Congress 2nd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,1
,Chaka Fattah,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Joseph C Meade,Michelle W Singer,Eleanor M Dezzi,Nancy Astor Fox,Raye E Johnson,Andrew P Toy,Heather Steinmiller,Jerry T Jordan,Stephen A Cozen,William S Leopold,1
Chaka Fattah,12,35,29,25,25,21,17,14,14,14,13,13,13,12,12,12,11,11,1
Kenyatta J Johnson,,0,28,27,26,22,18,15,15,15,14,14,14,13,13,12,12,12,1
Blondell Reynolds Brown,,,0,25,24,22,15,13,14,14,13,13,14,13,12,12,11,12,1
Cindy Bass,,,,0,25,22,14,14,14,13,13,13,13,12,13,12,12,11,1
Jacquelyn Manns Smalley,,,,,0,22,13,13,13,12,13,12,13,12,12,12,11,11,1
Mark Alan Aronchick,,,,,,1,12,12,12,12,11,12,12,12,11,11,11,10,1
Vincent J Hughes,,,,,,,0,15,14,15,13,13,12,13,12,11,12,11,1
Jerome W Mondesire,,,,,,,,0,14,14,13,12,12,13,12,11,12,11,1
Joseph C Meade,,,,,,,,,0,14,13,12,13,13,13,12,12,12,1
Michelle W Singer,,,,,,,,,,0,12,13,12,13,12,11,12,11,1
Eleanor M Dezzi,,,,,,,,,,,0,11,13,12,11,12,11,12,1
Nancy Astor Fox,,,,,,,,,,,,0,12,11,11,11,12,10,1
Raye E Johnson,,,,,,,,,,,,,0,12,11,12,11,12,1
Andrew P Toy,,,,,,,,,,,,,,0,11,11,11,11,1
Heather Steinmiller,,,,,,,,,,,,,,,0,11,11,11,1
Jerry T Jordan,,,,,,,,,,,,,,,,0,11,11,1
Stephen A Cozen,,,,,,,,,,,,,,,,,0,10,1
William S Leopold,,,,,,,,,,,,,,,,,,0,1
Total,53,37,31,27,27,24,18,15,15,15,14,14,14,13,13,13,12,12,1
,Representative In Congress 2nd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,2
,Chaka Fattah,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Joseph C Meade,Raye E Johnson,Stephen A Cozen,Andrew P Toy,Heather Steinmiller,Jerry T Jordan,Eleanor M Dezzi,Michelle W Singer,Nancy Astor Fox,William S Leopold,2
Chaka Fattah,34,57,48,45,42,37,24,19,17,17,17,17,16,17,15,16,14,13,2
Kenyatta J Johnson,,1,44,43,44,37,22,18,17,18,18,17,17,16,16,15,15,13,2
Blondell Reynolds Brown,,,0,40,39,34,19,16,15,15,14,15,14,13,14,13,14,12,2
Cindy Bass,,,,0,39,36,19,16,16,16,14,15,15,15,15,14,14,13,2
Jacquelyn Manns Smalley,,,,,0,35,18,17,15,15,15,15,15,14,15,13,14,13,2
Mark Alan Aronchick,,,,,,0,14,12,14,14,14,14,13,14,13,12,12,12,2
Vincent J Hughes,,,,,,,0,17,17,16,15,16,16,14,15,14,14,13,2
Jerome W Mondesire,,,,,,,,0,15,14,15,13,14,14,15,13,13,11,2
Joseph C Meade,,,,,,,,,0,16,16,15,15,13,15,12,14,12,2
Raye E Johnson,,,,,,,,,,0,16,16,16,14,15,12,15,13,2
Stephen A Cozen,,,,,,,,,,,0,15,15,15,15,13,14,12,2
Andrew P Toy,,,,,,,,,,,,0,14,14,13,12,13,13,2
Heather Steinmiller,,,,,,,,,,,,,0,13,15,13,15,13,2
Jerry T Jordan,,,,,,,,,,,,,,0,13,14,12,12,2
Eleanor M Dezzi,,,,,,,,,,,,,,,0,13,14,12,2
Michelle W Singer,,,,,,,,,,,,,,,,0,12,11,2
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,12,2
William S Leopold,,,,,,,,,,,,,,,,,,0,2
Total,101,60,49,47,44,38,24,20,18,18,18,17,17,17,16,16,15,13,2
,Representative In Congress 2nd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,3
,Chaka Fattah,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Heather Steinmiller,Jerome W Mondesire,Raye E Johnson,Eleanor M Dezzi,Nancy Astor Fox,Stephen A Cozen,Andrew P Toy,Jerry T Jordan,Joseph C Meade,Michelle W Singer,William S Leopold,3
Chaka Fattah,46,40,34,33,32,29,27,26,26,26,25,25,25,24,24,24,24,24,3
Kenyatta J Johnson,,0,37,35,33,32,29,27,27,27,26,26,27,26,26,25,26,26,3
Cindy Bass,,,0,35,33,32,29,26,27,26,25,25,26,26,26,25,26,26,3
Blondell Reynolds Brown,,,,0,33,32,28,27,28,27,26,26,26,26,26,26,26,26,3
Mark Alan Aronchick,,,,,0,30,25,26,26,26,26,26,25,25,25,26,25,25,3
Jacquelyn Manns Smalley,,,,,,1,25,24,24,24,23,23,24,24,23,23,24,24,3
Vincent J Hughes,,,,,,,0,26,27,26,25,25,26,26,26,25,26,26,3
Heather Steinmiller,,,,,,,,0,26,28,27,27,27,26,25,26,25,26,3
Jerome W Mondesire,,,,,,,,,0,26,26,26,25,25,26,26,26,25,3
Raye E Johnson,,,,,,,,,,0,27,27,27,26,25,26,25,26,3
Eleanor M Dezzi,,,,,,,,,,,0,27,26,25,25,26,25,25,3
Nancy Astor Fox,,,,,,,,,,,,0,26,25,25,26,25,25,3
Stephen A Cozen,,,,,,,,,,,,,0,26,25,25,25,26,3
Andrew P Toy,,,,,,,,,,,,,,0,25,25,25,26,3
Jerry T Jordan,,,,,,,,,,,,,,,0,25,25,25,3
Joseph C Meade,,,,,,,,,,,,,,,,0,25,25,3
Michelle W Singer,,,,,,,,,,,,,,,,,0,25,3
William S Leopold,,,,,,,,,,,,,,,,,,0,3
Total,88,43,37,36,35,33,29,28,28,28,27,27,27,26,26,26,26,26,3
,Representative In Congress 2nd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,4
,Chaka Fattah,Cindy Bass,Kenyatta J Johnson,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Vincent J Hughes,Michelle W Singer,Jerome W Mondesire,Jerry T Jordan,Mark Alan Aronchick,Raye E Johnson,Stephen A Cozen,Andrew P Toy,Eleanor M Dezzi,Heather Steinmiller,William S Leopold,Joseph C Meade,Nancy Astor Fox,4
Chaka Fattah,16,23,23,20,19,18,17,15,15,15,15,15,14,14,14,14,13,14,4
Cindy Bass,,0,20,19,19,17,17,15,16,16,15,16,15,15,15,15,14,14,4
Kenyatta J Johnson,,,0,20,20,19,17,16,15,16,15,16,15,15,15,15,14,14,4
Blondell Reynolds Brown,,,,0,17,17,15,16,15,16,14,15,14,14,14,14,13,14,4
Jacquelyn Manns Smalley,,,,,0,16,16,14,14,15,14,15,14,14,14,14,13,13,4
Vincent J Hughes,,,,,,0,16,16,15,14,15,16,15,15,15,15,14,13,4
Michelle W Singer,,,,,,,0,14,14,14,14,15,14,14,14,14,13,14,4
Jerome W Mondesire,,,,,,,,0,14,14,14,15,14,14,14,14,13,13,4
Jerry T Jordan,,,,,,,,,0,14,15,15,14,15,15,15,13,13,4
Mark Alan Aronchick,,,,,,,,,,0,14,14,14,14,14,14,13,14,4
Raye E Johnson,,,,,,,,,,,0,15,14,15,15,15,13,13,4
Stephen A Cozen,,,,,,,,,,,,0,14,15,15,15,13,13,4
Andrew P Toy,,,,,,,,,,,,,0,14,14,14,14,13,4
Eleanor M Dezzi,,,,,,,,,,,,,,0,15,15,13,13,4
Heather Steinmiller,,,,,,,,,,,,,,,0,15,13,13,4
William S Leopold,,,,,,,,,,,,,,,,0,13,13,4
Joseph C Meade,,,,,,,,,,,,,,,,,0,12,4
Nancy Astor Fox,,,,,,,,,,,,,,,,,,0,4
Total,44,24,24,21,20,19,17,16,16,16,16,16,15,15,15,15,14,14,4
,Representative In Congress 2nd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,5
,Chaka Fattah,Kenyatta J Johnson,Cindy Bass,Jacquelyn Manns Smalley,Blondell Reynolds Brown,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Jerry T Jordan,Eleanor M Dezzi,Michelle W Singer,Nancy Astor Fox,Raye E Johnson,Andrew P Toy,Heather Steinmiller,Stephen A Cozen,William S Leopold,Joseph C Meade,5
Chaka Fattah,23,36,33,29,29,24,20,17,18,18,17,18,18,16,17,16,17,14,5
Kenyatta J Johnson,,0,28,28,27,24,17,17,18,17,16,18,18,16,16,15,17,14,5
Cindy Bass,,,0,28,25,24,18,16,17,18,17,17,18,16,17,16,17,14,5
Jacquelyn Manns Smalley,,,,1,25,23,17,16,16,18,17,17,17,16,17,16,17,14,5
Blondell Reynolds Brown,,,,,0,24,19,16,17,16,15,16,17,15,16,15,16,14,5
Mark Alan Aronchick,,,,,,0,16,15,16,15,14,15,16,14,15,14,15,14,5
Vincent J Hughes,,,,,,,0,17,17,17,16,16,17,16,17,17,16,15,5
Jerome W Mondesire,,,,,,,,0,18,16,16,17,16,16,16,16,16,15,5
Jerry T Jordan,,,,,,,,,0,16,16,17,17,15,16,15,16,14,5
Eleanor M Dezzi,,,,,,,,,,0,17,17,17,16,17,16,17,14,5
Michelle W Singer,,,,,,,,,,,0,16,16,15,16,15,16,14,5
Nancy Astor Fox,,,,,,,,,,,,0,17,16,16,15,17,14,5
Raye E Johnson,,,,,,,,,,,,,0,16,16,15,17,14,5
Andrew P Toy,,,,,,,,,,,,,,0,15,16,16,14,5
Heather Steinmiller,,,,,,,,,,,,,,,0,16,16,14,5
Stephen A Cozen,,,,,,,,,,,,,,,,0,15,14,5
William S Leopold,,,,,,,,,,,,,,,,,0,14,5
Joseph C Meade,,,,,,,,,,,,,,,,,,0,5
Total,66,36,33,30,29,24,21,19,19,18,18,18,18,17,17,17,17,15,5
,Representative In Congress 2nd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,6
,Chaka Fattah,Blondell Reynolds Brown,Cindy Bass,Kenyatta J Johnson,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerry T Jordan,Andrew P Toy,Michelle W Singer,Stephen A Cozen,Jerome W Mondesire,Raye E Johnson,Eleanor M Dezzi,Joseph C Meade,Heather Steinmiller,William S Leopold,Nancy Astor Fox,6
Chaka Fattah,17,46,46,46,35,34,29,25,24,24,24,23,23,22,22,21,21,20,6
Blondell Reynolds Brown,,0,37,38,32,31,26,23,21,23,22,21,22,21,21,21,20,20,6
Cindy Bass,,,0,42,33,32,26,22,21,21,20,21,21,19,20,18,18,18,6
Kenyatta J Johnson,,,,0,34,34,25,24,23,23,22,20,23,21,21,20,20,19,6
Jacquelyn Manns Smalley,,,,,0,32,21,19,20,19,20,17,19,19,19,19,19,18,6
Mark Alan Aronchick,,,,,,0,20,20,21,20,21,17,20,20,19,20,20,18,6
Vincent J Hughes,,,,,,,0,23,23,22,22,22,22,21,21,19,20,19,6
Jerry T Jordan,,,,,,,,0,23,23,22,21,23,22,22,20,21,19,6
Andrew P Toy,,,,,,,,,0,22,23,20,22,22,21,20,21,19,6
Michelle W Singer,,,,,,,,,,0,22,21,23,21,20,21,20,20,6
Stephen A Cozen,,,,,,,,,,,0,20,21,22,21,21,21,20,6
Jerome W Mondesire,,,,,,,,,,,,0,20,19,19,18,18,18,6
Raye E Johnson,,,,,,,,,,,,,0,21,20,20,20,19,6
Eleanor M Dezzi,,,,,,,,,,,,,,0,21,20,21,19,6
