col_1,col_2,col_3,division
,President Of The United States - Democrat,State Treasurer - Democrat,All
,Barack Obama,Robert M Mccord,All
Barack Obama,470,"1,439",All
Robert M Mccord,,30,All
Total,"1,909","1,469",All
,President Of The United States - Democrat,State Treasurer - Democrat,1
,Barack Obama,Robert M Mccord,1
Barack Obama,51,103,1
Robert M Mccord,,1,1
Total,154,104,1
,President Of The United States - Democrat,State Treasurer - Democrat,2
,Barack Obama,Robert M Mccord,2
Barack Obama,24,72,2
Robert M Mccord,,2,2
Total,96,74,2
,President Of The United States - Democrat,State Treasurer - Democrat,3
,Barack Obama,Robert M Mccord,3
Barack Obama,14,79,3
Robert M Mccord,,2,3
Total,93,81,3
,President Of The United States - Democrat,State Treasurer - Democrat,4
,Barack Obama,Robert M Mccord,4
Barack Obama,22,56,4
Robert M Mccord,,0,4
Total,78,56,4
,President Of The United States - Democrat,State Treasurer - Democrat,5
,Barack Obama,Robert M Mccord,5
Barack Obama,15,54,5
Robert M Mccord,,0,5
Total,69,54,5
,President Of The United States - Democrat,State Treasurer - Democrat,6
,Barack Obama,Robert M Mccord,6
Barack Obama,22,100,6
Robert M Mccord,,2,6
Total,122,102,6
,President Of The United States - Democrat,State Treasurer - Democrat,7
,Barack Obama,Robert M Mccord,7
Barack Obama,29,141,7
Robert M Mccord,,3,7
Total,170,144,7
,President Of The United States - Democrat,State Treasurer - Democrat,8
,Barack Obama,Robert M Mccord,8
Barack Obama,21,149,8
Robert M Mccord,,4,8
Total,170,153,8
,President Of The United States - Democrat,State Treasurer - Democrat,9
,Barack Obama,Robert M Mccord,9
Barack Obama,31,96,9
Robert M Mccord,,2,9
Total,127,98,9
,President Of The United States - Democrat,State Treasurer - Democrat,10
,Barack Obama,Robert M Mccord,10
Barack Obama,17,43,10
Robert M Mccord,,0,10
Total,60,43,10
,President Of The United States - Democrat,State Treasurer - Democrat,11
,Barack Obama,Robert M Mccord,11
Barack Obama,24,34,11
Robert M Mccord,,4,11
Total,58,38,11
,President Of The United States - Democrat,State Treasurer - Democrat,12
,Barack Obama,Robert M Mccord,12
Barack Obama,42,75,12
Robert M Mccord,,0,12
Total,117,75,12
,President Of The United States - Democrat,State Treasurer - Democrat,13
,Barack Obama,Robert M Mccord,13
Barack Obama,34,70,13
Robert M Mccord,,0,13
Total,104,70,13
,President Of The United States - Democrat,State Treasurer - Democrat,14
,Barack Obama,Robert M Mccord,14
Barack Obama,33,70,14
Robert M Mccord,,1,14
Total,103,71,14
,President Of The United States - Democrat,State Treasurer - Democrat,15
,Barack Obama,Robert M Mccord,15
Barack Obama,29,100,15
Robert M Mccord,,2,15
Total,129,102,15
,President Of The United States - Democrat,State Treasurer - Democrat,16
,Barack Obama,Robert M Mccord,16
Barack Obama,22,100,16
Robert M Mccord,,4,16
Total,122,104,16
,President Of The United States - Democrat,State Treasurer - Democrat,17
,Barack Obama,Robert M Mccord,17
Barack Obama,40,97,17
Robert M Mccord,,3,17
Total,137,100,17
