col_1,col_2,division
,Attorney General - Republican,All
,David J Freed,All
David J Freed,374,All
Total,374,All
,Attorney General - Republican,1
,David J Freed,1
David J Freed,32,1
Total,32,1
,Attorney General - Republican,2
,David J Freed,2
David J Freed,22,2
Total,22,2
,Attorney General - Republican,3
,David J Freed,3
David J Freed,32,3
Total,32,3
,Attorney General - Republican,4
,David J Freed,4
David J Freed,20,4
Total,20,4
,Attorney General - Republican,5
,David J Freed,5
David J Freed,13,5
Total,13,5
,Attorney General - Republican,6
,David J Freed,6
David J Freed,9,6
Total,9,6
,Attorney General - Republican,7
,David J Freed,7
David J Freed,11,7
Total,11,7
,Attorney General - Republican,8
,David J Freed,8
David J Freed,10,8
Total,10,8
,Attorney General - Republican,9
,David J Freed,9
David J Freed,7,9
Total,7,9
,Attorney General - Republican,10
,David J Freed,10
David J Freed,17,10
Total,17,10
,Attorney General - Republican,11
,David J Freed,11
David J Freed,11,11
Total,11,11
,Attorney General - Republican,12
,David J Freed,12
David J Freed,14,12
Total,14,12
,Attorney General - Republican,13
,David J Freed,13
David J Freed,4,13
Total,4,13
,Attorney General - Republican,14
,David J Freed,14
David J Freed,9,14
Total,9,14
,Attorney General - Republican,15
,David J Freed,15
David J Freed,7,15
Total,7,15
,Attorney General - Republican,16
,David J Freed,16
David J Freed,9,16
Total,9,16
,Attorney General - Republican,17
,David J Freed,17
David J Freed,10,17
Total,10,17
,Attorney General - Republican,18
,David J Freed,18
David J Freed,38,18
Total,38,18
,Attorney General - Republican,19
,David J Freed,19
David J Freed,25,19
Total,25,19
,Attorney General - Republican,20
,David J Freed,20
David J Freed,3,20
Total,3,20
,Attorney General - Republican,21
,David J Freed,21
David J Freed,15,21
Total,15,21
,Attorney General - Republican,22
,David J Freed,22
David J Freed,12,22
Total,12,22
,Attorney General - Republican,23
,David J Freed,23
David J Freed,1,23
Total,1,23
,Attorney General - Republican,24
,David J Freed,24
David J Freed,9,24
Total,9,24
,Attorney General - Republican,25
,David J Freed,25
David J Freed,5,25
Total,5,25
,Attorney General - Republican,26
,David J Freed,26
David J Freed,11,26
Total,11,26
,Attorney General - Republican,27
,David J Freed,27
David J Freed,13,27
Total,13,27
,Attorney General - Republican,28
,David J Freed,28
David J Freed,4,28
Total,4,28
,Attorney General - Republican,29
,David J Freed,29
David J Freed,1,29
Total,1,29
