col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,United States Senator - Republican,,,,,Delegate To The Republican National Convention 1st District,,,,,,All
,Tom Smith,David Alan Christian,Sam Rohrer,Marc A Scaringi,Steven D Welch,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Christopher M Vogler,Dale Kerns,Tom Boggia,All
Tom Smith,0,0,0,0,0,4,2,2,1,2,1,All
David Alan Christian,,0,0,0,0,1,2,1,1,1,2,All
Sam Rohrer,,,0,0,0,0,1,1,1,0,0,All
Marc A Scaringi,,,,0,0,0,0,0,0,0,0,All
Steven D Welch,,,,,0,0,0,0,0,0,0,All
Frederick W Anton,,,,,,0,1,3,0,2,0,All
Marion S Taxin,,,,,,,0,2,3,0,2,All
Michael W Untermeyer,,,,,,,,0,1,2,0,All
Christopher M Vogler,,,,,,,,,0,0,2,All
Dale Kerns,,,,,,,,,,0,0,All
Tom Boggia,,,,,,,,,,,0,All
Total,6,4,1,0,0,5,5,4,3,3,3,All
,United States Senator - Republican,,,,,Delegate To The Republican National Convention 1st District,,,,,,12
,Tom Smith,David Alan Christian,Sam Rohrer,Marc A Scaringi,Steven D Welch,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Christopher M Vogler,Dale Kerns,Tom Boggia,12
Tom Smith,0,0,0,0,0,4,2,2,1,2,1,12
David Alan Christian,,0,0,0,0,1,2,1,1,1,2,12
Sam Rohrer,,,0,0,0,0,1,1,1,0,0,12
Marc A Scaringi,,,,0,0,0,0,0,0,0,0,12
Steven D Welch,,,,,0,0,0,0,0,0,0,12
Frederick W Anton,,,,,,0,1,3,0,2,0,12
Marion S Taxin,,,,,,,0,2,3,0,2,12
Michael W Untermeyer,,,,,,,,0,1,2,0,12
Christopher M Vogler,,,,,,,,,0,0,2,12
Dale Kerns,,,,,,,,,,0,0,12
Tom Boggia,,,,,,,,,,,0,12
Total,6,4,1,0,0,5,5,4,3,3,3,12
