col_1,col_2,col_3,col_4,col_5,col_6,division
,State Treasurer - Republican,President Of The United States - Republican,,,,All
,Diana Irey Vaughan,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,All
Diana Irey Vaughan,6,4,5,2,0,All
Mitt Romney,,8,0,0,0,All
Newt Gingrich,,,6,0,0,All
Rick Santorum,,,,2,0,All
Ron Paul,,,,,1,All
Total,17,12,11,4,1,All
,President Of The United States - Republican,,,,State Treasurer - Republican,1
,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,Diana Irey Vaughan,1
Mitt Romney,1,0,0,0,0,1
Newt Gingrich,,0,0,0,0,1
Rick Santorum,,,0,0,0,1
Ron Paul,,,,0,0,1
Diana Irey Vaughan,,,,,0,1
Total,1,0,0,0,0,1
,State Treasurer - Republican,President Of The United States - Republican,,,,2
,Diana Irey Vaughan,Rick Santorum,Mitt Romney,Newt Gingrich,Ron Paul,2
Diana Irey Vaughan,2,1,0,0,0,2
Rick Santorum,,0,0,0,0,2
Mitt Romney,,,0,0,0,2
Newt Gingrich,,,,0,0,2
Ron Paul,,,,,0,2
Total,3,1,0,0,0,2
,President Of The United States - Republican,,,,State Treasurer - Republican,3
,Newt Gingrich,Mitt Romney,Rick Santorum,Ron Paul,Diana Irey Vaughan,3
Newt Gingrich,1,0,0,0,2,3
Mitt Romney,,0,0,0,0,3
Rick Santorum,,,0,0,0,3
Ron Paul,,,,0,0,3
Diana Irey Vaughan,,,,,0,3
Total,3,0,0,0,2,3
,State Treasurer - Republican,President Of The United States - Republican,,,,5
,Diana Irey Vaughan,Mitt Romney,Newt Gingrich,Ron Paul,Rick Santorum,5
Diana Irey Vaughan,1,2,1,0,0,5
Mitt Romney,,1,0,0,0,5
Newt Gingrich,,,0,0,0,5
Ron Paul,,,,1,0,5
Rick Santorum,,,,,0,5
Total,4,3,1,1,0,5
,State Treasurer - Republican,President Of The United States - Republican,,,,6
,Diana Irey Vaughan,Newt Gingrich,Mitt Romney,Rick Santorum,Ron Paul,6
Diana Irey Vaughan,0,1,0,0,0,6
Newt Gingrich,,0,0,0,0,6
Mitt Romney,,,0,0,0,6
Rick Santorum,,,,0,0,6
Ron Paul,,,,,0,6
Total,1,1,0,0,0,6
,State Treasurer - Republican,President Of The United States - Republican,,,,7
,Diana Irey Vaughan,Newt Gingrich,Rick Santorum,Mitt Romney,Ron Paul,7
Diana Irey Vaughan,0,0,1,0,0,7
Newt Gingrich,,1,0,0,0,7
Rick Santorum,,,0,0,0,7
Mitt Romney,,,,0,0,7
Ron Paul,,,,,0,7
Total,1,1,1,0,0,7
,State Treasurer - Republican,President Of The United States - Republican,,,,8
,Diana Irey Vaughan,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,8
Diana Irey Vaughan,0,1,0,0,0,8
Mitt Romney,,0,0,0,0,8
Newt Gingrich,,,1,0,0,8
Rick Santorum,,,,0,0,8
Ron Paul,,,,,0,8
Total,1,1,1,0,0,8
,President Of The United States - Republican,,,,State Treasurer - Republican,9
,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,Diana Irey Vaughan,9
Mitt Romney,1,0,0,0,0,9
Newt Gingrich,,0,0,0,0,9
Rick Santorum,,,0,0,0,9
Ron Paul,,,,0,0,9
Diana Irey Vaughan,,,,,0,9
Total,1,0,0,0,0,9
,President Of The United States - Republican,,,,State Treasurer - Republican,11
,Newt Gingrich,Mitt Romney,Rick Santorum,Ron Paul,Diana Irey Vaughan,11
Newt Gingrich,2,0,0,0,1,11
Mitt Romney,,0,0,0,1,11
Rick Santorum,,,0,0,0,11
Ron Paul,,,,0,0,11
Diana Irey Vaughan,,,,,0,11
Total,3,1,0,0,2,11
,State Treasurer - Republican,President Of The United States - Republican,,,,13
,Diana Irey Vaughan,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,13
Diana Irey Vaughan,1,0,0,0,0,13
Mitt Romney,,0,0,0,0,13
Newt Gingrich,,,0,0,0,13
Rick Santorum,,,,0,0,13
Ron Paul,,,,,0,13
Total,1,0,0,0,0,13
,President Of The United States - Republican,,,,State Treasurer - Republican,14
,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,Diana Irey Vaughan,14
Mitt Romney,1,0,0,0,0,14
Newt Gingrich,,0,0,0,0,14
Rick Santorum,,,0,0,0,14
Ron Paul,,,,0,0,14
Diana Irey Vaughan,,,,,0,14
Total,1,0,0,0,0,14
,President Of The United States - Republican,,,,State Treasurer - Republican,15
,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,Diana Irey Vaughan,15
Mitt Romney,3,0,0,0,0,15
Newt Gingrich,,0,0,0,0,15
Rick Santorum,,,0,0,0,15
Ron Paul,,,,0,0,15
Diana Irey Vaughan,,,,,0,15
Total,3,0,0,0,0,15
,State Treasurer - Republican,President Of The United States - Republican,,,,16
,Diana Irey Vaughan,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,16
Diana Irey Vaughan,1,0,0,0,0,16
Mitt Romney,,1,0,0,0,16
Newt Gingrich,,,1,0,0,16
Rick Santorum,,,,1,0,16
Ron Paul,,,,,0,16
Total,1,1,1,1,0,16
,State Treasurer - Republican,President Of The United States - Republican,,,,18
,Diana Irey Vaughan,Rick Santorum,Mitt Romney,Newt Gingrich,Ron Paul,18
Diana Irey Vaughan,1,0,0,0,0,18
Rick Santorum,,1,0,0,0,18
Mitt Romney,,,0,0,0,18
Newt Gingrich,,,,0,0,18
Ron Paul,,,,,0,18
Total,1,1,0,0,0,18
