col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Mindy M Posoff,Elizabeth A Washo,Kathryn Sylvia Huggins,Christine M Tartaglione,Deborah E Landau,Sekela Coles,Thaddeus Kirkland,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Jerome W Mondesire,Jerry T Jordan,Stephen A Cozen,Eleanor M Dezzi,Joseph C Meade,Michelle W Singer,Andrew P Toy,Raye E Johnson,Heather Steinmiller,William S Leopold,Nancy Astor Fox,All
Anthony Hardy Williams,22,381,376,365,355,252,253,246,240,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Ted Kirsch,,13,373,375,362,249,251,245,239,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Ryan N Boyer,,,1,363,352,246,241,242,233,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Mindy M Posoff,,,,4,358,239,241,241,233,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Elizabeth A Washo,,,,,1,238,235,238,228,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Kathryn Sylvia Huggins,,,,,,4,252,254,244,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Christine M Tartaglione,,,,,,,3,247,241,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Deborah E Landau,,,,,,,,1,241,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Sekela Coles,,,,,,,,,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Thaddeus Kirkland,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Kenyatta J Johnson,,,,,,,,,,,3,98,92,91,89,77,73,74,72,71,72,71,71,72,69,69,69,All
Blondell Reynolds Brown,,,,,,,,,,,,2,90,89,87,77,71,73,71,70,72,70,71,71,68,69,68,All
Cindy Bass,,,,,,,,,,,,,0,88,86,71,70,70,69,69,70,64,69,67,67,66,66,All
Mark Alan Aronchick,,,,,,,,,,,,,,0,84,70,68,70,68,70,70,66,68,67,66,66,65,All
Jacquelyn Manns Smalley,,,,,,,,,,,,,,,0,67,65,65,66,65,66,61,65,63,63,63,62,All
Vincent J Hughes,,,,,,,,,,,,,,,,1,73,74,70,73,72,70,71,70,69,68,67,All
Jerome W Mondesire,,,,,,,,,,,,,,,,,1,72,69,71,70,65,70,69,68,67,66,All
Jerry T Jordan,,,,,,,,,,,,,,,,,,0,71,72,72,68,71,71,69,69,67,All
Stephen A Cozen,,,,,,,,,,,,,,,,,,,0,70,70,67,70,69,69,67,67,All
Eleanor M Dezzi,,,,,,,,,,,,,,,,,,,,0,70,68,69,69,68,67,66,All
Joseph C Meade,,,,,,,,,,,,,,,,,,,,,0,67,71,70,70,69,68,All
